"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison","status"
"FYB",0,-1.07803569201777,0.478,0.761,0,"FYB","AS_Group_vs_Healthy","downregulated in diseased group"
"RPS10",0,-1.06903749118441,0.702,0.957,0,"RPS10","AS_Group_vs_Healthy","downregulated in diseased group"
"FAM65B",0,-1.00243008509809,0.492,0.746,0,"FAM65B","AS_Group_vs_Healthy","downregulated in diseased group"
"CD321",0,-1.0839398516566,0.209,0.449,0,"CD321","AS_Group_vs_Healthy","downregulated in diseased group"
"CD5.1",0,-1.05129596868229,0.206,0.445,0,"CD5.1","AS_Group_vs_Healthy","downregulated in diseased group"
"XIST",0,-1.59760535089294,0.243,0.481,0,"XIST","AS_Group_vs_Healthy","downregulated in diseased group"
"CD54",0,-1.04035985618245,0.206,0.438,0,"CD54","AS_Group_vs_Healthy","downregulated in diseased group"
"CD93.1",0,-1.05154870282571,0.205,0.43,0,"CD93.1","AS_Group_vs_Healthy","downregulated in diseased group"
"SRRM2",0,-1.02621054747757,0.479,0.704,0,"SRRM2","AS_Group_vs_Healthy","downregulated in diseased group"
"CD26",0,-1.13798589846757,0.186,0.41,0,"CD26","AS_Group_vs_Healthy","downregulated in diseased group"
"Iglightchainlambda",0,-1.51275800421852,0.189,0.412,0,"Iglightchainlambda","AS_Group_vs_Healthy","downregulated in diseased group"
"CD218a-IL-18Ralpha",0,-1.22700229504646,0.202,0.424,0,"CD218a-IL-18Ralpha","AS_Group_vs_Healthy","downregulated in diseased group"
"CD11a",0,-1.08281015937096,0.196,0.415,0,"CD11a","AS_Group_vs_Healthy","downregulated in diseased group"
"CD31",0,-1.14743198185877,0.194,0.409,0,"CD31","AS_Group_vs_Healthy","downregulated in diseased group"
"Iglightchainkappa",0,-1.25189110751771,0.18,0.387,0,"Iglightchainkappa","AS_Group_vs_Healthy","downregulated in diseased group"
"CD317-BST2-Tetherin",0,-1.11240525056422,0.19,0.396,0,"CD317-BST2-Tetherin","AS_Group_vs_Healthy","downregulated in diseased group"
"IgM",0,-1.86504511419851,0.156,0.356,0,"IgM","AS_Group_vs_Healthy","downregulated in diseased group"
"CD127-IL-7Ralpha",0,-1.04010716312557,0.166,0.364,0,"CD127-IL-7Ralpha","AS_Group_vs_Healthy","downregulated in diseased group"
"PNN",0,-1.15082430395793,0.374,0.572,0,"PNN","AS_Group_vs_Healthy","downregulated in diseased group"
"MGEA5",0,-1.42019918758312,0.198,0.395,0,"MGEA5","AS_Group_vs_Healthy","downregulated in diseased group"
"LUC7L3",0,-1.16235639891985,0.375,0.555,0,"LUC7L3","AS_Group_vs_Healthy","downregulated in diseased group"
