Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
B Cell Receptor Signaling Pathway (GO:0050853)	9/46	2.1548895642675436E-6	0.00345644286108514	0	0	9.367995718490768	122.23146363203546	IGHG3;IGHG4;MEF2C;IGKC;IGLC3;BTK;CD38;MNDA;IGHA1
Regulation Of B Cell Proliferation (GO:0030888)	6/44	8.621603955182742E-4	0.3676648839823242	0	0	6.044757563199337	42.65222785008023	LYN;MEF2C;MZB1;CD38;MNDA;TNFRSF13C
Cellular Response To Lectin (GO:1990858)	4/19	0.0012293096614980092	0.3676648839823242	0	0	10.180915032679739	68.22539154376216	LYN;KLRC2;SRC;KLRC4
Stimulatory C-type Lectin Receptor Signaling Pathway (GO:0002223)	4/19	0.0012293096614980092	0.3676648839823242	0	0	10.180915032679739	68.22539154376216	LYN;KLRC2;SRC;KLRC4
B Cell Homeostasis (GO:0001782)	3/9	0.0012627912957407265	0.3676648839823242	0	0	19.060665362035223	127.21908994289096	LYN;MEF2C;GAPT
Positive Regulation Of Defense Response (GO:0031349)	10/124	0.0013753050523029585	0.3676648839823242	0	0	3.3716235032024504	22.21589603578209	LGALS2;MEF2C;IL1B;TLR7;CD1D;MEFV;S100A9;PLA2G7;EREG;TRIM56
Positive Regulation Of Response To External Stimulus (GO:0032103)	11/155	0.0022630190200122794	0.491352816607707	0	0	2.937403357631986	17.891886899512393	PDGFRB;LGALS2;IL1B;NRG1;TLR7;CD1D;MEFV;S100A9;PLA2G7;EREG;TRIM56
Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	10/134	0.002450637489315247	0.491352816607707	0	0	3.0981182795698925	18.624050186976095	IGHG3;IGHG4;MEF2C;IGKC;BTK;IGLC3;CD38;MNDA;IGHA1;TRGC2
ERBB2 Signaling Pathway (GO:0038128)	3/13	0.003982269974949993	0.709729004424421	0	0	11.434050880626224	63.18345922842042	SRC;NRG1;EREG
Heme Transport (GO:0015886)	2/5	0.006261159917574379	0.7279163409661678	0	0	25.368489583333332	128.70423681828552	FLVCR1;NRG1
Iron Coordination Entity Transport (GO:1901678)	2/5	0.006261159917574379	0.7279163409661678	0	0	25.368489583333332	128.70423681828552	FLVCR1;NRG1
Negative Regulation Of Lamellipodium Organization (GO:1902744)	2/5	0.006261159917574379	0.7279163409661678	0	0	25.368489583333332	128.70423681828552	NRG1;ARPIN
Negative Regulation Of Mast Cell Activation (GO:0033004)	2/5	0.006261159917574379	0.7279163409661678	0	0	25.368489583333332	128.70423681828552	FER;CD300LF
Innate Immune Response Activating Cell Surface Receptor Signaling Pathway (GO:0002220)	4/30	0.006955876478155766	0.7279163409661678	0	0	5.870286576168929	29.16457250291457	LYN;KLRC2;SRC;KLRC4
Negative Regulation Of Anoikis (GO:2000811)	3/16	0.007363820412674836	0.7279163409661678	0	0	8.794068944753876	43.189223888767394	NOTCH1;SRC;PDK4
Peptidyl-Tyrosine Phosphorylation (GO:0018108)	6/67	0.007433086630531528	0.7279163409661678	0	0	3.761133341938815	18.4363763664534	PDGFRB;LYN;FER;SRC;BTK;IGF1R
