Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Platelet Mediated Interactions W Vascular And Circulating Cells WP4462	3/17	0.008773307921725142	0.9687872548526604	0	0	8.165501817165222	38.672154312119716	IL1B;TLR7;PF4
Genetic Causes Of Porto Sinusoidal Vascular Disease WP5269	4/37	0.014565180070020422	0.9687872548526604	0	0	4.623410576351753	19.552965189425326	NOTCH1;NCF2;BTK;CYBB
Macrophage Markers WP4146	2/9	0.021054462895194782	0.9687872548526604	0	0	10.869977678571429	41.965100270712284	CD86;LYZ
IL1 And Megakaryocytes In Obesity WP2865	3/24	0.02287495128423585	0.9687872548526604	0	0	5.441710930947721	20.55722102399379	IL1B;PLA2G7;S100A9
Estrogen Receptor Pathway WP2881	2/13	0.04263682693546135	0.9687872548526604	0	0	6.915838068181818	21.819724417820815	PDK4;CYP1B1
Cell Type Dependent Selectivity Of CCK2R Signaling WP3679	2/13	0.04263682693546135	0.9687872548526604	0	0	6.915838068181818	21.819724417820815	GNAQ;CD38
Cardiac Progenitor Differentiation WP2406	4/53	0.04700757933838755	0.9687872548526604	0	0	3.1111644657863144	9.512218682075405	MEF2C;NOTCH1;NRG1;NCAM1
OSX And miRNAs In Tooth Development WP3971	2/15	0.055501329912830265	0.9687872548526604	0	0	5.851262019230769	16.918036469475055	NOTCH3;NOTCH1
Neurogenesis Regulation In The Olfactory Epithelium WP5265	4/57	0.05862120892048964	0.9687872548526604	0	0	2.8757676655567885	8.157571427807264	MEF2C;NOTCH1;NRG1;TCF4
Airway Smooth Muscle Cell Contraction WP4962	2/16	0.06237812666595182	0.9687872548526604	0	0	5.433035714285714	15.074178166502874	GNAQ;CD38
EGFR Tyrosine Kinase Inhibitor Resistance WP4806	5/84	0.0652020567573926	0.9687872548526604	0	0	2.4131456566611127	6.588525353076171	PDGFRB;SRC;HGF;NRG1;IGF1R
Thymic Stromal Lymphopoietin TSLP Signaling WP2203	3/37	0.06891422953313048	0.9687872548526604	0	0	3.358812017957868	8.984461404429169	LYN;SRC;BTK
