"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison","status"
"MTRNR2L12",0,5.68520591693618,0.766,0.103,0,"MTRNR2L12","AS_Group_vs_Healthy","upregulated in diseased group"
"MT-ATP8",0,2.42419685930095,0.687,0.303,0,"MT-ATP8","AS_Group_vs_Healthy","upregulated in diseased group"
"mTreg",0,23.2965912368737,0.311,0,0,"mTreg","AS_Group_vs_Healthy","upregulated in diseased group"
"non-CD3",0,19.8499677713778,0.311,0,0,"non-CD3","AS_Group_vs_Healthy","upregulated in diseased group"
"mCD4",0,21.0354424873319,0.311,0,0,"mCD4","AS_Group_vs_Healthy","upregulated in diseased group"
"mCD8",0,21.6607463239238,0.311,0,0,"mCD8","AS_Group_vs_Healthy","upregulated in diseased group"
"RACK1",0,10.4577756929321,0.305,0,0,"RACK1","AS_Group_vs_Healthy","upregulated in diseased group"
"ATP5F1E",0,17.5558672770558,0.294,0,0,"ATP5F1E","AS_Group_vs_Healthy","upregulated in diseased group"
"ATP5MC2",0,17.1915050898933,0.286,0,0,"ATP5MC2","AS_Group_vs_Healthy","upregulated in diseased group"
"PLCG2",0,1.88570591465818,0.432,0.154,0,"PLCG2","AS_Group_vs_Healthy","upregulated in diseased group"
"ATP5MG",0,9.93733840435179,0.274,0,0,"ATP5MG","AS_Group_vs_Healthy","upregulated in diseased group"
"HIST1H4C",0,1.2520747105613,0.586,0.332,0,"HIST1H4C","AS_Group_vs_Healthy","upregulated in diseased group"
"IFITM1",0,3.53695265642162,0.385,0.143,0,"IFITM1","AS_Group_vs_Healthy","upregulated in diseased group"
"ELOB",0,15.8722163900804,0.223,0,0,"ELOB","AS_Group_vs_Healthy","upregulated in diseased group"
"MIF",0,1.85122385854985,0.438,0.216,0,"MIF","AS_Group_vs_Healthy","upregulated in diseased group"
"CD45RA-TotalSeqC",0,19.8885340792649,0.216,0,0,"CD45RA-TotalSeqC","AS_Group_vs_Healthy","upregulated in diseased group"
"CD4-TotalSeqC",0,21.2380924453545,0.216,0,0,"CD4-TotalSeqC","AS_Group_vs_Healthy","upregulated in diseased group"
"CD8a-TotalSeqC",0,20.8759802463847,0.216,0,0,"CD8a-TotalSeqC","AS_Group_vs_Healthy","upregulated in diseased group"
"CD25-TotalSeqC",0,21.7507672508597,0.216,0,0,"CD25-TotalSeqC","AS_Group_vs_Healthy","upregulated in diseased group"
"CD127-TotalSeqC",0,20.2320171842476,0.216,0,0,"CD127-TotalSeqC","AS_Group_vs_Healthy","upregulated in diseased group"
"CD279-TotalSeqC",0,21.2403592376845,0.216,0,0,"CD279-TotalSeqC","AS_Group_vs_Healthy","upregulated in diseased group"
"HLA-DR-TotalSeqC",0,21.4593501991543,0.216,0,0,"HLA-DR-TotalSeqC","AS_Group_vs_Healthy","upregulated in diseased group"
"IgG1-ISO-TotalSeqC",0,21.4983555114246,0.216,0,0,"IgG1-ISO-TotalSeqC","AS_Group_vs_Healthy","upregulated in diseased group"
"IgG2a-ISO-TotalSeqC",0,20.5484725427562,0.216,0,0,"IgG2a-ISO-TotalSeqC","AS_Group_vs_Healthy","upregulated in diseased group"
"IgG2b-ISO-TotalSeqC",0,20.2666570663565,0.216,0,0,"IgG2b-ISO-TotalSeqC","AS_Group_vs_Healthy","upregulated in diseased group"
"FYB1",0,16.1102765958108,0.212,0,0,"FYB1","AS_Group_vs_Healthy","upregulated in diseased group"
"ATP5F1D",0,15.6177352495547,0.2,0,0,"ATP5F1D","AS_Group_vs_Healthy","upregulated in diseased group"
"ATP5MC3",0,15.2182468397207,0.175,0,0,"ATP5MC3","AS_Group_vs_Healthy","upregulated in diseased group"
"SELENOW",0,15.2175821797167,0.173,0,0,"SELENOW","AS_Group_vs_Healthy","upregulated in diseased group"
"MT-ND4L",0,1.6272950297052,0.872,0.7,0,"MT-ND4L","AS_Group_vs_Healthy","upregulated in diseased group"
"MTRNR2L8",0,1.5447312692255,0.273,0.101,0,"MTRNR2L8","AS_Group_vs_Healthy","upregulated in diseased group"
"ATP5MF",0,15.1570045571873,0.169,0,0,"ATP5MF","AS_Group_vs_Healthy","upregulated in diseased group"
"ATP6V0C",0,5.28253389197855,0.173,0.005,0,"ATP6V0C","AS_Group_vs_Healthy","upregulated in diseased group"
"ATP5MD",0,15.1199382590643,0.166,0,0,"ATP5MD","AS_Group_vs_Healthy","upregulated in diseased group"
"PTPRCAP",0,6.60267374557425,0.159,0.003,0,"PTPRCAP","AS_Group_vs_Healthy","upregulated in diseased group"
"FLT3LG",0,1.52169558997976,0.276,0.122,0,"FLT3LG","AS_Group_vs_Healthy","upregulated in diseased group"
"ATP5IF1",0,14.9692177140307,0.153,0,0,"ATP5IF1","AS_Group_vs_Healthy","upregulated in diseased group"
"ATP5PD",0,14.9217680826276,0.153,0,0,"ATP5PD","AS_Group_vs_Healthy","upregulated in diseased group"
"SELENOK",0,15.2133364083162,0.152,0,0,"SELENOK","AS_Group_vs_Healthy","upregulated in diseased group"
"ATP5F1A",0,6.7542762047196,0.15,0,0,"ATP5F1A","AS_Group_vs_Healthy","upregulated in diseased group"
"ATP5ME",0,14.9412455098885,0.148,0,0,"ATP5ME","AS_Group_vs_Healthy","upregulated in diseased group"
"FXYD5",0,1.10812826084045,0.766,0.62,0,"FXYD5","AS_Group_vs_Healthy","upregulated in diseased group"
"SELENOH",0,14.8375208040326,0.143,0,0,"SELENOH","AS_Group_vs_Healthy","upregulated in diseased group"
"DDIT4",0,1.10231395209183,0.386,0.244,0,"DDIT4","AS_Group_vs_Healthy","upregulated in diseased group"
"ATP5MPL",0,14.7536759510486,0.141,0,0,"ATP5MPL","AS_Group_vs_Healthy","upregulated in diseased group"
"RTRAF",0,14.7279635338796,0.14,0,0,"RTRAF","AS_Group_vs_Healthy","upregulated in diseased group"
"NME2",0,3.71995228262539,0.16,0.02,0,"NME2","AS_Group_vs_Healthy","upregulated in diseased group"
"ATP5PB",0,14.6999514993563,0.137,0,0,"ATP5PB","AS_Group_vs_Healthy","upregulated in diseased group"
"ATP5PF",0,14.6678524254222,0.137,0,0,"ATP5PF","AS_Group_vs_Healthy","upregulated in diseased group"
"MCUB",0,14.7283859799806,0.136,0,0,"MCUB","AS_Group_vs_Healthy","upregulated in diseased group"
"REX1BD",0,14.6951599125306,0.135,0,0,"REX1BD","AS_Group_vs_Healthy","upregulated in diseased group"
"PCBP2",0,1.05553993522843,0.715,0.582,0,"PCBP2","AS_Group_vs_Healthy","upregulated in diseased group"
"AQP3",0,1.47152483586007,0.244,0.114,0,"AQP3","AS_Group_vs_Healthy","upregulated in diseased group"
"ATP5F1B",0,14.6638259993916,0.13,0,0,"ATP5F1B","AS_Group_vs_Healthy","upregulated in diseased group"
"PAXX",0,7.75784727319084,0.125,0,0,"PAXX","AS_Group_vs_Healthy","upregulated in diseased group"
"ATP5F1C",0,14.5252870337601,0.125,0,0,"ATP5F1C","AS_Group_vs_Healthy","upregulated in diseased group"
"SEM1",0,14.497970044719,0.124,0,0,"SEM1","AS_Group_vs_Healthy","upregulated in diseased group"
"NOP53",0,7.14149033542267,0.123,0,0,"NOP53","AS_Group_vs_Healthy","upregulated in diseased group"
"ZFP36",0,1.12963120811215,0.551,0.43,0,"ZFP36","AS_Group_vs_Healthy","upregulated in diseased group"
"RIPOR2",0,14.5944325226378,0.117,0,0,"RIPOR2","AS_Group_vs_Healthy","upregulated in diseased group"
"CD5",0,1.39773851697246,0.216,0.1,0,"CD5","AS_Group_vs_Healthy","upregulated in diseased group"
