Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ATP Biosynthetic Process (GO:0006754)	15/25	4.046343589779049E-19	5.972403138513876E-16	0	0	67.37931034482759	2853.601595816651	ATP5PF;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5F1A;ATP5F1B;ATP5PO;ATP5MG;ATP5MF;ATP5ME
Proton Motive Force-Driven ATP Synthesis (GO:0015986)	14/60	4.703224565236062E-11	3.4709797291442136E-8	0	0	13.614678899082568	323.759619310831	ATP5PF;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5F1B;ATP5PO;ATP5MG;ATP5MF;ATP5ME
Oxidative Phosphorylation (GO:0006119)	12/63	1.3736917609807248E-8	6.758563464025166E-6	0	0	10.474885844748858	189.62873253346896	ATP5PF;ATP5F1B;ATP5PD;ATP5PB;ATP5PO;ATP5F1C;ATP5MG;ATP5F1D;ATP5MF;ATP5F1E;NIPSNAP2;ATP5ME
Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	11/53	2.1555651747284705E-8	7.954035494748056E-6	0	0	11.63835557001844	205.44755899693916	ATP5PF;ATP5F1B;ATP5PD;ATP5PB;ATP5PO;ATP5F1C;ATP5MG;ATP5F1D;ATP5MF;ATP5F1E;ATP5ME
Regulation Of Actin Nucleation (GO:0051125)	6/24	1.1971097897241489E-5	0.0035338680992656876	0	0	14.663663663663664	166.1835249749291	WASHC4;WASHC5;WASHC2C;WASHC1;WASHC2A;WASHC3
Regulation Of Arp2/3 Complex-Mediated Actin Nucleation (GO:0034315)	6/30	4.7102331502770524E-5	0.008798698123300275	0	0	10.99436936936937	109.5389695956604	WASHC4;WASHC5;WASHC2C;WASHC1;WASHC2A;WASHC3
miRNA Catabolic Process (GO:0010587)	4/10	4.7689420722494715E-5	0.008798698123300275	0	0	29.21375186846039	290.70023050179014	TUT4;ELOB;ELOC;TENT4B
Purine Ribonucleoside Triphosphate Biosynthetic Process (GO:0009206)	4/10	4.7689420722494715E-5	0.008798698123300275	0	0	29.21375186846039	290.70023050179014	ATP5F1A;ATP5F1B;ATP5PO;ATP5F1C
Histone mRNA Catabolic Process (GO:0071044)	4/14	2.1161030033542186E-4	0.03175481752495014	0	0	17.524663677130047	148.27204672057422	TUT7;TUT4;TENT2;TENT4B
Regulation Of T Cell Tolerance Induction (GO:0002664)	3/6	2.151410401419386E-4	0.03175481752495014	0	0	43.72930648769575	369.2597420578761	IL2RA;FOXP3;HLA-G
Nuclear-Transcribed mRNA poly(A) Tail Shortening (GO:0000289)	4/20	9.202783998697137E-4	0.12348462892797249	0	0	10.949551569506726	76.54650095704072	ZFP36;TUT7;TUT4;CNOT9
snRNA Metabolic Process (GO:0016073)	4/21	0.001116770860964234	0.13736281589860078	0	0	10.304932735426009	70.04586270491667	INTS11;INTS13;INTS14;MTREX
Regulation Of Regulatory T Cell Differentiation (GO:0045589)	4/22	0.001340894838090579	0.1522431370016688	0	0	9.73193821624315	64.37110826878123	CTLA4;FOXP3;HLA-G;VSIR
Histone mRNA Metabolic Process (GO:0008334)	4/23	0.001594613554901938	0.16811782907394718	0	0	9.219258909605854	59.38238851047805	TUT7;TUT4;TENT2;TENT4B
Regulation Of Double-Strand Break Repair Via Nonhomologous End Joining (GO:2001032)	4/25	0.0021986120705928943	0.21634342774634083	0	0	8.340380098227632	51.04253399002659	MRNIP;SHLD2;SHLD1;CYREN
Nuclear-Transcribed mRNA Catabolic Process (GO:0000956)	7/85	0.0030425888333779514	0.280678819879116	0	0	3.9446663193841522	22.85952488995721	ZFP36;TUT7;TUT4;TENT2;TENT4B;NBDY;CNOT9
miRNA Metabolic Process (GO:0010586)	3/15	0.004208698239167924	0.3575092061464727	0	0	10.927293064876958	59.778870049050965	TUT7;TUT4;TENT4B
Mitotic G2 DNA Damage Checkpoint Signaling (GO:0007095)	4/30	0.004359868367639911	0.3575092061464727	0	0	6.734736115902035	36.60540154367836	BABAM2;MRE11;MRNIP;NOP53
Positive Regulation Of Myeloid Leukocyte Cytokine Production Involved In Immune Response (GO:0061081)	3/16	0.005094268228053806	0.3957442055056536	0	0	10.086215797625194	53.25158079022287	NR4A3;PLCG2;HLA-G
Positive Regulation Of Regulatory T Cell Differentiation (GO:0045591)	3/17	0.00608371082185306	0.39624502748700197	0	0	9.36529242569511	47.783037186093544	FOXP3;HLA-G;VSIR
ncRNA Metabolic Process (GO:0034660)	3/17	0.00608371082185306	0.39624502748700197	0	0	9.36529242569511	47.783037186093544	TUT7;TUT4;TENT4B
Negative Regulation Of Double-Strand Break Repair (GO:2000780)	4/33	0.0061745498863150705	0.39624502748700197	0	0	6.0371114890985	30.712713746622867	SHLD2;SHLD1;CGAS;CYREN
ncRNA Catabolic Process (GO:0034661)	4/33	0.0061745498863150705	0.39624502748700197	0	0	6.0371114890985	30.712713746622867	TRIR;TUT4;MTREX;TENT4B
ATP Metabolic Process (GO:0046034)	4/34	0.006875711307363227	0.4228562454028385	0	0	5.835575485799701	29.0597664192694	ATP5F1A;ATP5F1B;ATP5PO;ATP5F1C
Negative Regulation Of Execution Phase Of Apoptosis (GO:1900118)	3/19	0.008385727731528783	0.4760513127590955	0	0	8.193791946308725	39.17635550593268	MTRNR2L12;MTRNR2L8;MTRNR2L1
snRNA Processing (GO:0016180)	3/19	0.008385727731528783	0.4760513127590955	0	0	8.193791946308725	39.17635550593268	INTS11;INTS13;INTS14
Negative Regulation Of miRNA-mediated Gene Silencing (GO:0060965)	2/7	0.009841982554783977	0.4842255416953717	0	0	17.450892857142858	80.64228798368168	ELOB;ELOC
Protein Deglycosylation (GO:0006517)	2/7	0.009841982554783977	0.4842255416953717	0	0	17.450892857142858	80.64228798368168	OGA;MAN2B1
Proton-Transporting ATP Synthase Complex Assembly (GO:0043461)	2/7	0.009841982554783977	0.4842255416953717	0	0	17.450892857142858	80.64228798368168	FMC1;ATP5F1D
Mitochondrial Proton-Transporting ATP Synthase Complex Assembly (GO:0033615)	2/7	0.009841982554783977	0.4842255416953717	0	0	17.450892857142858	80.64228798368168	FMC1;ATP5F1D
RNA 3'-End Processing (GO:0031123)	4/38	0.010201205862041677	0.4857090274959198	0	0	5.147982062780269	23.6047813758276	INTS14;TUT7;TUT4;TENT4B
Negative Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:2000042)	3/21	0.011134233547250886	0.4879554422674559	0	0	7.282624906785981	32.75528644567746	SHLD2;SHLD1;CGAS
Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:0000288)	4/39	0.01116952773841318	0.4879554422674559	0	0	5.000640614990391	22.475709017602952	ZFP36;TUT7;TUT4;CNOT9
Mitochondrion Organization (GO:0007005)	9/162	0.01124016601429099	0.4879554422674559	0	0	2.5873015873015874	11.61248652922802	MIGA2;MIGA1;STMP1;FMC1;BIK;ATP5F1D;TOMM5;RAB5IF;NIPSNAP2
Positive Regulation Of Macrophage Cytokine Production (GO:0060907)	2/8	0.01292850530525583	0.530068717515489	0	0	14.541666666666666	63.23183006072839	PLCG2;HLA-G
Modification-Dependent Macromolecule Catabolic Process (GO:0043632)	2/8	0.01292850530525583	0.530068717515489	0	0	14.541666666666666	63.23183006072839	TUT7;TUT4
Endocytic Recycling (GO:0032456)	5/64	0.014506150902383526	0.5629071377000076	0	0	3.711864406779661	15.712999520935103	EIPR1;VPS26C;WASHC2C;WASHC1;VPS35L
mRNA Catabolic Process (GO:0006402)	4/43	0.015626298821086976	0.5629071377000076	0	0	4.4868345406462	18.659847318327635	ZFP36;TUT7;TUT4;NBDY
Regulation Of Execution Phase Of Apoptosis (GO:1900117)	3/24	0.016123964595660928	0.5629071377000076	0	0	6.241291147331416	25.760608592261963	MTRNR2L12;MTRNR2L8;MTRNR2L1
Calcium Import Into The Mitochondrion (GO:0036444)	2/9	0.01637691582078779	0.5629071377000076	0	0	12.463647959183673	51.249056024439604	MCUB;MAIP1
Mitochondrial Ribosome Assembly (GO:0061668)	2/9	0.01637691582078779	0.5629071377000076	0	0	12.463647959183673	51.249056024439604	NGRN;MRM2
Regulation Of Actin Filament Length (GO:0030832)	2/9	0.01637691582078779	0.5629071377000076	0	0	12.463647959183673	51.249056024439604	EPS8;NAA80
Negative Regulation Of Immune Response (GO:0050777)	5/66	0.01639905617960727	0.5629071377000076	0	0	3.5897955424571744	14.755967640867526	PCBP2;CGAS;PDCD1;FOXP3;HLA-G
Mitotic G2/M Transition Checkpoint (GO:0044818)	4/46	0.019609400917275945	0.6075529530780637	0	0	4.16570574418108	16.378497684591697	BABAM2;MRE11;MRNIP;NOP53
Regulation Of Keratinocyte Differentiation (GO:0045616)	3/26	0.020040731521284483	0.6075529530780637	0	0	5.697986577181208	22.27906199206157	ZFP36;NME2;AQP3
Negative Regulation Of Interleukin-17 Production (GO:0032700)	2/10	0.02016944085421756	0.6075529530780637	0	0	10.905133928571429	42.56913520973165	FOXP3;VSIR
Positive Regulation Of Cellular Senescence (GO:2000774)	2/10	0.02016944085421756	0.6075529530780637	0	0	10.905133928571429	42.56913520973165	CGAS;HLA-G
Protein Localization To Endosome (GO:0036010)	2/10	0.02016944085421756	0.6075529530780637	0	0	10.905133928571429	42.56913520973165	WASHC2C;WASHC2A
Mitochondrial Respirasome Assembly (GO:0097250)	2/10	0.02016944085421756	0.6075529530780637	0	0	10.905133928571429	42.56913520973165	STMP1;RAB5IF
Endosomal Transport (GO:0016197)	9/180	0.020966989824857705	0.6189455396297995	0	0	2.3128058240840197	8.938545805199437	WASHC4;WASHC5;EIPR1;VPS26C;WASHC2C;WASHC1;WASHC2A;WASHC3;VPS35L
Proton Transmembrane Transport (GO:1902600)	4/49	0.024165973146677365	0.6327175386139581	0	0	3.887394120577977	14.472028553728554	ATP5F1B;ATP5PO;ATP6V0C;ATP5MF
Negative Regulation Of T Cell Activation (GO:0050868)	4/49	0.024165973146677365	0.6327175386139581	0	0	3.887394120577977	14.472028553728554	RIPOR2;FOXP3;HLA-G;VSIR
Cellular Response To Nitrogen Levels (GO:0043562)	2/11	0.024288920640886714	0.6327175386139581	0	0	9.69295634920635	36.03584281423544	MAP1LC3A;MAP1LC3B2
Cellular Response To Nitrogen Starvation (GO:0006995)	2/11	0.024288920640886714	0.6327175386139581	0	0	9.69295634920635	36.03584281423544	MAP1LC3A;MAP1LC3B2
Telomere Maintenance In Response To DNA Damage (GO:0043247)	2/11	0.024288920640886714	0.6327175386139581	0	0	9.69295634920635	36.03584281423544	SHLD2;SHLD1
Protein Insertion Into Mitochondrial Membrane (GO:0051204)	3/28	0.024434213889563423	0.6327175386139581	0	0	5.241610738255034	19.45565831363389	TIMM29;MAIP1;TOMM5
Negative Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010972)	3/28	0.024434213889563423	0.6327175386139581	0	0	5.241610738255034	19.45565831363389	BABAM2;GPR132;MRE11
ncRNA Processing (GO:0034470)	6/100	0.025456529839879314	0.647824793856239	0	0	2.79700977573318	10.267215917846928	INTS11;INTS13;INTS14;MTREX;NOP53;MRM2
Response To Muramyl Dipeptide (GO:0032495)	2/12	0.02871879039871264	0.6728402321984104	0	0	8.723214285714286	30.969187220650376	ERBIN;LDOC1
pre-miRNA Processing (GO:0031054)	2/12	0.02871879039871264	0.6728402321984104	0	0	8.723214285714286	30.969187220650376	TUT7;TUT4
Quinone Biosynthetic Process (GO:1901663)	2/12	0.02871879039871264	0.6728402321984104	0	0	8.723214285714286	30.969187220650376	COQ8B;COQ8A
Regulation Of Actin Filament Organization (GO:0110053)	2/12	0.02871879039871264	0.6728402321984104	0	0	8.723214285714286	30.969187220650376	WASHC5;NAA80
Negative Regulation Of Alcohol Biosynthetic Process (GO:1902931)	2/12	0.02871879039871264	0.6728402321984104	0	0	8.723214285714286	30.969187220650376	SH2D2A;DKK3
Regulation Of Macrophage Cytokine Production (GO:0010935)	2/13	0.033443062357763446	0.7479084854554371	0	0	7.929788961038961	26.944716482395535	PLCG2;HLA-G
Positive Regulation Of Double-Strand Break Repair Via Nonhomologous End Joining (GO:2001034)	2/13	0.033443062357763446	0.7479084854554371	0	0	7.929788961038961	26.944716482395535	SHLD2;SHLD1
Ubiquinone Biosynthetic Process (GO:0006744)	2/13	0.033443062357763446	0.7479084854554371	0	0	7.929788961038961	26.944716482395535	COQ8B;COQ8A
miRNA Processing (GO:0035196)	3/32	0.03464749494939257	0.7566233464415468	0	0	4.517704235130757	15.190915352196667	TUT7;TUT4;SPOUT1
Purine Ribonucleotide Biosynthetic Process (GO:0009152)	4/55	0.03505960580157094	0.7566233464415468	0	0	3.428998505231689	11.489564641626584	ATP5F1A;ATP5F1B;ATP5PO;ATP5F1C
Mitotic DNA Damage Checkpoint Signaling (GO:0044773)	4/56	0.03711012812994701	0.7566233464415468	0	0	3.362883753018282	11.076886274210114	BABAM2;MRE11;MRNIP;NOP53
Positive Regulation Of Cytokine Production Involved In Immune Response (GO:0002720)	3/33	0.03749479390601881	0.7566233464415468	0	0	4.366890380313199	14.338916816020918	SLC7A5;PLCG2;HLA-G
Protein K63-linked Deubiquitination (GO:0070536)	3/33	0.03749479390601881	0.7566233464415468	0	0	4.366890380313199	14.338916816020918	BABAM2;SHMT2;ABRAXAS2
Regulation Of Nuclear-Transcribed mRNA poly(A) Tail Shortening (GO:0060211)	2/14	0.03844630825414364	0.7566233464415468	0	0	7.268601190476191	23.684683204867852	ZFP36;TENT4B
Ubiquinone Metabolic Process (GO:0006743)	2/14	0.03844630825414364	0.7566233464415468	0	0	7.268601190476191	23.684683204867852	COQ8B;COQ8A
Mitochondrial Calcium Ion Transmembrane Transport (GO:0006851)	2/14	0.03844630825414364	0.7566233464415468	0	0	7.268601190476191	23.684683204867852	MCUB;MAIP1
Negative Regulation Of T Cell Mediated Immunity (GO:0002710)	2/14	0.03844630825414364	0.7566233464415468	0	0	7.268601190476191	23.684683204867852	FOXP3;HLA-G
