Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Oxidative Phosphorylation WP623	14/60	4.703224565236062E-11	1.1946190395699597E-8	0	0	13.614678899082568	323.759619310831	ATP5PF;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1D;ATP5F1E;ATP5MC1;ATP5F1A;ATP5F1B;ATP5PO;ATP5MG;ATP5MF;ATP5ME
Electron Transport Chain OXPHOS System In Mitochondria WP111	16/105	1.6549685494258813E-9	2.1018100577708694E-7	0	0	8.061305856159064	162.99544342072264	ATP5PF;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5IF1;ATP5F1A;ATP5F1B;ATP5PO;ATP5MG;ATP5MF;ATP5ME
Selenium Metabolism And Selenoproteins WP28	8/47	8.98769807225684E-6	7.609584367844125E-4	0	0	9.054878756236223	105.21455631694843	SELENOM;SELENOS;CREM;SELENOW;SELENOF;SELENOT;SELENOK;SELENOH
7Q11 23 Copy Number Variation Syndrome WP4932	11/104	2.253741299229799E-5	0.0014311257250109225	0	0	5.242290640997379	56.094259892645645	ATP5F1A;ATP5F1B;ATP5PB;ATP5MC2;ATP5PO;ATP5MC3;BUD23;ATP5F1D;FBLN5;ATP5F1E;ATP5MC1
Selenium Micronutrient Network WP15	7/86	0.0032495595999497105	0.15320830754114895	0	0	3.89453381718433	22.312702567893744	SELENOM;SELENOS;SELENOW;SELENOF;SELENOT;SELENOK;SELENOH
T Cell Modulation In Pancreatic Cancer WP5078	5/46	0.0036190938789247783	0.15320830754114895	0	0	5.346396272951494	30.054935563330545	TNFRSF9;CTLA4;PDCD1;TNFRSF4;VSIR
Genes Associated With The Development Of Rheumatoid Arthritis WP5033	3/18	0.007179995889414443	0.2605312794158955	0	0	8.740492170022371	43.14705910994353	IL2RA;CTLA4;CCR6
Cholesterol Biosynthesis With Skeletal Dysplasias WP4804	2/7	0.009841982554783977	0.31248294611439126	0	0	17.450892857142858	80.64228798368168	CYP51A1;DHCR7
Dual Hijack Model Of Vif In HIV Infection WP3300	2/8	0.01292850530525583	0.32838403475349803	0	0	14.541666666666666	63.23183006072839	ELOB;ELOC
Hijack Of Ubiquitination By SARS CoV 2 WP4860	2/8	0.01292850530525583	0.32838403475349803	0	0	14.541666666666666	63.23183006072839	ELOB;ELOC
Interactions Immune Cells And miRNAs In Tumor Microenvironment WP4559	3/28	0.024434213889563423	0.5642082116317372	0	0	5.241610738255034	19.45565831363389	IL2RA;CTLA4;PDCD1
FOXP3 In COVID 19 WP5063	2/15	0.04371364236930222	0.8540973201386741	0	0	6.709134615384615	21.000229004014912	IL2RA;FOXP3
Cholesterol Biosynthesis Pathway WP197	2/15	0.04371364236930222	0.8540973201386741	0	0	6.709134615384615	21.000229004014912	CYP51A1;DHCR7
Cholesterol Synthesis Disorders WP5193	2/18	0.06095911117896305	0.9938080774958495	0	0	5.450334821428571	15.247594797526347	CYP51A1;DHCR7
Peptide GPCRs WP24	4/72	0.07902867563472797	0.9938080774958495	0	0	2.569506726457399	6.521265488945272	CXCR3;CCR6;CXCR6;CCR4
1P36 Copy Number Variation Syndrome WP5345	5/102	0.08039027776874355	0.9938080774958495	0	0	2.2533302444109813	5.680334661810087	INTS11;INTS13;INTS14;TNFRSF4;DKK3
Phosphatidyl Inositol Phosphate Pathway WP5411	3/46	0.08452596957879874	0.9938080774958495	0	0	3.044638676447635	7.522377998485116	PIP4P2;PIP4P1;PLCG2
2Q37 Copy Number Variation Syndrome WP5224	6/136	0.08707082188862793	0.9938080774958495	0	0	2.0187110187110187	4.927741116067745	SNED1;MAP1LC3A;COL6A3;PDCD1;ARF5;COPS9
Phosphoinositides Metabolism WP4971	3/49	0.09777785160795714	0.9938080774958495	0	0	2.8456375838926173	6.6162701352776105	PIP4P2;PIP4P1;PLCG2
HDAC6 Interactions In The Central Nervous System WP5426	5/112	0.10865128662605393	0.9938080774958495	0	0	2.0416885435261998	4.531755841067743	GRK2;MAP1LC3A;ELP1;MIF;FOXP3
Cell Interactions Of The Pancreatic Cancer Microenvironment WP5284	2/26	0.11532255891980706	0.9938080774958495	0	0	3.6320684523809526	7.845348549815674	CXCR3;CTLA4
EV Release From Cardiac Cells And Their Functional Effects WP3297	1/6	0.12764496897286978	0.9938080774958495	0	0	8.706013363028953	17.92135069715798	RGS16
Benzene Metabolism WP3891	1/6	0.12764496897286978	0.9938080774958495	0	0	8.706013363028953	17.92135069715798	GSTM1
T Cell Receptor And Co Stimulatory Signaling WP2583	2/28	0.13033875852210194	0.9938080774958495	0	0	3.3523351648351647	6.830779757986012	CTLA4;PDCD1
Selective Expression Of Chemokine Receptors T Cell Polarization WP4494	2/29	0.13800757524920107	0.9938080774958495	0	0	3.228009259259259	6.392900292239986	CXCR3;CCR4
Allograft Rejection WP2328	4/90	0.1449570052620654	0.9938080774958495	0	0	2.029825842110752	3.920239380525865	IL2RA;CTLA4;FOXP3;HLA-G
mRNA Protein And Metabolite Inducation Pathway By Cyclosporin A WP3953	1/7	0.1472788183937345	0.9938080774958495	0	0	7.25463994060876	13.895738766926243	SLC7A5
DDX1 As A Regulatory Component Of The Drosha Microprocessor WP2942	1/7	0.1472788183937345	0.9938080774958495	0	0	7.25463994060876	13.895738766926243	MRE11
Aflatoxin B1 Metabolism WP699	1/7	0.1472788183937345	0.9938080774958495	0	0	7.25463994060876	13.895738766926243	GSTM1
Vitamin B6 Dependent And Responsive Disorders WP4228	1/7	0.1472788183937345	0.9938080774958495	0	0	7.25463994060876	13.895738766926243	PLPBP
LDLRAD4 And What We Know About It WP4904	1/7	0.1472788183937345	0.9938080774958495	0	0	7.25463994060876	13.895738766926243	PMEPA1
Modulators Of TCR Signaling And T Cell Activation WP5072	3/61	0.15792960372852144	0.9938080774958495	0	0	2.2554964128673918	4.162757467309059	CD5;PCBP2;ELOB
Serine Metabolism WP4688	1/8	0.16647173500192747	0.9938080774958495	0	0	6.217944638880051	11.14833788785633	SHMT2
Chemokine Signaling WP3929	6/165	0.16879979742602308	0.9938080774958495	0	0	1.64805371409145	2.9319566057166093	GNG10;GRK2;CXCR3;CCR6;CXCR6;CCR4
Leukocyte Intrinsic Hippo Pathway Functions WP4542	2/34	0.1776287914183076	0.9938080774958495	0	0	2.722935267857143	4.705393742860467	FYB1;FOXP3
Type 2 Papillary Renal Cell Carcinoma WP4241	2/34	0.1776287914183076	0.9938080774958495	0	0	2.722935267857143	4.705393742860467	ELOB;ELOC
Thiamine Metabolic Pathways WP4297	1/9	0.1852335992083297	0.9938080774958495	0	0	5.440423162583519	9.17330179327673	BCKDHA
Nod Like Receptor NLR Signaling WP288	1/9	0.1852335992083297	0.9938080774958495	0	0	5.440423162583519	9.17330179327673	ERBIN
Enterocyte Cholesterol Metabolism WP5333	2/36	0.19393379551707368	0.9938080774958495	0	0	2.5625	4.20311099835541	CYP51A1;DHCR7
IL2 Signaling WP49	2/37	0.20215684547279958	0.9938080774958495	0	0	2.489158163265306	3.979445582135851	CISH;IL2RA
Th17 Cell Differentiation Pathway WP5130	3/69	0.2029121221474178	0.9938080774958495	0	0	1.981289404108196	3.1601215099113764	IL2RA;RORC;FOXP3
Vitamin D Metabolism WP1531	1/10	0.20357407064026345	0.9938080774958495	0	0	4.835684236575105	7.697081217004717	DHCR7
Cytokine Cytokine Receptor Interaction WP5473	8/255	0.2177524892267013	0.9938080774958495	0	0	1.4144759741330353	2.1562218448468857	EDA;CD70;TNFRSF9;IL2RA;CCR6;CXCR6;CCR4;TNFRSF4
Induction Of Autophagy And TLR Signaling By Graphene Oxide WP5336	1/11	0.22150259299399963	0.9938080774958495	0	0	4.351893095768374	6.5596997792259115	MAP1LC3A
SMC1 SMC3 Role In DNA Damage Cornelia De Lange Syndrome WP5118	1/11	0.22150259299399963	0.9938080774958495	0	0	4.351893095768374	6.5596997792259115	MRE11
IDO Metabolic Pathway WP5414	1/11	0.22150259299399963	0.9938080774958495	0	0	4.351893095768374	6.5596997792259115	KYAT3
Nucleotide GPCRs WP80	1/11	0.22150259299399963	0.9938080774958495	0	0	4.351893095768374	6.5596997792259115	ADORA2A
Metabolic Reprogramming In Pancreatic Cancer WP5220	2/42	0.2437392246142417	0.9938080774958495	0	0	2.177455357142857	3.0738187400908976	BCKDHA;SLC7A5
Inflammatory Bowel Disease Signaling WP5198	2/43	0.25211121594273045	0.9938080774958495	0	0	2.1242378048780486	2.9269553137204727	RORC;FOXP3
Development Of Pulmonary Dendritic Cells And Macrophage Subsets WP3892	1/13	0.25616051450237387	0.9938080774958495	0	0	3.6262063845582775	4.938715488589764	FLT3LG
Control Of Immune Tolerance By Vasoactive Intestinal Peptide WP4484	1/13	0.25616051450237387	0.9938080774958495	0	0	3.6262063845582775	4.938715488589764	CTLA4
Homologous Recombination WP186	1/13	0.25616051450237387	0.9938080774958495	0	0	3.6262063845582775	4.938715488589764	MRE11
Mammary Gland Development Pathway Puberty Stage 2 Of 4 WP2814	1/13	0.25616051450237387	0.9938080774958495	0	0	3.6262063845582775	4.938715488589764	AREG
EDA Signaling In Hair Follicle Development WP3930	1/13	0.25616051450237387	0.9938080774958495	0	0	3.6262063845582775	4.938715488589764	EDA
Nephrotic Syndrome WP4758	2/45	0.2688714250470707	0.9938080774958495	0	0	2.0252284053156147	2.6601820399881313	CTLA4;COQ8B
Riboflavin And CoQ Disorders WP5037	1/14	0.2729077640574815	0.9938080774958495	0	0	3.347096111015933	4.346610642576548	COQ8A
Cancer Immunotherapy By CTLA4 Blockade WP4582	1/14	0.2729077640574815	0.9938080774958495	0	0	3.347096111015933	4.346610642576548	CTLA4
Serotonin And Anxiety Related Events WP3944	1/14	0.2729077640574815	0.9938080774958495	0	0	3.347096111015933	4.346610642576548	LINC02210-CRHR1
DNA IR Damage And Cellular Response Via ATR WP4016	3/81	0.274741984002303	0.9938080774958495	0	0	1.6754431251075546	2.1645432768545305	SEM1;MRE11;ABRAXAS1
Cholesterol Metab With Bloch And Kandutsch Russell Pathways WP4718	2/47	0.28562400030245993	0.9938080774958495	0	0	1.9350198412698412	2.424732761299433	CYP51A1;DHCR7
GPR40 Pathway WP3958	1/15	0.28927877458488377	0.9938080774958495	0	0	3.107858733693923	3.8548774512095805	PLCG2
COVID 19 Adverse Outcome Pathway WP4891	1/15	0.28927877458488377	0.9938080774958495	0	0	3.107858733693923	3.8548774512095805	IL2RA
Pluripotent Stem Cell Differentiation Pathway WP2848	2/48	0.29398717409187497	0.9938080774958495	0	0	1.8928571428571428	2.3172719400373074	FST;FLT3LG
Pathways Of Nucleic Acid Metabolism And Innate Immune Sensing WP4705	1/16	0.3052819801201085	0.9938080774958495	0	0	2.9005196733481813	3.4415228755638148	CGAS
Hedgehog Signaling WP47	1/16	0.3052819801201085	0.9938080774958495	0	0	2.9005196733481813	3.4415228755638148	GRK2
Cysteine And Methionine Catabolism WP4504	1/16	0.3052819801201085	0.9938080774958495	0	0	2.9005196733481813	3.4415228755638148	SQOR
Hair Follicle Development Cytodifferentiation Stage 3 Of 3 WP2840	3/87	0.31163824148337743	0.9938080774958495	0	0	1.555289229785874	1.8133307595731076	FST;PERP;DKK3
Oxysterols Derived From Cholesterol WP4545	2/51	0.3189793981160584	0.9938080774958495	0	0	1.7766946064139941	2.030102356786439	RORC;DHCR7
Regulation Of Wnt B Catenin Signaling Small Molecule Compounds WP3664	1/17	0.3209256260511787	0.9938080774958495	0	0	2.719097995545657	3.0903796166545754	DKK3
Ulcerative Colitis Signaling WP5174	1/18	0.336217773301376	0.9938080774958495	0	0	2.5590200445434297	2.7893221092856173	FOXP3
Estrogen Metabolism WP697	1/18	0.336217773301376	0.9938080774958495	0	0	2.5590200445434297	2.7893221092856173	GSTM1
Congenital Generalized Lipodystrophy WP5101	1/18	0.336217773301376	0.9938080774958495	0	0	2.5590200445434297	2.7893221092856173	BSCL2
GPCRs Other WP117	3/91	0.33632797128962794	0.9938080774958495	0	0	1.4842892007321538	1.6173831721905176	GPR132;ADORA2A;CXCR3
Corticotropin Releasing Hormone Signaling WP2355	3/92	0.34249683745642956	0.9938080774958495	0	0	1.4675363848880174	1.5724547508987001	LINC02210-CRHR1;KRT1;PLCG2
KCNQ2 Related Epilepsies WP5360	1/19	0.35116630254112935	0.9938080774958495	0	0	2.41672853254145	2.5290952230147234	PLCG2
Glutathione Metabolism WP100	1/19	0.35116630254112935	0.9938080774958495	0	0	2.41672853254145	2.5290952230147234	GSTM1
Host Pathogen Interaction Of Human CoVs Autophagy WP4863	1/19	0.35116630254112935	0.9938080774958495	0	0	2.41672853254145	2.5290952230147234	MAP1LC3A
Disorders Of Folate Metabolism And Transport WP4259	1/19	0.35116630254112935	0.9938080774958495	0	0	2.41672853254145	2.5290952230147234	SHMT2
Mitochondrial Complex I Assembly Model OXPHOS System WP4324	2/56	0.36011201924598457	0.9938080774958495	0	0	1.6117724867724867	1.6461679233649942	DMAC1;DMAC2
Lung Pathology Of COVID 19 WP5146	1/20	0.36577891807982565	0.9938080774958495	0	0	2.2894150744344155	2.302524670500886	CGAS
Hypertrophy Model WP516	1/20	0.36577891807982565	0.9938080774958495	0	0	2.2894150744344155	2.302524670500886	NR4A3
Proximal Tubule Transport WP4917	2/57	0.36823431073409707	0.9938080774958495	0	0	1.5823863636363635	1.580860673350419	SLC9A3;ATP6V0C
Pre Implantation Embryo WP3527	2/58	0.3763159256396122	0.9938080774958495	0	0	1.554049744897959	1.5188136260002358	ZFP36;AQP3
STING Pathway In Kawasaki Like Disease And COVID 19 WP4961	1/21	0.38006315188603207	0.9938080774958495	0	0	2.1748329621380846	2.1039722302890334	CGAS
7Q11 23 Distal Copy Number Variation WP5401	1/21	0.38006315188603207	0.9938080774958495	0	0	2.1748329621380846	2.1039722302890334	RHBDD2
10Q11 21Q11 23 Copy Number Variation Syndrome WP5352	2/60	0.3923481261726215	0.9938080774958495	0	0	1.500307881773399	1.4036966904510706	ELOA;TMEM273
2Q13 Copy Number Variation Syndrome WP5222	2/60	0.3923481261726215	0.9938080774958495	0	0	1.500307881773399	1.4036966904510706	FBLN7;PLCG2
