"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison","status"
"FYB",0,-1.43811940201359,0.45,0.834,0,"FYB","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"RPS17",0,-1.12128008147367,0.59,0.961,0,"RPS17","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"FAM65B",0,-1.38835893580947,0.448,0.814,0,"FAM65B","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"RPS10",0,-1.50319430338579,0.638,0.986,0,"RPS10","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"XIST",0,-1.89698775180847,0.245,0.581,0,"XIST","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"SRRM2",0,-1.32544403017491,0.401,0.668,0,"SRRM2","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"PNN",0,-1.42337861688946,0.379,0.63,0,"PNN","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"LUC7L3",0,-1.38705865475965,0.435,0.671,0,"LUC7L3","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"ZCCHC11",0,-1.58036318797555,0.222,0.458,0,"ZCCHC11","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"DDX17",0,-1.17268564117594,0.508,0.742,0,"DDX17","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"MGEA5",0,-1.83185986133671,0.146,0.379,0,"MGEA5","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"ATM",0,-1.11474761697282,0.516,0.742,0,"ATM","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"AP000769.1",0,-1.56175010779425,0.189,0.401,0,"AP000769.1","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"ANKRD11",0,-1.53811455700893,0.239,0.45,0,"ANKRD11","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"NEAT1",0,-1.12985583931847,0.546,0.752,0,"NEAT1","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"H1FX",0,-1.16506985908522,0.309,0.511,0,"H1FX","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"RBM25",0,-1.29146411219769,0.369,0.57,0,"RBM25","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"NKTR",0,-1.16748879991272,0.37,0.569,0,"NKTR","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"MDM4",0,-1.30694527624521,0.237,0.435,0,"MDM4","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"C14orf2",0,-1.01072356814378,0.327,0.513,0,"C14orf2","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"PRPF4B",0,-1.17715152737954,0.325,0.51,0,"PRPF4B","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"CH17-189H20.1",0,-2.32801460104662,0.075,0.26,0,"CH17-189H20.1","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"RPS20",0,-1.01400442825397,0.803,0.988,0,"RPS20","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"ARGLU1",0,-1.0495304881323,0.541,0.726,0,"ARGLU1","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"PSMA3-AS1",0,-1.28703418947374,0.25,0.433,0,"PSMA3-AS1","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"IGKC",0,-2.72245272320103,0.056,0.238,0,"IGKC","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"TNRC6B",0,-1.05968869918508,0.404,0.585,0,"TNRC6B","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"WHSC1L1",0,-1.17588426868859,0.256,0.435,0,"WHSC1L1","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"SFPQ",0,-1.10536803581188,0.279,0.454,0,"SFPQ","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"RPL17",0,-1.20398404543255,0.561,0.734,0,"RPL17","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"IL2RG",0,-1.04497653172208,0.353,0.525,0,"IL2RG","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"TTC14",0,-1.21937646041087,0.261,0.432,0,"TTC14","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"ZRANB2",0,-1.08251669839952,0.423,0.592,0,"ZRANB2","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"PCSK7",0,-1.33160732811874,0.22,0.388,0,"PCSK7","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"IGHA1",0,-4.30805284107961,0.018,0.186,0,"IGHA1","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"PRPF38B",0,-1.11729412879933,0.337,0.491,0,"PRPF38B","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"RPL36A",0,-1.02956123404151,0.825,0.949,0,"RPL36A","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"RPL23",0,-1.18484075299076,0.888,0.986,0,"RPL23","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"BPTF",1.59833617480648e-305,-1.18441585709066,0.28,0.444,4.42962887485867e-301,"BPTF","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"GABPB1-AS1",4.02276828075136e-303,-1.21566841669842,0.293,0.45,1.11487000132743e-298,"GABPB1-AS1","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"POLR2J3",8.94929508444435e-303,-1.18080113662788,0.218,0.388,2.48020763970291e-298,"POLR2J3","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"ZNF207",3.70495208617288e-289,-1.16769831838245,0.273,0.428,1.02679042116195e-284,"ZNF207","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"IGLC2",6.40674861975169e-281,-3.52279596563757,0.021,0.128,1.77556631247798e-276,"IGLC2","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"NDUFA13",2.08607204473356e-276,-1.18607893530479,0.257,0.409,5.78134006477458e-272,"NDUFA13","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"FAM133B",4.19311271246047e-275,-1.15276209547674,0.279,0.432,1.1620792571313e-270,"FAM133B","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"CHD3",1.49418181974983e-262,-1.20783745076402,0.249,0.399,4.14097549525469e-258,"CHD3","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
"ASH1L",1.81772295020409e-240,-1.17635971098637,0.23,0.373,5.03763738419563e-236,"ASH1L","AS_Group_CD14Mono_vs_Healthy_CD14Mono","downregulated in diseased group"
