Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Kidney Morphogenesis (GO:0060993)	4/5	4.79045013824517E-5	0.11487499431511917	0	0	67.219946571683	668.5898274107626	PPP3CA;NPHP3;PRKX;SOX4
Positive Regulation Of Dendritic Spine Morphogenesis (GO:0061003)	4/8	5.845972827984222E-4	0.7009321420753083	0	0	16.80231522707035	125.08630344502069	CAPRIN2;DHX36;LRP8;DBN1
Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796)	9/47	0.0010860359081171684	0.8681047025549901	0	0	3.990090386969212	27.233248674914886	HEXIM1;DYRK2;KAT6A;ATM;RPS20;KMT5A;RPL17;SOX4;HIPK2
Positive Regulation Of Dendrite Morphogenesis (GO:0050775)	5/17	0.001971350277803172	0.999995808452516	0	0	7.0042335115864525	43.62962655415545	SS18L1;CAPRIN2;DHX36;LRP8;DBN1
Telomeric D-loop Disassembly (GO:0061820)	3/7	0.005262163872022222	0.999995808452516	0	0	12.590524911032029	66.06516541477251	WRN;SLX4;TERF2
Positive Regulation Of Dendritic Spine Development (GO:0060999)	5/21	0.0053731786503583056	0.999995808452516	0	0	5.2520610516934045	27.44903374311256	FMR1;CAPRIN2;DHX36;LRP8;DBN1
Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity (GO:0045954)	5/21	0.0053731786503583056	0.999995808452516	0	0	5.2520610516934045	27.44903374311256	KLRK1;KLRC4;CRTAM;KLRD1;RASGRP1
Skeletal Myofibril Assembly (GO:0014866)	3/8	0.00806871455604758	0.999995808452516	0	0	10.07188612099644	48.544084890558615	MYH11;LMOD3;TTN
Protein Localization To Chromosome, Telomeric Region (GO:0070198)	4/15	0.008301063259285615	0.999995808452516	0	0	6.107666153970696	29.264098572964375	TNKS2;ZNF827;BRCA2;TERF2
T Cell Activation (GO:0042110)	13/111	0.00962271903175883	0.999995808452516	0	0	2.235692302055472	10.381724291199564	CD84;CRTAM;CHD7;RASGRP1;GPR89B;LFNG;NCOR2;TRGC1;PPP3CA;CD8B;TRDC;SOX4;TRGC2
Positive Regulation Of Natural Killer Cell Mediated Immunity (GO:0002717)	5/24	0.00975719887700852	0.999995808452516	0	0	4.4220846233230136	20.473145931311073	KLRK1;KLRC4;CRTAM;KLRD1;RASGRP1
Telomeric Loop Disassembly (GO:0090657)	3/9	0.011600398484545539	0.999995808452516	0	0	8.392793594306049	37.40429606415938	WRN;SLX4;TERF2
Negative Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904357)	5/25	0.011642320206968978	0.999995808452516	0	0	4.200757575757576	18.706429376462218	TENM1;SLX4;TNKS2;XRN1;TERF2
Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904356)	4/17	0.013231261057680249	0.999995808452516	0	0	5.167477224467429	22.350232904048607	SLX4;TNKS2;DHX36;TERF2
Regulation Of DNA Methylation-Dependent Heterochromatin Formation (GO:0090308)	4/17	0.013231261057680249	0.999995808452516	0	0	5.167477224467429	22.350232904048607	ATF7IP;KDM1A;TET1;SAMD1
B Cell Receptor Signaling Pathway (GO:0050853)	7/46	0.013815119884086707	0.999995808452516	0	0	3.018269230769231	12.92420362194716	IGHG3;IGHG4;IGHG1;IGKC;IGLC3;IGHA1;MS4A1
Epithelial Cell Apoptotic Process (GO:1904019)	3/10	0.0158858351385992	0.999995808452516	0	0	7.193441789527199	29.797591302761145	BMPR2;CAPN10;HIPK1
Regulation Of Chromatin Organization (GO:1902275)	5/27	0.0161230949414093	0.999995808452516	0	0	3.8184654026900016	15.760725749496526	LSM11;TLK2;MSL3;OGT;MSL1
Chromatin Remodeling (GO:0006338)	21/228	0.018596812659112918	0.999995808452516	0	0	1.7121629058888277	6.822566950713515	INO80B;SETD2;KDM1A;PHF10;CHD7;CHD6;TET1;BAZ2B;CHD3;GATAD2A;TADA2B;TAF6L;SFPQ;ZNF827;BCL7A;GATAD1;BRD9;BRD7;ARID2;EZH1;BPTF
Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	14/134	0.01896472825644495	0.999995808452516	0	0	1.9657232704402516	7.794435653577976	SPPL3;PRAM1;IGHG3;NCOR2;IGHG4;TRGC1;IGHG1;CD8B;IGKC;IGLC3;TRDC;IGHA1;MS4A1;TRGC2
Vesicle Docking (GO:0048278)	4/19	0.01970641754530925	0.999995808452516	0	0	4.4780053428317	17.584280336322237	STX16;STX6;STX3;STX2
rRNA Catabolic Process (GO:0016075)	4/19	0.01970641754530925	0.999995808452516	0	0	4.4780053428317	17.584280336322237	SLFN12;SLFN13;XRN1;DIS3
Response To X-ray (GO:0010165)	3/11	0.020941432614787737	0.999995808452516	0	0	6.293927935943061	24.332486906676127	XRCC4;XRRA1;ATM
Positive Regulation Of Stem Cell Population Maintenance (GO:1902459)	6/40	0.023474903249317593	0.999995808452516	0	0	2.9656819016634306	11.126714682457319	BCL7A;PHF10;NCOA3;TET1;BRD9;OGT
Regulation Of Dosage Compensation By Inactivation Of X Chromosome (GO:1900095)	3/12	0.026773045644296903	0.999995808452516	0	0	5.594306049822064	20.253399932369316	MSL3;OGT;MSL1
Gamma-Delta T Cell Activation (GO:0046629)	3/12	0.026773045644296903	0.999995808452516	0	0	5.594306049822064	20.253399932369316	TRGC1;TRDC;TRGC2
Histone H4-K16 Acetylation (GO:0043984)	3/12	0.026773045644296903	0.999995808452516	0	0	5.594306049822064	20.253399932369316	MSL3;OGT;MSL1
Regulation Of Cytoskeleton Organization (GO:0051493)	12/114	0.027024009206742083	0.999995808452516	0	0	1.9805855974676867	7.151953174670444	TRAF3IP1;CAPN10;TAOK1;RICTOR;CRK;ARHGAP35;GPM6B;MARK2;BICD2;ARHGEF5;RHOQ;PLXNA3
Positive Regulation Of Signal Transduction By P53 Class Mediator (GO:1901798)	4/21	0.027839893152932248	0.999995808452516	0	0	3.9507621392279084	14.148806299611586	HEXIM1;ATM;RPS20;RPL17
Regulation Of T-Circle Formation (GO:1904429)	2/5	0.028305059680237804	0.999995808452516	0	0	11.182222222222222	39.861431968058874	SLX4;TERF2
Establishment Of Protein Localization To Telomere (GO:0070200)	2/5	0.028305059680237804	0.999995808452516	0	0	11.182222222222222	39.861431968058874	ZNF827;BRCA2
tRNA Catabolic Process (GO:0016078)	2/5	0.028305059680237804	0.999995808452516	0	0	11.182222222222222	39.861431968058874	SLFN13;DICER1
Glomerulus Vasculature Development (GO:0072012)	2/5	0.028305059680237804	0.999995808452516	0	0	11.182222222222222	39.861431968058874	ANGPT2;PECAM1
Glycosyl Compound Biosynthetic Process (GO:1901659)	2/5	0.028305059680237804	0.999995808452516	0	0	11.182222222222222	39.861431968058874	TYW5;TYW1B
Wybutosine Biosynthetic Process (GO:0031591)	2/5	0.028305059680237804	0.999995808452516	0	0	11.182222222222222	39.861431968058874	TYW5;TYW1B
Wybutosine Metabolic Process (GO:0031590)	2/5	0.028305059680237804	0.999995808452516	0	0	11.182222222222222	39.861431968058874	TYW5;TYW1B
Negative Regulation Of Mast Cell Activation (GO:0033004)	2/5	0.028305059680237804	0.999995808452516	0	0	11.182222222222222	39.861431968058874	CD84;FER
Peptidyl-Threonine Modification (GO:0018210)	8/66	0.031475669266473466	0.999995808452516	0	0	2.319188931003667	8.021008696245744	DYRK2;GALNT1;STK39;MAP3K10;HIPK1;TGFBR1;MARK2;HIPK2
Regulation Of Natural Killer Cell Mediated Cytotoxicity (GO:0042269)	5/32	0.03193991906823849	0.999995808452516	0	0	3.1105169340463457	10.71230513238319	KLRK1;KLRC4;CRTAM;KLRD1;RASGRP1
Inositol Phosphate Metabolic Process (GO:0043647)	4/22	0.03255187542539889	0.999995808452516	0	0	3.7310774710596615	12.77864295371368	INPP4A;ITPKB;INPP5A;NUDT3
Natural Killer Cell Mediated Immunity (GO:0002228)	4/22	0.03255187542539889	0.999995808452516	0	0	3.7310774710596615	12.77864295371368	FCGR3A;KLRK1;GZMB;KLRD1
Atrial Septum Development (GO:0003283)	3/13	0.03337746483935986	0.999995808452516	0	0	5.034608540925267	17.117036249891893	BMPR2;NPHP3;MDM4
ncRNA Catabolic Process (GO:0034661)	5/33	0.03595693757245458	0.999995808452516	0	0	2.999267888973771	9.97386511884623	SLFN12;SLFN13;XRN1;DIS3;DICER1
Regulation Of Stem Cell Population Maintenance (GO:2000036)	7/56	0.03699352973646218	0.999995808452516	0	0	2.4010204081632653	7.916193706899521	TAF6L;BCL7A;PHF10;NCOA3;TET1;BRD9;OGT
Negative Regulation Of Protein Depolymerization (GO:1901880)	4/23	0.037701166123881816	0.999995808452516	0	0	3.534517504803862	11.58637548529706	PLEKHH2;ATXN7;TAOK1;CAMSAP2
Smoothened Signaling Pathway (GO:0007224)	5/34	0.04027116680805023	0.999995808452516	0	0	2.8956911918372366	9.30130622990606	DYRK2;KIAA0586;MAP3K10;HIPK1;HIPK2
Regulation Of Hemopoiesis (GO:1903706)	3/14	0.04074375208952124	0.999995808452516	0	0	4.5766742154642515	14.647429688608716	PURB;KAT6B;KAT6A
Regulation Of Mast Cell Degranulation (GO:0043304)	3/14	0.04074375208952124	0.999995808452516	0	0	4.5766742154642515	14.647429688608716	CD84;FER;FES
Ceramide Transport (GO:0035627)	3/14	0.04074375208952124	0.999995808452516	0	0	4.5766742154642515	14.647429688608716	ABCB1;OSBP;SGPP1
Synaptic Vesicle Membrane Organization (GO:0048499)	3/14	0.04074375208952124	0.999995808452516	0	0	4.5766742154642515	14.647429688608716	SYNGR1;STX3;STX2
Positive Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900153)	3/14	0.04074375208952124	0.999995808452516	0	0	4.5766742154642515	14.647429688608716	TNRC6C;DHX36;TNRC6B
Positive Regulation Of Transporter Activity (GO:0032411)	3/14	0.04074375208952124	0.999995808452516	0	0	4.5766742154642515	14.647429688608716	KMT2A;STK39;KCTD7
G-quadruplex DNA Unwinding (GO:0044806)	2/6	0.04088858072103456	0.999995808452516	0	0	8.386222222222223	26.809951181933624	WRN;DHX36
Cellular Hypotonic Response (GO:0071476)	2/6	0.04088858072103456	0.999995808452516	0	0	8.386222222222223	26.809951181933624	STK39;SLC12A6
Skeletal Muscle Thin Filament Assembly (GO:0030240)	2/6	0.04088858072103456	0.999995808452516	0	0	8.386222222222223	26.809951181933624	LMOD3;TTN
Maintenance Of Lens Transparency (GO:0036438)	2/6	0.04088858072103456	0.999995808452516	0	0	8.386222222222223	26.809951181933624	GCNT2;STK39
Regulation Of Actin Filament-Based Process (GO:0032970)	8/70	0.04260635110178466	0.999995808452516	0	0	2.169102597365159	6.845149751217724	CAPN10;TAOK1;RICTOR;CRK;ARHGAP35;ARHGEF5;RHOQ;GPM6B
Peptidyl-Threonine Phosphorylation (GO:0018107)	7/58	0.043591613506556784	0.999995808452516	0	0	2.3066176470588236	7.226380508749763	DYRK2;STK39;MAP3K10;HIPK1;TGFBR1;MARK2;HIPK2
