Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Histone Modifications WP2369	8/66	0.031475669266473466	0.9999959691183274	0	0	2.319188931003667	8.021008696245744	SETD2;KMT2A;KMT2B;PRDM2;SMYD4;KMT5A;ASH1L;EZH1
T Cell Receptor And Co Stimulatory Signaling WP2583	4/28	0.07000382550340234	0.9999959691183274	0	0	2.797417631344613	7.438908038813629	PPP3CA;DYRK2;CD8B;RASGRP1
Hematopoietic SC Gene Regulation By GABP Alpha Beta Complex WP3657	3/20	0.09963009772987136	0.9999959691183274	0	0	2.9604354197194893	6.827625487602167	GZMB;ATM;TERF2
Serotonin Receptor 2 And ELK SRF GATA4 Signaling WP732	3/20	0.09963009772987136	0.9999959691183274	0	0	2.9604354197194893	6.827625487602167	ELK4;GNAQ;RASGRP1
Notch Signaling WP268	5/44	0.09996200208936777	0.9999959691183274	0	0	2.152063622651858	4.956127511306291	LFNG;NCOR2;CTBP2;MAML1;DVL1
Pregnane X Receptor Pathway WP2876	4/32	0.1033664331950728	0.9999959691183274	0	0	2.397277700038163	5.440561808822257	ABCB1;NCOA3;NRIP1;CYP3A5
Non Homologous End Joining WP438	2/10	0.10571846058951152	0.9999959691183274	0	0	4.192222222222222	9.419821674275651	WRN;XRCC4
Iron Metabolism In Placenta WP2007	2/11	0.12455781417471781	0.9999959691183274	0	0	3.7262222222222223	7.761666113358495	SLC11A2;ACO1
Microtubule Cytoskeleton Regulation WP2038	5/48	0.131857830965463	0.9999959691183274	0	0	1.9514571156158023	3.9537125625409257	CFL2;GNAQ;TAOK1;DVL1;MARK2
Factors And Pathways Affecting IGF1 Akt Signaling WP3850	4/36	0.14262088451560564	0.9999959691183274	0	0	2.097172751558326	4.084380934608905	MAPKAP1;RICTOR;ACVR2B;IGF1R
Homologous Recombination WP186	2/13	0.164248846343155	0.9999959691183274	0	0	3.0484040404040402	5.506553670798204	ATM;BRCA2
Endoderm Differentiation WP2853	11/140	0.16652911995124522	0.9999959691183274	0	0	1.432191381178628	2.5673249162880025	ELK4;MBTD1;TNRC6C;CTBP2;RFX7;PBX3;TET1;DIP2A;CDYL;RTF1;BPTF
Sphingolipid Metabolism Integrated Pathway WP4726	3/26	0.17835338134206954	0.9999959691183274	0	0	2.1874516478415598	3.771141284665967	CERS6;DEGS2;SGPP1
1Q21 1 Copy Number Variation Syndrome WP4905	3/27	0.19281249068330583	0.9999959691183274	0	0	2.096196619217082	3.450417431800718	OCLN;PRKAG2;NBPF12
Sphingolipid Metabolism Overview WP4725	3/27	0.19281249068330583	0.9999959691183274	0	0	2.096196619217082	3.450417431800718	CERS6;DEGS2;SGPP1
RIOK1 And RIOK2 In EGFR And PI3K Mediated Tumorigenesis WP3873	2/15	0.20575282658624397	0.9999959691183274	0	0	2.579145299145299	4.077834279838571	MAPKAP1;RICTOR
Rubinstein Taybi Syndrome 1 WP5367	2/15	0.20575282658624397	0.9999959691183274	0	0	2.579145299145299	4.077834279838571	NCOA3;NPAS2
GPR40 Pathway WP3958	2/15	0.20575282658624397	0.9999959691183274	0	0	2.579145299145299	4.077834279838571	PLCL1;PLCE1
Interactions Of Natural Killer Cells In Pancreatic Cancer WP5092	3/28	0.20754953317804978	0.9999959691183274	0	0	2.0122419928825623	3.1640196364602557	FCGR3A;KLRK1;GZMB
Angiopoietin Like Protein 8 Regulatory Pathway WP3915	10/132	0.21073747145089722	0.9999959691183274	0	0	1.3759778094133877	2.1425930187887627	MAP2K4;THRA;MAPKAP1;MAP3K10;PRKAG2;RICTOR;SOS2;CRK;RHOQ;MAP4K4
