"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison","status"
"MTRNR2L12",0,6.73002332332722,0.778,0.048,0,"MTRNR2L12","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"MT-ATP8",0,3.23151275586577,0.761,0.227,0,"MT-ATP8","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"mTreg",0,20.2623360135804,0.42,0,0,"mTreg","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"non-CD3",0,18.1172016335076,0.42,0,0,"non-CD3","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"mCD4",0,18.511822122173,0.42,0,0,"mCD4","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"mCD8",0,20.2275271087673,0.42,0,0,"mCD8","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"RACK1",0,17.6450685151265,0.412,0,0,"RACK1","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"ATP5F1E",0,15.8925915937328,0.391,0,0,"ATP5F1E","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"CD45RA-TotalSeqC",0,18.9426236665048,0.391,0,0,"CD45RA-TotalSeqC","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"CD4-TotalSeqC",0,20.2992190296909,0.391,0,0,"CD4-TotalSeqC","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"CD8a-TotalSeqC",0,19.7971098995302,0.391,0,0,"CD8a-TotalSeqC","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"CD25-TotalSeqC",0,20.7826892726663,0.391,0,0,"CD25-TotalSeqC","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"CD127-TotalSeqC",0,19.271468836843,0.391,0,0,"CD127-TotalSeqC","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"CD279-TotalSeqC",0,20.2659703238043,0.391,0,0,"CD279-TotalSeqC","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"HLA-DR-TotalSeqC",0,20.4834475540848,0.391,0,0,"HLA-DR-TotalSeqC","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"IgG1-ISO-TotalSeqC",0,20.527658306033,0.391,0,0,"IgG1-ISO-TotalSeqC","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"IgG2a-ISO-TotalSeqC",0,19.5817697832584,0.391,0,0,"IgG2a-ISO-TotalSeqC","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"IgG2b-ISO-TotalSeqC",0,19.2967948873551,0.391,0,0,"IgG2b-ISO-TotalSeqC","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"ATP5MC2",0,15.8341369592373,0.39,0,0,"ATP5MC2","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"ATP5MG",0,15.4329878318244,0.371,0,0,"ATP5MG","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"IFITM1",0,4.339057778705,0.477,0.108,0,"IFITM1","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"FYB1",0,15.0956175676194,0.337,0,0,"FYB1","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"PLCG2",0,3.5307863894909,0.379,0.052,0,"PLCG2","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"MIF",0,2.20929844130845,0.49,0.178,0,"MIF","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"MT-ND4L",0,2.4613911832534,0.913,0.629,0,"MT-ND4L","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"ELOB",0,14.2021533373099,0.283,0,0,"ELOB","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"HIST1H4C",0,1.17740943518923,0.586,0.305,0,"HIST1H4C","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"ATP5F1D",0,14.1976224314083,0.276,0,0,"ATP5F1D","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"RAC2",0,1.11642041037701,0.681,0.429,0,"RAC2","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"GAPDH",0,1.42800051804109,0.809,0.56,0,"GAPDH","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"SELENOW",0,13.8216719951536,0.239,0,0,"SELENOW","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"FXYD5",0,1.35742626302664,0.799,0.565,0,"FXYD5","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"PPDPF",0,1.04624549712867,0.754,0.521,0,"PPDPF","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"GABARAP",0,1.904679929916,0.362,0.131,0,"GABARAP","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"ATP5MC3",0,13.6724515627658,0.226,0,0,"ATP5MC3","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"SELENOH",0,13.7071166210399,0.226,0,0,"SELENOH","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"FLT3LG",0,1.51558294765991,0.386,0.16,0,"FLT3LG","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"PCBP2",0,1.40484454045246,0.751,0.528,0,"PCBP2","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"ATP5PD",0,13.5468825134258,0.216,0,0,"ATP5PD","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"ATP5MF",0,13.4884424842228,0.212,0,0,"ATP5MF","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"ATP5MD",0,13.5491484918233,0.212,0,0,"ATP5MD","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"CLIC1",0,1.15680979539924,0.403,0.196,0,"CLIC1","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"HSPA8",0,1.12906503790716,0.824,0.617,0,"HSPA8","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"ATP5F1A",0,13.5614896129473,0.206,0,0,"ATP5F1A","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"NOP53",0,13.5374604280988,0.205,0,0,"NOP53","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"MCUB",0,13.4845127694108,0.203,0,0,"MCUB","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"DDIT4",0,1.50842566919776,0.355,0.156,0,"DDIT4","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"ATP5IF1",0,13.3803234761698,0.196,0,0,"ATP5IF1","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"PLP2",0,1.21023200357152,0.371,0.175,0,"PLP2","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"REX1BD",0,13.3974655454827,0.196,0,0,"REX1BD","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"ZFP36",0,1.68589443996138,0.349,0.153,0,"ZFP36","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"AC243960.1",0,13.497813571861,0.194,0,0,"AC243960.1","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"MTRNR2L8",0,2.69381723152173,0.231,0.04,0,"MTRNR2L8","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"RTRAF",0,13.304710957498,0.19,0,0,"RTRAF","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"ATP6V0C",0,6.49350998099472,0.193,0.003,0,"ATP6V0C","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"ATP5PF",0,13.2216873934003,0.186,0,0,"ATP5PF","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"RIPOR2",0,13.4160005634921,0.184,0,0,"RIPOR2","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"ATP5MPL",0,13.1888032883643,0.184,0,0,"ATP5MPL","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"ATP5ME",0,13.2569775989197,0.182,0,0,"ATP5ME","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"ATP5PB",0,13.1183715824757,0.174,0,0,"ATP5PB","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"NME2",0,3.89217031508975,0.188,0.015,0,"NME2","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"RPS26",0,1.29401861025611,0.929,0.768,0,"RPS26","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"PTPRCAP",0,6.50943898582999,0.16,0.002,0,"PTPRCAP","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"SEM1",0,12.8885275208282,0.154,0,0,"SEM1","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
"ATP5F1C",0,12.8660745247646,0.154,0,0,"ATP5F1C","AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group"
