Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ATP Biosynthetic Process (GO:0006754)	15/25	4.3187225238223476E-17	8.015549004214277E-14	0	0	48.4375	1825.172804637536	ATP5PF;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5F1A;ATP5F1B;ATP5PO;ATP5MG;ATP5MF;ATP5ME
Proton Motive Force-Driven ATP Synthesis (GO:0015986)	14/60	2.7455063532759856E-9	2.5478298958401145E-6	0	0	9.79331548867829	193.05856930926112	ATP5PF;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5F1B;ATP5PO;ATP5MG;ATP5MF;ATP5ME
Oxidative Phosphorylation (GO:0006119)	12/63	4.0877098901271223E-7	2.3247566344516954E-4	0	0	7.544239586381816	110.97659996685361	ATP5PF;ATP5F1B;ATP5PD;ATP5PB;ATP5PO;ATP5F1C;ATP5MG;ATP5F1D;ATP5MF;ATP5F1E;NIPSNAP2;ATP5ME
Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	11/53	5.010251367352792E-7	2.3247566344516954E-4	0	0	8.387456638284453	121.67355868653786	ATP5PF;ATP5F1B;ATP5PD;ATP5PB;ATP5PO;ATP5F1C;ATP5MG;ATP5F1D;ATP5MF;ATP5F1E;ATP5ME
Regulation Of Actin Nucleation (GO:0051125)	7/24	5.5105296715738536E-6	0.0020455086140882144	0	0	13.11687306501548	158.83024592474413	WASHC4;WASHC5;CARMIL2;WASHC2C;WASHC1;WASHC2A;WASHC3
Regulation Of Arp2/3 Complex-Mediated Actin Nucleation (GO:0034315)	7/30	2.7607169118242744E-5	0.008539817647243089	0	0	9.692076659038902	101.74194540533956	WASHC4;WASHC5;CARMIL2;WASHC2C;WASHC1;WASHC2A;WASHC3
miRNA Catabolic Process (GO:0010587)	4/10	1.6037780398785897E-4	0.03720765052518328	0	0	21.144571740316422	184.76080799856723	TUT4;ELOB;ELOC;TENT4B
Purine Ribonucleoside Triphosphate Biosynthetic Process (GO:0009206)	4/10	1.6037780398785897E-4	0.03720765052518328	0	0	21.144571740316422	184.76080799856723	ATP5F1A;ATP5F1B;ATP5PO;ATP5F1C
Nuclear-Transcribed mRNA poly(A) Tail Shortening (GO:0000289)	5/20	2.856877830289406E-4	0.058915169477968196	0	0	10.584699453551913	86.3776149106722	ZFP36;TUT7;NLRP6;TUT4;CNOT9
Negative Regulation Of Double-Strand Break Repair (GO:2000780)	6/33	4.4991196076152605E-4	0.08350365991733923	0	0	7.063674511950374	54.43591545223091	FBH1;SHLD2;HSF1;SHLD1;CGAS;CYREN
Histone mRNA Catabolic Process (GO:0071044)	4/14	6.929542864233054E-4	0.1169202868728777	0	0	12.684124386252046	92.27125298564876	TUT7;TUT4;TENT2;TENT4B
Regulation Of Double-Strand Break Repair Via Nonhomologous End Joining (GO:2001032)	5/25	8.621450579266636E-4	0.1333451022926573	0	0	7.936475409836065	56.00046113024897	MRNIP;SHLD2;HSF1;SHLD1;CYREN
Positive Regulation Of Myeloid Leukocyte Cytokine Production Involved In Immune Response (GO:0061081)	4/16	0.0011997271571582801	0.17128412336044369	0	0	10.569012547735952	71.08359673818767	CD74;PLCG2;TICAM1;HLA-G
Positive Regulation Of Neutrophil Chemotaxis (GO:0090023)	4/18	0.0019209640992386163	0.25466495487049085	0	0	9.058218377367314	56.658504519146234	CD74;RIPOR2;CXCL8;RAC2
snRNA Processing (GO:0016180)	4/19	0.0023746107987746563	0.29381850950171745	0	0	8.453900709219859	51.08626029160589	INTS11;INTS13;INTS14;INTS6L
snRNA Metabolic Process (GO:0016073)	4/21	0.003492447299509117	0.34813912192678315	0	0	7.458553961682873	42.194177612612364	INTS11;INTS13;INTS14;MTREX
Negative Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:2000042)	4/21	0.003492447299509117	0.34813912192678315	0	0	7.458553961682873	42.194177612612364	FBH1;SHLD2;SHLD1;CGAS
Positive Regulation Of Granulocyte Chemotaxis (GO:0071624)	4/21	0.003492447299509117	0.34813912192678315	0	0	7.458553961682873	42.194177612612364	CD74;RIPOR2;CXCL8;RAC2
ATP Metabolic Process (GO:0046034)	5/34	0.00359643017245579	0.34813912192678315	0	0	5.470887507066139	30.78913481139786	HSPA8;ATP5F1A;ATP5F1B;ATP5PO;ATP5F1C
Negative Regulation Of T Cell Activation (GO:0050868)	6/49	0.003751499158693784	0.34813912192678315	0	0	4.431664566387902	24.753504464129385	RIPOR2;LGALS3;TIGIT;FOXP3;HLA-G;VSIR
Nuclear-Transcribed mRNA Catabolic Process (GO:0000956)	8/85	0.004604127105169512	0.3971998152778496	0	0	3.304820385545262	17.78258473819512	ZFP36;TUT7;NLRP6;TUT4;TENT2;TENT4B;NBDY;CNOT9
Histone mRNA Metabolic Process (GO:0008334)	4/23	0.004922195986740593	0.3971998152778496	0	0	6.672753897837884	35.45901761147085	TUT7;TUT4;TENT2;TENT4B
Positive Regulation Of Neutrophil Migration (GO:1902624)	4/23	0.004922195986740593	0.3971998152778496	0	0	6.672753897837884	35.45901761147085	CD74;RIPOR2;CXCL8;RAC2
RNA 3'-End Processing (GO:0031123)	5/38	0.005866821011768303	0.45370082491008207	0	0	4.80675608544461	24.699239069831687	INTS14;TUT7;TUT4;TENT4B;INTS6L
Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:0000288)	5/39	0.006562853346069393	0.47820957435470424	0	0	4.665139826422372	23.44853137411486	ZFP36;TUT7;NLRP6;TUT4;CNOT9
