Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Oxidative Phosphorylation WP623	14/60	2.7455063532759856E-9	9.883822871793547E-7	0	0	9.79331548867829	193.05856930926112	ATP5PF;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1D;ATP5F1E;ATP5MC1;ATP5F1A;ATP5F1B;ATP5PO;ATP5MG;ATP5MF;ATP5ME
Electron Transport Chain OXPHOS System In Mitochondria WP111	16/105	1.3041618380598607E-7	2.3474913085077494E-5	0	0	5.791225075500366	91.8055987015268	ATP5PF;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5IF1;ATP5F1A;ATP5F1B;ATP5PO;ATP5MG;ATP5MF;ATP5ME
7Q11 23 Copy Number Variation Syndrome WP4932	14/104	3.627560858162407E-6	4.3530730297948884E-4	0	0	4.9940839341837675	62.56064011607939	ATP5PB;ATP5MC2;ATP5MC3;UBE2L6;ATP5F1D;FBLN5;ATP5F1E;ATP5MC1;CLDN5;ATP5F1A;ATP5F1B;ATP5PO;BUD23;GAPDH
Selenium Metabolism And Selenoproteins WP28	8/47	8.327909695932331E-5	0.0074951187263390985	0	0	6.5377434207747225	61.41107011560275	SELENOM;SELENOS;CREM;SELENOW;SELENOF;SELENOT;SELENOK;SELENOH
Selenium Micronutrient Network WP15	8/86	0.004943259519847376	0.3559146854290111	0	0	3.2622819245554004	17.321837323985953	SELENOM;SELENOS;ALOX5AP;SELENOW;SELENOF;SELENOT;SELENOK;SELENOH
T Cell Modulation In Pancreatic Cancer WP5078	5/46	0.013116338488621494	0.7869803093172897	0	0	3.8672530987604956	16.76027510643645	LGALS3;PDCD1;TIGIT;TNFRSF4;VSIR
mRNA Protein And Metabolite Inducation Pathway By Cyclosporin A WP3953	2/7	0.017890399329317613	0.8050679698192925	0	0	12.64600326264274	50.8810810762756	SLC7A5;KEAP1
Cholesterol Biosynthesis With Skeletal Dysplasias WP4804	2/7	0.017890399329317613	0.8050679698192925	0	0	12.64600326264274	50.8810810762756	CYP51A1;DHCR7
Dual Hijack Model Of Vif In HIV Infection WP3300	2/8	0.02337274313095272	0.8414187527142979	0	0	10.53779227841218	39.581894749850086	ELOB;ELOC
Hijack Of Ubiquitination By SARS CoV 2 WP4860	2/8	0.02337274313095272	0.8414187527142979	0	0	10.53779227841218	39.581894749850086	ELOB;ELOC
Macrophage Markers WP4146	2/9	0.029446166955844958	0.963692736736744	0	0	9.031927289676066	31.839273596099048	CD74;RAC2
Nanoparticle Triggered Regulated Necrosis WP2513	2/12	0.050808615501339034	0.9977346679443676	0	0	6.32137030995106	18.835719741258096	TRADD;TICAM1
Phosphatidyl Inositol Phosphate Pathway WP5411	4/46	0.05231813430750754	0.9977346679443676	0	0	3.01504169589276	8.895615898735482	PIP4P2;PIP4P1;PLCG2;PLCD1
TLR4 Signaling And Tolerance WP3851	3/28	0.05364994608416962	0.9977346679443676	0	0	3.796078431372549	11.104572630530539	CXCL8;IRF7;TICAM1
HDAC6 Interactions In The Central Nervous System WP5426	7/112	0.05758394808662185	0.9977346679443676	0	0	2.1140350877192984	6.034537319561601	HSPA8;GRK2;MAP1LC3A;HSF1;ELP1;MIF;FOXP3
Phosphoinositides Metabolism WP4971	4/49	0.06329844345302477	0.9977346679443676	0	0	2.813602473176941	7.76524610382843	PIP4P2;PIP4P1;PLCG2;PLCD1
