"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison","status"
"MTRNR2L12",0,5.80243788986514,0.825,0.107,0,"MTRNR2L12","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"MT-ATP8",0,2.56697253533933,0.696,0.306,0,"MT-ATP8","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"PLCG2",0,2.21511702261841,0.493,0.152,0,"PLCG2","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"HIST1H4C",0,1.067316605829,0.616,0.397,0,"HIST1H4C","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"MTRNR2L8",0,1.84147042438055,0.296,0.089,0,"MTRNR2L8","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"mTreg",0,18.6300721001881,0.201,0,0,"mTreg","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"non-CD3",0,16.6082914979833,0.201,0,0,"non-CD3","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"mCD4",0,17.5773563898357,0.201,0,0,"mCD4","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"mCD8",0,18.8631629071624,0.201,0,0,"mCD8","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"RACK1",0,15.5472613055589,0.197,0,0,"RACK1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"ATP5F1E",0,14.4443806970451,0.186,0,0,"ATP5F1E","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"ATP5MC2",0,13.9913848784118,0.178,0,0,"ATP5MC2","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"CD45RA-TotalSeqC",0,17.3159868439019,0.178,0,0,"CD45RA-TotalSeqC","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"CD4-TotalSeqC",0,18.5369458526115,0.178,0,0,"CD4-TotalSeqC","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"CD8a-TotalSeqC",0,18.5605336932939,0.178,0,0,"CD8a-TotalSeqC","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"CD25-TotalSeqC",0,19.184689433185,0.178,0,0,"CD25-TotalSeqC","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"CD127-TotalSeqC",0,17.6655088118342,0.178,0,0,"CD127-TotalSeqC","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
