Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ATP Biosynthetic Process (GO:0006754)	15/25	5.633409302617814E-21	7.960007344598971E-18	0	0	90.97685185185185	4241.847768545767	ATP5PF;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5F1A;ATP5F1B;ATP5PO;ATP5MG;ATP5MF;ATP5ME
Proton Motive Force-Driven ATP Synthesis (GO:0015986)	14/60	1.0613671402039368E-12	7.498558845540813E-10	0	0	18.368561872909698	506.4481292572433	ATP5PF;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5F1B;ATP5PO;ATP5MG;ATP5MF;ATP5ME
Oxidative Phosphorylation (GO:0006119)	12/63	5.694812760943502E-10	2.6822568104043896E-7	0	0	14.110451520057564	300.3592366218004	ATP5PF;ATP5F1B;ATP5PD;ATP5PB;ATP5PO;ATP5F1C;ATP5MG;ATP5F1D;ATP5MF;ATP5F1E;NIPSNAP2;ATP5ME
Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	11/53	1.1396670320655974E-9	4.025873790771723E-7	0	0	15.665577816492451	322.59387636508785	ATP5PF;ATP5F1B;ATP5PD;ATP5PB;ATP5PO;ATP5F1C;ATP5MG;ATP5F1D;ATP5MF;ATP5F1E;ATP5ME
miRNA Catabolic Process (GO:0010587)	4/10	1.5709976250172934E-5	0.003448072648259997	0	0	39.114427860696516	432.65308120643124	TUT4;ELOB;ELOC;TENT4B
Purine Ribonucleoside Triphosphate Biosynthetic Process (GO:0009206)	4/10	1.5709976250172934E-5	0.003448072648259997	0	0	39.114427860696516	432.65308120643124	ATP5F1A;ATP5F1B;ATP5PO;ATP5F1C
Nuclear-Transcribed mRNA poly(A) Tail Shortening (GO:0000289)	5/20	1.7081747018980875E-5	0.003448072648259997	0	0	19.606786427145707	215.23349977548267	ZFP36;TUT7;NLRP6;TUT4;CNOT9
Regulation Of Actin Nucleation (GO:0051125)	5/24	4.4291513162400736E-5	0.00782298851230903	0	0	15.47589032461393	155.14142818972797	WASHC4;WASHC2C;WASHC1;WASHC2A;WASHC3
Histone mRNA Catabolic Process (GO:0071044)	4/14	7.096597663497013E-5	0.011141658331690311	0	0	23.463880597014924	224.15772510172133	TUT7;TUT4;TENT2;TENT4B
B Cell Mediated Immunity (GO:0019724)	4/15	9.548193803454077E-5	0.012475362630972242	0	0	21.329715061058344	197.44007431995132	CD70;IL21R;SLA2;HLA-G
Nuclear-Transcribed mRNA Catabolic Process (GO:0000956)	8/85	9.711888813920357E-5	0.012475362630972242	0	0	6.147133832934437	56.796902111439984	ZFP36;TUT7;NLRP6;TUT4;TENT2;TENT4B;NBDY;CNOT9
Regulation Of Arp2/3 Complex-Mediated Actin Nucleation (GO:0034315)	5/30	1.366142449257978E-4	0.016086327340012693	0	0	11.758083832335329	104.62753744129239	WASHC4;WASHC2C;WASHC1;WASHC2A;WASHC3
Positive Regulation Of Regulatory T Cell Differentiation (GO:0045591)	4/17	1.6207638426702078E-4	0.01761645622840772	0	0	18.04638346727899	157.49877992739252	IL4I1;FOXP3;HLA-G;VSIR
