Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Oxidative Phosphorylation WP623	14/60	1.0613671402039368E-12	2.8975322927567477E-10	0	0	18.368561872909698	506.4481292572433	ATP5PF;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1D;ATP5F1E;ATP5MC1;ATP5F1A;ATP5F1B;ATP5PO;ATP5MG;ATP5MF;ATP5ME
Electron Transport Chain OXPHOS System In Mitochondria WP111	16/105	2.609017178409545E-11	3.5613084485290288E-9	0	0	10.893380178801266	265.4658190303766	ATP5PF;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5IF1;ATP5F1A;ATP5F1B;ATP5PO;ATP5MG;ATP5MF;ATP5ME
Selenium Metabolism And Selenoproteins WP28	8/47	1.1090169513884062E-6	1.0092054257634497E-4	0	0	12.160198311255714	166.7410838745518	SELENOM;SELENOS;CREM;SELENOW;SELENOF;SELENOT;SELENOK;SELENOH
7Q11 23 Copy Number Variation Syndrome WP4932	10/104	1.0921734723296308E-5	7.45408394864973E-4	0	0	6.327038737631766	72.28487215279873	ATP5F1A;ATP5F1B;ATP5PB;ATP5MC2;ATP5PO;ATP5MC3;BUD23;ATP5F1D;ATP5F1E;ATP5MC1
Selenium Micronutrient Network WP15	7/86	6.452065868463014E-4	0.03522827964180806	0	0	5.226246759188653	38.39169513265064	SELENOM;SELENOS;SELENOW;SELENOF;SELENOT;SELENOK;SELENOH
Dual Hijack Model Of Vif In HIV Infection WP3300	2/8	0.007497102373996547	0.22927282363217794	0	0	19.441147378832838	95.1301744004047	ELOB;ELOC
Hijack Of Ubiquitination By SARS CoV 2 WP4860	2/8	0.007497102373996547	0.22927282363217794	0	0	19.441147378832838	95.1301744004047	ELOB;ELOC
Peptide GPCRs WP24	5/72	0.007523626850953147	0.22927282363217794	0	0	4.377960496916614	21.406943926724963	CXCR3;C5AR1;CCR6;CXCR6;CCR4
T Cell Modulation In Pancreatic Cancer WP5078	4/46	0.007558444735126745	0.22927282363217794	0	0	5.577540867093106	27.24678818198227	ENTPD1;TNFRSF9;PDCD1;VSIR
Type 2 Papillary Renal Cell Carcinoma WP4241	3/34	0.019594043950351973	0.5349173998446088	0	0	5.653801843317972	22.233743321941013	CDKN1A;ELOB;ELOC
Chemokine Signaling WP3929	7/165	0.022655964612586094	0.5622798490214548	0	0	2.602581210919628	9.856839423916165	GNG10;GRK2;CXCR3;CCR6;CXCR6;CCR4;CXCL16
Metabolic Reprogramming In Pancreatic Cancer WP5220	3/42	0.034065920978222815	0.774999702254569	0	0	4.492216117216117	15.181254703234163	BCKDHA;SLC7A5;LDHA
HDAC6 Interactions In The Central Nervous System WP5426	5/112	0.04202496824361889	0.8641417842128334	0	0	2.7357434663383513	8.670915266993475	GRK2;MAP1LC3A;ELP1;MIF;FOXP3
Hypertrophy Model WP516	2/20	0.044521170287333975	0.8641417842128334	0	0	6.4764259808770195	20.153280621972588	NR4A3;EIF4EBP1
miR 517 Relationship With ARCN1 And USP1 WP3596	1/5	0.08193288710604565	0.8641417842128334	0	0	14.539201183431953	36.37497051257061	CDKN1A
2Q37 Copy Number Variation Syndrome WP5224	5/136	0.08197429122302526	0.8641417842128334	0	0	2.231795950084564	5.582501912708915	RTP5;MAP1LC3A;COL6A3;PDCD1;COPS9
Selective Expression Of Chemokine Receptors T Cell Polarization WP4494	2/29	0.08621151482852063	0.8641417842128334	0	0	4.315639081217716	10.577422198406385	CXCR3;CCR4
lncRNA Mediated Mechanisms Of Therapeutic Resistance WP3672	1/6	0.09749798888065243	0.8641417842128334	0	0	11.63076923076923	27.075541341699516	CDKN1A
Benzene Metabolism WP3891	1/6	0.09749798888065243	0.8641417842128334	0	0	11.63076923076923	27.075541341699516	GSTM1
Tryptophan Metabolism WP465	2/33	0.10736185878112126	0.8641417842128334	0	0	3.7580166554991865	8.386203166324101	IL4I1;KYAT3
mRNA Protein And Metabolite Inducation Pathway By Cyclosporin A WP3953	1/7	0.11279996370824102	0.8641417842128334	0	0	9.69181459566075	21.148889145859528	SLC7A5
DDX1 As A Regulatory Component Of The Drosha Microprocessor WP2942	1/7	0.11279996370824102	0.8641417842128334	0	0	9.69181459566075	21.148889145859528	MRE11
Aflatoxin B1 Metabolism WP699	1/7	0.11279996370824102	0.8641417842128334	0	0	9.69181459566075	21.148889145859528	GSTM1
Cholesterol Biosynthesis With Skeletal Dysplasias WP4804	1/7	0.11279996370824102	0.8641417842128334	0	0	9.69181459566075	21.148889145859528	DHCR7
Vitamin B6 Dependent And Responsive Disorders WP4228	1/7	0.11279996370824102	0.8641417842128334	0	0	9.69181459566075	21.148889145859528	PLPBP
LDLRAD4 And What We Know About It WP4904	1/7	0.11279996370824102	0.8641417842128334	0	0	9.69181459566075	21.148889145859528	PMEPA1
Leukocyte Intrinsic Hippo Pathway Functions WP4542	2/34	0.11284735147714185	0.8641417842128334	0	0	3.640393175074184	7.9423158508947855	FYB1;FOXP3
Host Pathogen Interaction Of Human Coronaviruses MAPK Signaling WP4877	2/36	0.12402687923952453	0.8641417842128334	0	0	3.425903299005062	7.15074053530796	IFITM3;IFITM1
Glucose Metabolism In Triple Negative Breast Cancer Cells WP5211	1/8	0.1278432462383505	0.8641417842128334	0	0	8.306846999154692	17.08677229343787	LDHA
Thiamine Metabolic Pathways WP4297	1/9	0.1426321967125269	0.8641417842128334	0	0	7.268121301775148	14.154564576644022	BCKDHA
HIF1A And PPARG In Cardiac Hypertropthy WP2456	1/9	0.1426321967125269	0.8641417842128334	0	0	7.268121301775148	14.154564576644022	LDHA
Nod Like Receptor NLR Signaling WP288	1/9	0.1426321967125269	0.8641417842128334	0	0	7.268121301775148	14.154564576644022	ERBIN
Cytokine Cytokine Receptor Interaction WP5473	7/255	0.14383045440645892	0.8641417842128334	0	0	1.650444520015546	3.200410098202921	CD70;TNFRSF9;IL21R;CCR6;CXCR6;CCR4;CXCL16
Oxidative Damage Response WP3941	2/40	0.1471131624695697	0.8641417842128334	0	0	3.0646571919412775	5.8735784734601735	CDKN1A;C5AR1
ATM Signaling WP2516	2/40	0.1471131624695697	0.8641417842128334	0	0	3.0646571919412775	5.8735784734601735	CDKN1A;MRE11
Vitamin D Metabolism WP1531	1/10	0.15717110230149295	0.8641417842128334	0	0	6.460223537146614	11.954128410568165	DHCR7
DNA IR Damage And Cellular Response Via ATR WP4016	3/81	0.15839667284560985	0.8641417842128334	0	0	2.241643772893773	4.130571185003164	SEM1;MRE11;ABRAXAS1
Inflammatory Bowel Disease Signaling WP5198	2/43	0.16495234529927258	0.8641417842128334	0	0	2.839979735108924	5.117923684055712	IL21R;FOXP3
Integrated Cancer Pathway WP1971	2/44	0.17098105820486717	0.8641417842128334	0	0	2.7722198671753566	4.896301658143909	CDKN1A;MRE11
Induction Of Autophagy And TLR Signaling By Graphene Oxide WP5336	1/11	0.17146417814272444	0.8641417842128334	0	0	5.813905325443787	10.252129651787737	MAP1LC3A
Glycolysis In Senescence WP5049	1/11	0.17146417814272444	0.8641417842128334	0	0	5.813905325443787	10.252129651787737	LDHA
SMC1 SMC3 Role In DNA Damage Cornelia De Lange Syndrome WP5118	1/11	0.17146417814272444	0.8641417842128334	0	0	5.813905325443787	10.252129651787737	MRE11
Glyoxylate Metabolism WP5166	1/11	0.17146417814272444	0.8641417842128334	0	0	5.813905325443787	10.252129651787737	LDHA
IDO Metabolic Pathway WP5414	1/11	0.17146417814272444	0.8641417842128334	0	0	5.813905325443787	10.252129651787737	KYAT3
Phosphatidyl Inositol Phosphate Pathway WP5411	2/46	0.18314362483736796	0.8641417842128334	0	0	2.645940113299164	4.491442591635203	PIP4P1;PLCG2
Complement Mediated Inflam Of Pulmonary Alveolus In COV19 WP5148	1/12	0.18551556860385518	0.8641417842128334	0	0	5.285099515868747	8.903365704147536	C5AR1
Aerobic Glycolysis WP4629	1/12	0.18551556860385518	0.8641417842128334	0	0	5.285099515868747	8.903365704147536	LDHA
Cholesterol Metab With Bloch And Kandutsch Russell Pathways WP4718	2/47	0.18927168479391848	0.8641417842128334	0	0	2.5870095614902735	4.306263189379602	DHCR7;ABCG1
