Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Retina Homeostasis (GO:0001895)	4/39	1.788824264733637E-7	1.5872525187193874E-5	0	0	103.57922077922078	1609.2624045880455	IGHG3;IGKC;IGHA1;JCHAIN
B Cell Receptor Signaling Pathway (GO:0050853)	4/46	3.527227819376416E-7	1.5872525187193874E-5	0	0	86.28571428571429	1281.9971969903536	IGHG3;IGKC;IGLC3;IGHA1
Antimicrobial Humoral Response (GO:0019730)	4/100	8.082295562387204E-6	2.424688668716161E-4	0	0	37.64772727272727	441.4510238762915	PPBP;IGHA1;JCHAIN;PF4
Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	4/134	2.568620253722464E-5	5.779395570875544E-4	0	0	27.753846153846155	293.34584713808863	IGHG3;IGKC;IGLC3;IGHA1
Positive Regulation Of Respiratory Burst (GO:0060267)	2/8	4.528214327454185E-5	8.150785789417534E-4	0	0	277.3333333333333	2774.0537874782267	IGHA1;JCHAIN
Regulation Of Respiratory Burst (GO:0060263)	2/10	7.265883245949173E-5	0.001089882486892376	0	0	207.97916666666666	1981.9864686095777	IGHA1;JCHAIN
Glomerular Filtration (GO:0003094)	2/13	1.2564069753470206E-4	0.0016153803968747408	0	0	151.2348484848485	1358.404162946047	IGHA1;JCHAIN
Renal Filtration (GO:0097205)	2/15	1.6886178864621807E-4	0.0018996951222699533	0	0	127.9551282051282	1111.4732638212781	IGHA1;JCHAIN
Translational Elongation (GO:0006414)	2/42	0.00135513207504301	0.0135513207504301	0	0	41.52916666666667	274.25265129441186	EIF5AL1;EEF1G
Antibacterial Humoral Response (GO:0019731)	2/49	0.001840602226266995	0.016565420036402954	0	0	35.33156028368794	222.50624099408685	IGHA1;JCHAIN
Chemokine-Mediated Signaling Pathway (GO:0070098)	2/57	0.002482071405476492	0.019925078883480142	0	0	30.18030303030303	181.04143160301456	PPBP;PF4
Cellular Response To Chemokine (GO:1990869)	2/59	0.002656677184464019	0.019925078883480142	0	0	29.11842105263158	172.69201162295056	PPBP;PF4
Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)	2/65	0.003214213957921409	0.02166341982789277	0	0	26.33730158730159	151.1806528017435	PPBP;PF4
Translation (GO:0006412)	3/234	0.003369865306561098	0.02166341982789277	0	0	11.147939017504235	63.46390698613597	EIF5AL1;EEF1G;NDUFA7
Neutrophil Chemotaxis (GO:0030593)	2/70	0.0037170469862234513	0.022302281917340707	0	0	24.394607843137255	136.4835800450302	PPBP;PF4
Granulocyte Chemotaxis (GO:0071621)	2/73	0.0040352292410553575	0.022698164480936388	0	0	23.360328638497652	128.77830067421306	PPBP;PF4
Neutrophil Migration (GO:1990266)	2/77	0.004478508328909173	0.023709749976577977	0	0	22.11	119.58116668405684	PPBP;PF4
Positive Regulation Of Metabolic Process (GO:0009893)	2/108	0.008628277760813019	0.043141388804065095	0	0	15.619496855345911	74.2349444914434	IGHA1;JCHAIN
Cellular Response To Molecule Of Bacterial Origin (GO:0071219)	2/117	0.010061306238117178	0.04765881902266031	0	0	14.390579710144927	66.18311474110884	PPBP;PF4
Cellular Response To Lipopolysaccharide (GO:0071222)	2/124	0.01124404952008179	0.05059822284036805	0	0	13.560109289617486	60.856634450440026	PPBP;PF4
Positive Regulation Of Macrophage Differentiation (GO:0045651)	1/10	0.012926985542465876	0.05540136661056804	0	0	88.73333333333333	385.85142072369416	PF4
Killing By Host Of Symbiont Cells (GO:0051873)	1/13	0.016773661823445914	0.06498965382331201	0	0	66.54	272.01188501169923	PF4
Response To Lipopolysaccharide (GO:0032496)	2/159	0.018013337040942285	0.06498965382331201	0	0	10.518577494692144	42.24936907289338	PPBP;PF4
Regulation Of MHC Class II Biosynthetic Process (GO:0045346)	1/14	0.01805268161758667	0.06498965382331201	0	0	61.418461538461536	246.562020931719	PF4
Regulation Of Macrophage Differentiation (GO:0045649)	1/14	0.01805268161758667	0.06498965382331201	0	0	61.418461538461536	246.562020931719	PF4
Defense Response To Protozoan (GO:0042832)	1/15	0.019330101754838777	0.06691189068982654	0	0	57.02857142857143	225.0399736139121	PF4
