Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Chemokine Signaling WP3929	3/165	0.0012468891695578384	0.027431561730272447	0	0	15.951690821256038	106.67060742434137	PPBP;GNG11;PF4
SARS CoV 2 Innate Immunity Evasion And Cell Immune Response WP5039	2/66	0.0033120172933686852	0.03643219022705554	0	0	25.924479166666668	148.03390444922684	PPBP;PF4
Overview Of Proinflammatory And Profibrotic Mediators WP5095	2/129	0.012124717445624045	0.08891459460124299	0	0	13.022965879265092	57.463956048789974	PPBP;PF4
Platelet Mediated Interactions W Vascular And Circulating Cells WP4462	1/17	0.02188015065344143	0.12034082859392786	0	0	49.895	190.70744238188936	PF4
Cytokine Cytokine Receptor Interaction WP5473	2/255	0.04305206273282516	0.1654157536728716	0	0	6.495718050065876	20.431275163471128	PPBP;PF4
Eukaryotic Transcription Initiation WP405	1/42	0.0532226997674706	0.1654157536728716	0	0	19.44682926829268	57.04280645506714	GTF2H2C
Nucleotide Excision Repair WP4753	1/44	0.05568795027574513	0.1654157536728716	0	0	18.54046511627907	53.54470543982107	GTF2H2C
Translation Factors WP107	1/50	0.06304672495404354	0.1654157536728716	0	0	16.26530612244898	44.95534064809558	EEF1G
Mitochondrial Complex I Assembly Model OXPHOS System WP4324	1/56	0.07035034469412263	0.1654157536728716	0	0	14.486545454545455	38.45116817407706	NDUFA7
Oxidative Phosphorylation WP623	1/60	0.07518897894221435	0.1654157536728716	0	0	13.501694915254237	34.93901932570728	NDUFA7
Nucleotide Excision Repair In Xeroderma Pigmentosum WP5114	1/75	0.0931190960947256	0.1862381921894512	0	0	10.756756756756756	25.53520672349185	GTF2H2C
G Protein Signaling WP35	1/91	0.11187600445607333	0.20510600816946778	0	0	8.837333333333333	19.356977885596702	GNG11
Electron Transport Chain OXPHOS System In Mitochondria WP111	1/105	0.12798181377597367	0.21658460792857084	0	0	7.642307692307693	15.711568991148608	NDUFA7
DNA Repair Pathways Full Network WP4946	1/120	0.14492630036851042	0.22774132915051637	0	0	6.673949579831933	12.890933425468226	GTF2H2C
Calcium Regulation In Cardiac Cells WP536	1/151	0.17894732668603963	0.23852041651581016	0	0	5.2864	9.096117010659487	GNG11
Nonalcoholic Fatty Liver Disease WP4396	1/154	0.1821697250085765	0.23852041651581016	0	0	5.181960784313725	8.823928178053572	NDUFA7
Myometrial Relaxation And Contraction Pathways WP289	1/156	0.18431123094403512	0.23852041651581016	0	0	5.114580645161291	8.649418095514111	GNG11
Ras Signaling WP4223	1/184	0.21373199811205507	0.26122799769251176	0	0	4.325901639344262	6.675006363071844	GNG11
Network Map Of SARS CoV 2 Signaling WP5115	1/254	0.2828879763662003	0.32755449895033717	0	0	3.1179446640316204	3.9370421435843475	PF4
Focal Adhesion PI3K Akt mTOR Signaling WP3932	1/303	0.32777600874410323	0.36055360961851357	0	0	2.605562913907285	2.9063095026874386	GNG11
PI3K Akt Signaling WP4172	1/338	0.3581714193096724	0.37522720118156155	0	0	2.3308011869436203	2.3931351602979247	GNG11
Cancer Pathways WP5434	1/507	0.48727709930949475	0.48727709930949475	0	0	1.5389723320158102	1.1064015674934689	GNG11
