"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison","status"
"DIP2A",2.14778131770201e-193,-1.39208131922456,0.253,0.452,5.95236114387936e-189,"DIP2A","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"IGHA1",3.20064718873317e-176,-3.49279007501621,0.025,0.156,8.8702736188551e-172,"IGHA1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD5.1",2.93536375625852e-146,-1.14378639606697,0.188,0.376,8.13506711409485e-142,"CD5.1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"Iglightchainlambda",1.09752849706892e-142,-1.38193201277428,0.171,0.343,3.0416904767768e-138,"Iglightchainlambda","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD26",3.34219671280108e-141,-1.63537263989731,0.155,0.323,9.26256396985692e-137,"CD26","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD93.1",3.16374842444287e-129,-1.03852242030146,0.192,0.368,8.76801238350096e-125,"CD93.1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD116",5.86330520644841e-129,-1.10085650884607,0.179,0.348,1.62495640491511e-124,"CD116","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"IgM",4.78916660570585e-128,-1.62733305809957,0.143,0.294,1.32726963310532e-123,"IgM","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD3",7.7894430001504e-128,-1.39890482947546,0.147,0.308,2.15876623306168e-123,"CD3","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"TCRalpha/beta",1.5185435293244e-127,-1.19404770755227,0.153,0.315,4.20849153716964e-123,"TCRalpha/beta","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD45RO",1.66605997444025e-125,-1.03162028991052,0.17,0.339,4.61731861316371e-121,"CD45RO","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"Iglightchainkappa",3.12063672121048e-125,-1.17648623073799,0.157,0.321,8.64853260916273e-121,"Iglightchainkappa","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"IgGFc",3.06862082376652e-121,-1.76763438850003,0.1,0.237,8.50437575098653e-117,"IgGFc","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD8",1.03910646798169e-113,-1.24772187414888,0.152,0.305,2.87977966536444e-109,"CD8","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"TRGC2",3.38815825263358e-104,-1.30368861594455,0.194,0.333,9.3899417813487e-100,"TRGC2","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"IGKC",4.21871094781689e-102,-1.79491964315875,0.089,0.205,1.16917355207797e-97,"IGKC","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD127-IL-7Ralpha",3.8598787635246e-101,-1.32594793327931,0.122,0.253,1.06972680052321e-96,"CD127-IL-7Ralpha","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"IGLC2",1.28984200332748e-93,-2.47005136376269,0.027,0.11,3.57466812802178e-89,"IGLC2","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD278-ICOS",2.57052151532291e-78,-1.22089766184839,0.1,0.208,7.12394332756592e-74,"CD278-ICOS","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD45RB",3.01345497338857e-76,-1.05800775695112,0.108,0.219,8.35148911324908e-72,"CD45RB","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD9.1",1.26433993546146e-75,-1.40862864092069,0.108,0.216,3.50399169713788e-71,"CD9.1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"ANKRD36C",2.71568101217099e-75,-1.36333348568038,0.105,0.207,7.52623835713069e-71,"ANKRD36C","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD28.1",2.79020095861959e-68,-1.08385088448567,0.11,0.213,7.73276293671834e-64,"CD28.1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"XIST",2.24280390402507e-66,-1.0910971445662,0.262,0.367,6.21570673961508e-62,"XIST","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD96-TACTILE",2.29649676855383e-64,-1.03663116194677,0.111,0.211,6.36451114437009e-60,"CD96-TACTILE","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD27.1",4.14991970557694e-62,-1.21337653183187,0.078,0.165,1.15010874720359e-57,"CD27.1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"ZNF683",2.37530573612402e-55,-1.47834705473433,0.07,0.146,6.58292231709411e-51,"ZNF683","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"GOLGA8B",1.36088600542028e-52,-1.2198350931884,0.096,0.176,3.77155947542176e-48,"GOLGA8B","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"IGLC3",5.0008808840044e-48,-2.96394524248116,0.015,0.059,1.38594412819298e-43,"IGLC3","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"NBPF19",7.57753704935196e-48,-1.45087482454905,0.058,0.124,2.1000386178574e-43,"NBPF19","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD85j-ILT2",5.33374103358902e-44,-1.0382318365178,0.086,0.159,1.47819299004886e-39,"CD85j-ILT2","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"NBPF12",1.24381675734368e-42,-1.97960213932377,0.026,0.074,3.44711376130228e-38,"NBPF12","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"RP11-347P5.1",3.39921383738956e-37,-1.21422303176666,0.071,0.131,9.42058122894142e-33,"RP11-347P5.1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"PAXBP1",3.70761816505214e-37,-1.00754819829778,0.12,0.189,1.02752929826255e-32,"PAXBP1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"PPBP",1.09289128738292e-36,-4.1519756820494,0.003,0.028,3.02883891385302e-32,"PPBP","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"TRBV14",3.15049385021173e-36,-2.70338275163736,0.005,0.033,8.73127865647679e-32,"TRBV14","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"U2AF1",8.29691182347029e-36,-1.010062199463,0.098,0.164,2.29940614275656e-31,"U2AF1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"IGHG3",1.87704186728879e-35,-4.4227254642217,0.002,0.026,5.20203383100415e-31,"IGHG3","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"S100B",1.2188031042525e-34,-1.28872797306262,0.059,0.113,3.37779092312537e-30,"S100B","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD105",1.59056725847944e-31,-1.19082992325464,0.053,0.103,4.40809810014993e-27,"CD105","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD267-TACI",1.73234462022187e-30,-1.02056727505196,0.062,0.114,4.80101988048289e-26,"CD267-TACI","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"TCRVdelta2",8.25195797189075e-29,-2.02717031419164,0.028,0.067,2.2869476323298e-24,"TCRVdelta2","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CLEC1B-CLEC2",1.79708609555795e-28,-1.66349569124303,0.022,0.057,4.9804444052293e-24,"CLEC1B-CLEC2","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"ANKRD36B",2.781025852295e-27,-1.11650217706538,0.057,0.103,7.70733504705037e-23,"ANKRD36B","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"NPIPB5",2.7991313168871e-27,-1.20889359146764,0.054,0.099,7.7575125316209e-23,"NPIPB5","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD340-erbB2/HER-2",3.35546550776423e-27,-1.0196094439158,0.106,0.164,9.29933710821779e-23,"CD340-erbB2/HER-2","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD110",4.83945922389562e-27,-1.30779291317951,0.064,0.111,1.34120772931043e-22,"CD110","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"GOLGA8A",6.16056946300079e-26,-1.00551391857684,0.078,0.128,1.70734022097604e-21,"GOLGA8A","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD61",3.43069057618865e-25,-1.11976288546077,0.069,0.117,9.50781586284922e-21,"CD61","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"ANKRD36",4.12509783492881e-25,-1.02654568051374,0.066,0.112,1.14322961397217e-20,"ANKRD36","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"HLA-DR",1.17824699670509e-23,-1.03670224495602,0.049,0.09,3.26539372666848e-19,"HLA-DR","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD235ab",3.30777560413081e-23,-1.27370882711081,0.043,0.081,9.16716930928814e-19,"CD235ab","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"TRGV5",4.45137961125046e-23,-1.34207389441825,0.038,0.074,1.23365534546195e-18,"TRGV5","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"JCHAIN",1.71479580147219e-22,-2.47345545817758,0.008,0.029,4.75238508420002e-18,"JCHAIN","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"PF4",4.46342359190979e-22,-3.50251553406982,0.002,0.018,1.23699321426188e-17,"PF4","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"NBPF14",1.14530433524825e-21,-1.52061792362177,0.02,0.048,3.17409643470699e-17,"NBPF14","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"FRMD4B",6.75141476304272e-21,-1.8542510528063,0.016,0.041,1.87108708742966e-16,"FRMD4B","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"ARL17A",9.56586365605134e-21,-1.2454307753003,0.032,0.064,2.65108345363807e-16,"ARL17A","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD150-SLAM",5.67309014365738e-20,-1.19550956271919,0.061,0.1,1.57224020241321e-15,"CD150-SLAM","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"EIF5AL1",6.18931976768391e-20,-2.02334686717175,0.008,0.027,1.71530808041592e-15,"EIF5AL1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD126-IL-6Ralpha",1.83347724545501e-19,-1.55871805154281,0.02,0.045,5.08129883805402e-15,"CD126-IL-6Ralpha","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"POLD4",3.60502337591964e-19,-1.02203295201809,0.047,0.082,9.9909617840237e-15,"POLD4","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"HNRNPU-AS1",3.99381983763581e-19,-1.13811165061186,0.05,0.084,1.10684722980239e-14,"HNRNPU-AS1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"IGHG4",5.36194708059102e-19,-4.13858674875765,0.001,0.014,1.486010013915e-14,"IGHG4","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"SDPR",2.1687959439436e-18,-5.68451454659176,0,0.011,6.01060107904528e-14,"SDPR","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD106",2.67142114967626e-17,-1.12630103477645,0.039,0.07,7.40357657421278e-13,"CD106","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD1a",3.45886555995659e-17,-1.15582218949883,0.024,0.05,9.5859000128637e-13,"CD1a","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD269-BCMA",3.63504545753959e-17,-1.16788326026177,0.098,0.139,1.00741649810252e-12,"CD269-BCMA","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CFH",3.72487229764369e-17,-1.69971398965844,0.015,0.037,1.03231110856897e-12,"CFH","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"GNG11",4.35901053089175e-17,-4.60508545644578,0.001,0.012,1.20805617853134e-12,"GNG11","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD169-Sialoadhesin-Siglec-1",2.29307109469069e-16,-1.13488450896153,0.077,0.115,6.35501723182577e-12,"CD169-Sialoadhesin-Siglec-1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"AK9",2.56796311113136e-16,-1.02953775591862,0.044,0.074,7.11685296618946e-12,"AK9","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CHKB",9.57946976192398e-15,-1.07841504107453,0.027,0.051,2.65485424981961e-10,"CHKB","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD146",1.01112460372613e-14,-1.47726552708123,0.015,0.035,2.80223072676659e-10,"CD146","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD25",2.31931550666386e-14,-1.22333172212611,0.021,0.042,6.42775099516821e-10,"CD25","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"XCR1.1",4.41205068550633e-14,-1.42051759462081,0.073,0.105,1.22275572698123e-09,"XCR1.1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD80.1",6.66816349268444e-14,-1.22134000460329,0.024,0.047,1.84801483036256e-09,"CD80.1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD117-c-kit",7.22596873031298e-14,-1.17840075167692,0.028,0.051,2.00260497391894e-09,"CD117-c-kit","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"LINC01116",1.25561865204723e-13,-1.49095216627418,0.014,0.032,3.47982153228368e-09,"LINC01116","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD133",1.41280602188822e-13,-1.08738001983745,0.048,0.076,3.915450609061e-09,"CD133","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD158f-KIR2DL5",1.4362713497746e-13,-1.08170821042443,0.041,0.067,3.98048241876533e-09,"CD158f-KIR2DL5","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"TCRValpha24-Jalpha18-iNKTcell",3.35525708770001e-13,-1.24988125296423,0.057,0.086,9.2987594928518e-09,"TCRValpha24-Jalpha18-iNKTcell","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD307d-FcRL4",3.79233705944857e-13,-1.16167052018939,0.052,0.079,1.05100829265558e-08,"CD307d-FcRL4","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"KCTD7",1.26034029720184e-12,-1.10524284251156,0.029,0.051,3.49290709966519e-08,"KCTD7","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD85g-ILT7",1.905513148948e-12,-1.00987243206246,0.034,0.057,5.2809391409945e-08,"CD85g-ILT7","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"mouseIgG1-kappaisotypeCtrl",1.93851826580931e-12,-1.90578903846478,0.006,0.018,5.37240952186393e-08,"mouseIgG1-kappaisotypeCtrl","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD326-Ep-CAM",3.54779197701133e-12,-1.01316482974825,0.036,0.06,9.83235068508919e-08,"CD326-Ep-CAM","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"FAM231D",3.76869910640365e-12,-1.24289190817484,0.016,0.034,1.04445727034871e-07,"FAM231D","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"RP11-658F2.8",5.40953669602063e-12,-1.09386781716919,0.024,0.044,1.49919899993516e-07,"RP11-658F2.8","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"IGHG1",6.99525417901279e-12,-3.47210053201565,0.001,0.01,1.93866474317161e-07,"IGHG1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"TTN",1.07738230390846e-11,-1.2929939027039,0.02,0.039,2.98585731705191e-07,"TTN","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD42b",1.68198077022955e-11,-1.22284504507224,0.021,0.04,4.66144150661418e-07,"CD42b","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"HBA2",1.86418718570249e-11,-1.8637188351746,0.024,0.044,5.16640836645587e-07,"HBA2","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"GPR89B",1.87785192592059e-11,-1.19396403378749,0.017,0.035,5.20427882749633e-07,"GPR89B","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD41",2.11664285687251e-11,-1.45260516082973,0.014,0.03,5.86606401353647e-07,"CD41","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"AGAP6",2.50973511355796e-11,-1.47306261482059,0.013,0.029,6.95547989371454e-07,"AGAP6","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"RP11-277P12.6",2.95480596390108e-11,-3.11963718761205,0.002,0.01,8.18894924835546e-07,"RP11-277P12.6","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"SLC16A4",3.91860353008847e-11,-1.37482207075689,0.017,0.034,1.08600178232872e-06,"SLC16A4","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"AC058791.1",4.07942975646024e-11,-1.05129063892702,0.031,0.052,1.13057316270539e-06,"AC058791.1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"SRGAP2C",5.20188012166346e-11,-1.1367123049198,0.021,0.039,1.44164905691781e-06,"SRGAP2C","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"HBA1",5.91197131717439e-11,-1.62517935601872,0.038,0.06,1.63844373084171e-06,"HBA1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD309-VEGFR2",6.20735598901977e-11,-1.21883755343449,0.038,0.06,1.72030663879694e-06,"CD309-VEGFR2","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"RP11-819C21.1",9.8091359998739e-11,-1.48611881261333,0.015,0.03,2.71850395100505e-06,"RP11-819C21.1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD135-Flt-3/Flk-2",1.39621404404472e-10,-1.00806329507341,0.076,0.104,3.86946760166554e-06,"CD135-Flt-3/Flk-2","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD123",5.16380289371566e-10,-1.56508324498396,0.036,0.057,1.43109633396436e-05,"CD123","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"NBPF10",7.91655594872074e-10,-2.04497161083451,0.003,0.012,2.19399431562847e-05,"NBPF10","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"NBPF26",1.16761716589754e-09,-2.25603046144795,0.004,0.012,3.23593421356844e-05,"NBPF26","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CTD-2537I9.12",1.6243270167389e-09,-1.61464774892801,0.012,0.024,4.50165989419017e-05,"CTD-2537I9.12","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"SND1-IT1",1.71590167995544e-09,-1.29953816835803,0.019,0.035,4.75544991582852e-05,"SND1-IT1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"NBPF20",1.75912487138887e-09,-1.81296621579891,0.005,0.014,4.87523866856711e-05,"NBPF20","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"MAP3K7CL",1.85775126498358e-09,-1.61985369552672,0.009,0.021,5.14857185577548e-05,"MAP3K7CL","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"RP11-385D13.3",1.99338866454004e-09,-1.26033343951121,0.015,0.029,5.52447734490628e-05,"RP11-385D13.3","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CTC-505O3.3",2.45063757731004e-09,-1.24811082807084,0.014,0.028,6.79169698175705e-05,"CTC-505O3.3","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"KIR3DX1",3.16775352504071e-09,-1.27102851741949,0.015,0.029,8.77911211929783e-05,"KIR3DX1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"TSIX",3.66360335315831e-09,-1.23444378615356,0.016,0.031,0.000101533103329429,"TSIX","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"NOMO1",5.10985985922522e-09,-1.08145591165421,0.016,0.031,0.000141614656138568,"NOMO1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"RBPMS2",5.1529586797571e-09,-1.42493551927678,0.008,0.018,0.000142809096850788,"RBPMS2","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"DOK6",5.29880288537353e-09,-1.08922545805375,0.027,0.044,0.000146851023165242,"DOK6","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CH507-9B2.9",5.73949349768101e-09,-1.21396936697992,0.013,0.026,0.000159064322794732,"CH507-9B2.9","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"RP11-147L13.14",1.14510560185083e-08,-1.47646911356026,0.009,0.02,0.00031735456649694,"RP11-147L13.14","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"ERMN",5.84768620362697e-08,-1.20284040167088,0.012,0.024,0.00162062775447318,"ERMN","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD137-4-1BB",6.21966304390934e-08,-1.00079655205467,0.013,0.025,0.00172371741598904,"CD137-4-1BB","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"LINC00954",6.90872849067207e-08,-1.41569399244044,0.012,0.024,0.00191468501390486,"LINC00954","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"LRRC37A2",7.12225675564719e-08,-1.07536027996938,0.016,0.029,0.00197386223726006,"LRRC37A2","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD171-LICAM",1.00280515917083e-07,-1.2297933044444,0.012,0.023,0.00277917421812605,"CD171-LICAM","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"RP11-367G6.3",1.03058453482884e-07,-1.05398754739723,0.017,0.029,0.00285616197982464,"RP11-367G6.3","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"HIST1H4J",1.16386503474147e-07,-1.22111670731389,0.014,0.026,0.0032255355572825,"HIST1H4J","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"DDX43",1.24565564650786e-07,-1.59129345412308,0.008,0.017,0.00345221005873187,"DDX43","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"RP11-488L18.8",1.44669363987108e-07,-1.1131299855078,0.017,0.029,0.00400936675353871,"RP11-488L18.8","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"RP11-793H13.3",2.04753764357644e-07,-1.92038458395986,0.004,0.011,0.00567454582540773,"RP11-793H13.3","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"ACVR2A",2.14128215865853e-07,-1.17934158046764,0.016,0.028,0.00593434937450625,"ACVR2A","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"SEC31B",2.2537448148156e-07,-1.02868180168065,0.015,0.027,0.00624602837977995,"SEC31B","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"FCGR3B",2.56468685965929e-07,-1.34842542612532,0.008,0.017,0.00710777316285974,"FCGR3B","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"CD20",4.36017088549281e-07,-1.10649539489885,0.008,0.018,0.0120837775920548,"CD20","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"RP11-553L6.5",4.50056879430119e-07,-1.15606547324645,0.016,0.027,0.0124728763565263,"RP11-553L6.5","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"BICD1",4.50589367526928e-07,-1.071240916316,0.019,0.032,0.0124876337316413,"BICD1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
"NPIPB4",5.38852172648748e-07,-1.0196268836816,0.024,0.037,0.0149337491127874,"NPIPB4","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","downregulated in diseased group"
