Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
B Cell Receptor Signaling Pathway (GO:0050853)	7/46	3.126213767545974E-7	1.1098058874788208E-4	0	0	18.670445344129554	279.65102809731	IGHG3;IGHG4;IGHG1;IGKC;IGLC3;IGHA1;MS4A1
Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	8/134	5.5535292364838505E-5	0.009857514394758835	0	0	6.610229276895944	64.7702776357736	IGHG3;IGHG4;IGHG1;IGKC;IGLC3;IGHA1;MS4A1;TRGC2
Retina Homeostasis (GO:0001895)	4/39	5.733953636653524E-4	0.06785178470040003	0	0	11.705699481865285	87.37058111847152	IGHG3;IGKC;IGHA1;JCHAIN
Positive Regulation Of Respiratory Burst (GO:0060267)	2/8	0.0025994009309190567	0.2306968326190663	0	0	33.84102564102564	201.43783445575303	IGHA1;JCHAIN
Regulation Of Respiratory Burst (GO:0060263)	2/10	0.004123755680320674	0.2927866533027678	0	0	25.378205128205128	139.35149488816708	IGHA1;JCHAIN
Microtubule Anchoring At Microtubule Organizing Center (GO:0072393)	2/12	0.00597032836930331	0.311083866491068	0	0	20.30051282051282	103.95797913201734	BICD1;NINL
Glomerular Filtration (GO:0003094)	2/13	0.007010340653319842	0.311083866491068	0	0	18.454079254079254	91.53904235612109	IGHA1;JCHAIN
Regulation Of Immune Effector Process (GO:0002697)	2/13	0.007010340653319842	0.311083866491068	0	0	18.454079254079254	91.53904235612109	ZNF683;CFH
Renal Filtration (GO:0097205)	2/15	0.009315817071160575	0.3674572289180004	0	0	15.613412228796845	73.00896452426382	IGHA1;JCHAIN
Antimicrobial Humoral Response (GO:0019730)	4/100	0.017197436540967073	0.610508997204331	0	0	4.254533678756476	17.28614882835806	PPBP;IGHA1;JCHAIN;PF4
Dendrite Morphogenesis (GO:0048813)	2/35	0.046442780765588484	0.6116880993877972	0	0	6.144522144522145	18.8608211434416	FARP1;DIP2A
Striated Muscle Hypertrophy (GO:0014897)	1/5	0.04829378686343229	0.6116880993877972	0	0	25.253826530612244	76.53051828362327	TTN
Positive Regulation Of Activin Receptor Signaling Pathway (GO:0032927)	1/5	0.04829378686343229	0.6116880993877972	0	0	25.253826530612244	76.53051828362327	ACVR2A
Negative Regulation Of Dendritic Spine Development (GO:0061000)	1/6	0.057670415374589494	0.6116880993877972	0	0	20.20204081632653	57.63664404050928	SRGAP2C
Negative Regulation Of Establishment Of Protein Localization To Mitochondrion (GO:1903748)	1/6	0.057670415374589494	0.6116880993877972	0	0	20.20204081632653	57.63664404050928	C11ORF65
Meiotic DNA Double-Strand Break Formation (GO:0042138)	1/6	0.057670415374589494	0.6116880993877972	0	0	20.20204081632653	57.63664404050928	C11ORF80
Regulation Of Smooth Muscle Cell Differentiation (GO:0051150)	1/6	0.057670415374589494	0.6116880993877972	0	0	20.20204081632653	57.63664404050928	RBPMS2
Positive Regulation Of Protein Localization To Centrosome (GO:1904781)	1/6	0.057670415374589494	0.6116880993877972	0	0	20.20204081632653	57.63664404050928	BICD1
Detection Of Muscle Stretch (GO:0035995)	1/6	0.057670415374589494	0.6116880993877972	0	0	20.20204081632653	57.63664404050928	TTN
Skeletal Muscle Thin Filament Assembly (GO:0030240)	1/6	0.057670415374589494	0.6116880993877972	0	0	20.20204081632653	57.63664404050928	TTN
Lipid Hydroxylation (GO:0002933)	1/6	0.057670415374589494	0.6116880993877972	0	0	20.20204081632653	57.63664404050928	CYP3A5
Store-Operated Calcium Entry (GO:0002115)	1/7	0.06695512749178364	0.6116880993877972	0	0	16.834183673469386	45.515131577766866	MS4A1
