Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Striated Muscle Contraction Pathway WP383	2/38	0.05383830218406456	0.7454710963723724	0	0	5.631623931623932	16.454310579007657	TPM2;TTN
Effects Of Nitric Oxide WP1995	1/8	0.07614881918277594	0.7454710963723724	0	0	14.428571428571429	37.154519475533114	HBA1
Irinotecan Pathway WP229	1/12	0.1120310032789794	0.7454710963723724	0	0	9.17996289424861	20.094751788867637	CYP3A5
Homologous Recombination WP186	1/13	0.12078273510916757	0.7454710963723724	0	0	8.41454081632653	17.786335993718996	POLD4
Kennedy Pathway From Sphingolipids WP3933	1/14	0.12944864464882133	0.7454710963723724	0	0	7.766875981161696	15.879153037390667	CHKB
3Q29 Copy Number Variation Syndrome WP4906	2/64	0.13118446799319314	0.7454710963723724	0	0	3.265674110835401	6.633076562118111	TM4SF19;RABL2A
SARS CoV 2 Innate Immunity Evasion And Cell Immune Response WP5039	2/66	0.13786186630643663	0.7454710963723724	0	0	3.163301282051282	6.268091182495181	PPBP;PF4
GPCRs Class C Metabotropic Glutamate Pheromone WP501	1/15	0.13802956917585696	0.7454710963723724	0	0	7.211734693877551	14.281306966998091	GABBR1
Platelet Mediated Interactions W Vascular And Circulating Cells WP4462	1/17	0.15493977178893165	0.7454710963723724	0	0	6.309630102040816	11.765685914464035	PF4
ACE Inhibitor Pathway WP554	1/17	0.15493977178893165	0.7454710963723724	0	0	6.309630102040816	11.765685914464035	NR3C2
Tamoxifen Metabolism WP691	1/21	0.1877763058274425	0.7454710963723724	0	0	5.046683673469388	8.440598061450936	CYP3A5
Glycerolipids And Glycerophospholipids WP4722	1/22	0.19578510698236704	0.7454710963723724	0	0	4.8061224489795915	7.83752465589223	CHKB
DNA Mismatch Repair WP531	1/23	0.2037153355814816	0.7454710963723724	0	0	4.587430426716141	7.298747108656853	POLD4
Estrogen Metabolism WP5276	1/24	0.2115677585664908	0.7454710963723724	0	0	4.387755102040816	6.8151049279830325	CYP3A5
Chemokine Signaling WP3929	3/165	0.2222819116129496	0.7454710963723724	0	0	1.874856815578465	2.819426235349611	PPBP;GNG11;PF4
1Q21 1 Copy Number Variation Syndrome WP4905	1/27	0.23466575200912493	0.7454710963723724	0	0	3.8808869701726842	5.62570700950055	NBPF12
Glycerophospholipid Biosynthetic Pathway WP2533	1/30	0.25709039830181823	0.7454710963723724	0	0	3.4788881069669246	4.725469425364806	CHKB
GPR143 In Melanocytes And Retinal Pigment Epithelium Cells WP4941	1/30	0.25709039830181823	0.7454710963723724	0	0	3.4788881069669246	4.725469425364806	MC1R
Constitutive Androstane Receptor Pathway WP2875	1/31	0.2644190399487812	0.7454710963723724	0	0	3.362755102040816	4.4732046355544925	CYP3A5
Base Excision Repair WP4752	1/31	0.2644190399487812	0.7454710963723724	0	0	3.362755102040816	4.4732046355544925	POLD4
GABA Receptor Signaling WP4159	1/31	0.2644190399487812	0.7454710963723724	0	0	3.362755102040816	4.4732046355544925	GABBR1
Pregnane X Receptor Pathway WP2876	1/32	0.2716757494661723	0.7454710963723724	0	0	3.2541145490454246	4.240586427607201	CYP3A5
Cardiomyocyte Signaling Converging On Titin WP5344	1/33	0.278861229263361	0.7454710963723724	0	0	3.152264030612245	4.025570432144096	TTN
Fatty Acid Beta Oxidation WP143	1/34	0.2859761750177994	0.7454710963723724	0	0	3.056586270871985	3.8263776680412116	CHKB
Alstrom Syndrome WP5202	1/34	0.2859761750177994	0.7454710963723724	0	0	3.056586270871985	3.8263776680412116	RABL2A
Catabolism Of Skeletal Muscle In Cachexia WP5474	1/40	0.32722274596082745	0.7454710963723724	0	0	2.585557299843014	2.8883626703045158	ACVR2A
