"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison","status"
"MTRNR2L12",0,6.32272306629468,0.847,0.087,0,"MTRNR2L12","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"PLCG2",0,2.11690230250908,0.618,0.196,0,"PLCG2","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"MT-ATP8",0,2.04086179525456,0.631,0.266,0,"MT-ATP8","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"MTRNR2L8",0,2.38617424973584,0.311,0.073,0,"MTRNR2L8","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"MT-ND4L",0,1.21667152516366,0.852,0.65,0,"MT-ND4L","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"non-CD3",2.01192423541382e-171,15.4399083063275,0.087,0,5.57584682602587e-167,"non-CD3","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"mTreg",2.0119242562892e-171,17.4797610308841,0.087,0,5.5758468838799e-167,"mTreg","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"mCD4",2.01192427716478e-171,18.0443736092672,0.087,0,5.57584694173448e-167,"mCD4","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"mCD8",2.01192428760237e-171,16.8965652010116,0.087,0,5.57584697066122e-167,"mCD8","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"RACK1",7.84875433162523e-162,13.5346352006723,0.082,0,2.17520377546662e-157,"RACK1","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"ATP5F1E",6.28958780312746e-156,13.0033985048964,0.079,0,1.74309636375874e-151,"ATP5F1E","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"ATP5MC2",1.00390297482783e-144,12.3969842826577,0.073,0,2.78221670443785e-140,"ATP5MC2","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"ATP5MG",2.33244116630574e-136,12.0804468346371,0.069,0,6.46412744829973e-132,"ATP5MG","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"ELOB",5.38985156261068e-120,11.644080429889,0.061,0,1.49374346206193e-115,"ELOB","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"PAXX",2.03602954283886e-108,11.4707937113265,0.055,0,5.64265227502361e-104,"PAXX","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"ATP5F1D",5.51359170141311e-95,11.0582685715171,0.048,0,1.52803680412963e-90,"ATP5F1D","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"ATP5MC3",1.95874664550898e-91,10.9103914039748,0.047,0,5.42847045336358e-87,"ATP5MC3","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"ATP5MF",1.58150487875316e-86,10.8594450756327,0.044,0,4.38298262097652e-82,"ATP5MF","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"IgG2a-ISO-TotalSeqC",1.03729888837777e-85,15.6955182652132,0.044,0,2.87477013925015e-81,"IgG2a-ISO-TotalSeqC","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"CD45RA-TotalSeqC",1.03729889355806e-85,15.026129500556,0.044,0,2.8747701536068e-81,"CD45RA-TotalSeqC","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"CD4-TotalSeqC",1.03729889355806e-85,16.2037397600158,0.044,0,2.8747701536068e-81,"CD4-TotalSeqC","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"CD25-TotalSeqC",1.03729889355806e-85,16.8912241091327,0.044,0,2.8747701536068e-81,"CD25-TotalSeqC","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"CD127-TotalSeqC",1.03729889355806e-85,15.3605855968129,0.044,0,2.8747701536068e-81,"CD127-TotalSeqC","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"CD8a-TotalSeqC",1.03729889873842e-85,16.1433237299448,0.044,0,2.87477016796364e-81,"CD8a-TotalSeqC","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"CD279-TotalSeqC",1.03729889873842e-85,16.3845641601682,0.044,0,2.87477016796364e-81,"CD279-TotalSeqC","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"HLA-DR-TotalSeqC",1.03729889873842e-85,16.596059122145,0.044,0,2.87477016796364e-81,"HLA-DR-TotalSeqC","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
"IgG1-ISO-TotalSeqC",1.03729889873842e-85,16.6741259745972,0.044,0,2.87477016796364e-81,"IgG1-ISO-TotalSeqC","AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group"
