Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ATP Biosynthetic Process (GO:0006754)	14/25	5.3009305111980324E-24	4.373267671738377E-21	0	0	181.62459123610202	9734.017376953037	ATP5PF;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5F1A;ATP5F1B;ATP5MG;ATP5MF;ATP5ME
Proton Motive Force-Driven ATP Synthesis (GO:0015986)	13/60	6.9396365785440875E-16	2.8626000886494363E-13	0	0	39.11854103343465	1365.3979406746828	ATP5PF;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5F1B;ATP5MG;ATP5MF;ATP5ME
Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	10/53	7.502193977332272E-12	2.0631033437663746E-9	0	0	32.206862904537324	825.0053835386891	ATP5PF;ATP5F1B;ATP5PD;ATP5PB;ATP5F1C;ATP5MG;ATP5F1D;ATP5MF;ATP5F1E;ATP5ME
Oxidative Phosphorylation (GO:0006119)	10/63	4.607018563349111E-11	9.501975786907541E-9	0	0	26.11690196595857	621.6045995514302	ATP5PF;ATP5F1B;ATP5PD;ATP5PB;ATP5F1C;ATP5MG;ATP5F1D;ATP5MF;ATP5F1E;ATP5ME
miRNA Catabolic Process (GO:0010587)	3/10	5.064236951739162E-5	0.006963325808641348	0	0	56.68571428571428	560.6626407935377	TUT4;ELOB;ELOC
Purine Ribonucleoside Triphosphate Biosynthetic Process (GO:0009206)	3/10	5.064236951739162E-5	0.006963325808641348	0	0	56.68571428571428	560.6626407935377	ATP5F1A;ATP5F1B;ATP5F1C
Positive Regulation Of Myeloid Leukocyte Cytokine Production Involved In Immune Response (GO:0061081)	3/16	2.2849300123969877E-4	0.026929532288964497	0	0	30.513846153846153	255.8282380287961	NR4A3;PLCG2;HLA-G
Negative Regulation Of Execution Phase Of Apoptosis (GO:1900118)	3/19	3.887720575017704E-4	0.04009211842987007	0	0	24.78875	194.65408962158548	MTRNR2L12;MTRNR2L8;MTRNR2L1
Regulation Of Type B Pancreatic Cell Proliferation (GO:0061469)	2/5	5.726824628379199E-4	0.052495892426809326	0	0	87.61147902869757	654.0353875035723	NR4A1;NR4A3
Regulation Of Execution Phase Of Apoptosis (GO:1900117)	3/24	7.896027577032904E-4	0.06514222751052146	0	0	18.88190476190476	134.8919608818361	MTRNR2L12;MTRNR2L8;MTRNR2L1
Negative Regulation Of miRNA-mediated Gene Silencing (GO:0060965)	2/7	0.0011905867758176631	0.08929400818632474	0	0	52.56158940397351	353.9134232227505	ELOB;ELOC
Positive Regulation Of Macrophage Cytokine Production (GO:0060907)	2/8	0.0015794846162693692	0.10858956736851913	0	0	43.799116997792495	282.53306652560025	PLCG2;HLA-G
Positive Regulation Of Cytokine Production Involved In Immune Response (GO:0002720)	3/33	0.002024014321242918	0.1284470626942621	0	0	13.211333333333334	81.94557331912594	SLC7A5;PLCG2;HLA-G
ATP Metabolic Process (GO:0046034)	3/34	0.0022075283452870796	0.13008649177584578	0	0	12.784516129032259	78.18858932513976	ATP5F1A;ATP5F1B;ATP5F1C
Negative Regulation Of Protein Kinase B Signaling (GO:0051898)	3/36	0.0026047525056612404	0.1432613878113682	0	0	12.008484848484848	71.45549978045898	RACK1;HLA-G;NOP53
Regulation Of Macrophage Cytokine Production (GO:0010935)	2/13	0.0042909002761374404	0.22124954548833678	0	0	23.884406983744732	130.2000816864676	PLCG2;HLA-G
Response To Glucose (GO:0009749)	3/46	0.005237931966117283	0.24096696643082877	0	0	9.211162790697674	48.3754474604008	SELENOS;RACK1;SELENOT
Regulation Of Epithelial Cell Proliferation (GO:0050678)	4/91	0.005257461085763537	0.24096696643082877	0	0	6.097354007559979	31.999566566082592	NR4A1;NR4A3;C5AR1;NME2
Endoplasmic Reticulum To Cytosol Transport (GO:1903513)	2/15	0.005718611687536059	0.241863120826311	0	0	20.207845134997452	104.35390264970577	SELENOS;UFD1
Proton Transmembrane Transport (GO:1902600)	3/49	0.006252231517952092	0.241863120826311	0	0	8.609130434782609	43.68976007449629	ATP5F1B;ATP6V0C;ATP5MF
Negative Regulation Of T Cell Activation (GO:0050868)	3/49	0.006252231517952092	0.241863120826311	0	0	8.609130434782609	43.68976007449629	RIPOR2;HLA-G;VSIR
Regulation Of Establishment Of Cell Polarity (GO:2000114)	2/17	0.007333189458751029	0.241863120826311	0	0	17.511699779249447	86.07604128886801	RIPOR2;RACK1
Retrograde Protein Transport, ER To Cytosol (GO:0030970)	2/17	0.007333189458751029	0.241863120826311	0	0	17.511699779249447	86.07604128886801	SELENOS;UFD1
Positive Regulation Of Regulatory T Cell Differentiation (GO:0045591)	2/17	0.007333189458751029	0.241863120826311	0	0	17.511699779249447	86.07604128886801	HLA-G;VSIR
