Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Oxidative Phosphorylation WP623	13/60	6.9396365785440875E-16	9.021527552107314E-14	0	0	39.11854103343465	1365.3979406746828	ATP5PF;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1D;ATP5F1E;ATP5MC1;ATP5F1A;ATP5F1B;ATP5MG;ATP5MF;ATP5ME
Electron Transport Chain OXPHOS System In Mitochondria WP111	15/105	2.7573567407489722E-15	1.792281881486832E-13	0	0	23.86111111111111	799.9319119467896	ATP5PF;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5IF1;ATP5F1A;ATP5F1B;ATP5MG;ATP5MF;ATP5ME
Selenium Metabolism And Selenoproteins WP28	7/47	6.500110375660487E-8	2.8167144961195444E-6	0	0	23.74126712328767	392.8909435072347	SELENOM;SELENOS;SELENOW;SELENOF;SELENOT;SELENOK;SELENOH
7Q11 23 Copy Number Variation Syndrome WP4932	9/104	1.0481565695447395E-7	3.4065088510204037E-6	0	0	12.994736842105263	208.83923027096128	ATP5F1A;ATP5F1B;ATP5PB;ATP5MC2;ATP5MC3;BUD23;ATP5F1D;ATP5F1E;ATP5MC1
Selenium Micronutrient Network WP15	7/86	4.329226365422795E-6	1.1255988550099266E-4	0	0	11.997225593896307	148.16719615185193	SELENOM;SELENOS;SELENOW;SELENOF;SELENOT;SELENOK;SELENOH
Dual Hijack Model Of Vif In HIV Infection WP3300	2/8	0.0015794846162693692	0.02933328573071686	0	0	43.799116997792495	282.53306652560025	ELOB;ELOC
Hijack Of Ubiquitination By SARS CoV 2 WP4860	2/8	0.0015794846162693692	0.02933328573071686	0	0	43.799116997792495	282.53306652560025	ELOB;ELOC
Resistin As A Regulator Of Inflammation WP4481	2/33	0.026290582825638644	0.4014945574711667	0	0	8.466566972869044	30.805980450752738	CXCL8;PLCG2
Type 2 Papillary Renal Cell Carcinoma WP4241	2/34	0.027795777055696153	0.4014945574711667	0	0	8.201572847682119	29.38517893984541	ELOB;ELOC
Corticotropin Releasing Hormone Signaling WP2355	3/92	0.033630777097508224	0.4372001022676069	0	0	4.44	15.061872589245166	NR4A1;CXCL8;PLCG2
Metabolic Reprogramming In Pancreatic Cancer WP5220	2/42	0.04100769056191088	0.4846363430044013	0	0	6.558609271523179	20.948169517314255	BCKDHA;SLC7A5
T Cell Modulation In Pancreatic Cancer WP5078	2/46	0.04833462649023576	0.4860515030478542	0	0	5.961167971101746	18.05999663438655	PDCD1;VSIR
mRNA Protein And Metabolite Inducation Pathway By Cyclosporin A WP3953	1/7	0.052344008020538145	0.4860515030478542	0	0	21.75548245614035	64.17688512307375	SLC7A5
Amino Acid Metabolism In Triple Negative Breast Cancer Cells WP5213	1/7	0.052344008020538145	0.4860515030478542	0	0	21.75548245614035	64.17688512307375	PSPH
Serine Metabolism WP4688	1/8	0.05959609817777477	0.5164995175407147	0	0	18.646616541353385	52.586538580428204	PSPH
Thiamine Metabolic Pathways WP4297	1/9	0.0667930516009897	0.5426935442580413	0	0	16.314967105263158	44.15084974035449	BCKDHA
Modulators Of TCR Signaling And T Cell Activation WP5072	2/61	0.07941913221629093	0.5832375232057958	0	0	4.442249410708272	11.252288743813576	CD5;ELOB
Complement Mediated Inflam Of Pulmonary Alveolus In COV19 WP5148	1/12	0.08805723853684597	0.5832375232057958	0	0	11.863636363636363	28.825886823881046	C5AR1
SARS CoV 2 Innate Immunity Evasion And Cell Immune Response WP5039	2/66	0.0908565577015772	0.5832375232057958	0	0	4.094163907284768	9.819742838365377	IFITM1;CXCL8
GPR40 Pathway WP3958	1/15	0.10883999596567286	0.5832375232057958	0	0	9.320018796992482	20.67064975729193	PLCG2
COVID 19 Adverse Outcome Pathway WP4891	1/15	0.10883999596567286	0.5832375232057958	0	0	9.320018796992482	20.67064975729193	CXCL8
Extrafollicular And Follicular B Cell Activation By SARS CoV 2 WP5218	2/74	0.11006634961923006	0.5832375232057958	0	0	3.637785136129507	8.027398298783927	IFITM1;PDCD1
Non Genomic Actions Of 1 25 Dihydroxyvitamin D3 WP4341	2/76	0.11502419943403072	0.5832375232057958	0	0	3.53910864506891	7.65372145431591	CXCL8;PLCG2
Hedgehog Signaling WP47	1/16	0.11566247590924368	0.5832375232057958	0	0	8.698245614035088	18.76280312216257	GRK2
Cells And Molecules Involved In Acute Inflammatory Response WP4493	1/17	0.12243306380753789	0.5832375232057958	0	0	8.154194078947368	17.12536351840853	CXCL8
KCNQ2 Related Epilepsies WP5360	1/19	0.13582012879504807	0.5832375232057958	0	0	7.247441520467836	14.468965110330698	PLCG2
LTF Danger Signal Response Pathway WP4478	1/19	0.13582012879504807	0.5832375232057958	0	0	7.247441520467836	14.468965110330698	CXCL8
Overview Of Nanoparticle Effects WP3287	1/19	0.13582012879504807	0.5832375232057958	0	0	7.247441520467836	14.468965110330698	CXCL8
Ca Mediated T Cell Apoptosis Inclusion Body Myositis WP5142	1/20	0.14243738126427385	0.5832375232057958	0	0	6.865650969529086	13.380143154067955	NR4A1
Hypertrophy Model WP516	1/20	0.14243738126427385	0.5832375232057958	0	0	6.865650969529086	13.380143154067955	NR4A3
Pathogenesis Of SARS CoV 2 Mediated By Nsp9 Nsp10 Complex WP4884	1/21	0.14900429247911615	0.5832375232057958	0	0	6.52203947368421	12.41652938447938	CXCL8
Allograft Rejection WP2328	2/90	0.15114962857517103	0.5832375232057958	0	0	2.9739614689945815	5.619255631107565	CXCL8;HLA-G
Immune Response To Tuberculosis WP4197	1/22	0.15552124285113708	0.5832375232057958	0	0	6.211152882205514	11.558787481713889	IFITM1
Post COVID Neuroinflammation WP5485	1/23	0.16198861000362844	0.5832375232057958	0	0	5.928528708133971	10.791281392710752	CXCL8
Cancer Immunotherapy By PD 1 Blockade WP4585	1/23	0.16198861000362844	0.5832375232057958	0	0	5.928528708133971	10.791281392710752	PDCD1
Ebstein Barr Virus LMP1 Signaling WP262	1/23	0.16198861000362844	0.5832375232057958	0	0	5.928528708133971	10.791281392710752	CXCL8
Leucine Isoleucine And Valine Metabolism WP4686	1/24	0.16840676870212098	0.5832375232057958	0	0	5.670480549199085	10.101240855441755	BCKDHA
TLR4 Signaling And Tolerance WP3851	1/28	0.1935947163491604	0.5832375232057958	0	0	4.82943469785575	7.929875733587353	CXCL8
Interactions Immune Cells And miRNAs In Tumor Microenvironment WP4559	1/28	0.1935947163491604	0.5832375232057958	0	0	4.82943469785575	7.929875733587353	PDCD1
Angiotensin II Receptor Type 1 Pathway WP5036	1/28	0.1935947163491604	0.5832375232057958	0	0	4.82943469785575	7.929875733587353	RACK1
T Cell Receptor And Co Stimulatory Signaling WP2583	1/28	0.1935947163491604	0.5832375232057958	0	0	4.82943469785575	7.929875733587353	PDCD1
Lipid Metabolism Pathway WP3965	1/29	0.19977235663096413	0.5832375232057958	0	0	4.65671992481203	7.500004970410198	BCKDHA
Macrophage Stimulating Protein MSP Signaling WP5353	2/108	0.20023103527011207	0.5832375232057958	0	0	2.4666999875046858	3.967152649557084	NR4A1;CXCL8
Antiviral And Anti-Inflam Effects Of Nrf2 On SARS CoV 2 Pathway WP5113	1/31	0.21198693811864255	0.5832375232057958	0	0	4.345833333333333	6.741389731112457	CXCL8
16P11 2 Distal Deletion Syndrome WP4950	1/31	0.21198693811864255	0.5832375232057958	0	0	4.345833333333333	6.741389731112457	IFITM1
Metabolic Pathways Of Fibroblasts WP5312	1/32	0.21802458770746805	0.5832375232057958	0	0	4.205432937181664	6.4054943909297215	PSPH
Prostaglandin Signaling WP5088	1/33	0.2240162776659728	0.5832375232057958	0	0	4.0738075657894735	6.094565063407445	CXCL8
Leukocyte Intrinsic Hippo Pathway Functions WP4542	1/34	0.2299623555726211	0.5832375232057958	0	0	3.9501594896331738	5.806101060955312	FYB1
Spinal Cord Injury WP2431	2/119	0.23106993764809225	0.5832375232057958	0	0	2.233542763344088	3.272217995978932	NR4A1;CXCL8
VEGFA VEGFR2 Signaling WP3888	5/430	0.23356094440126032	0.5832375232057958	0	0	1.543879173290938	2.245282366553555	NR4A1;NR4A3;CXCL8;RACK1;ELOC
Photodynamic Therapy Induced NF kB Survival Signaling WP3617	1/35	0.23586316635360646	0.5832375232057958	0	0	3.8337848297213624	5.537915396582044	CXCL8
Host Pathogen Interaction Of Human Coronaviruses MAPK Signaling WP4877	1/36	0.24171905240606473	0.5832375232057958	0	0	3.72406015037594	5.288087832831559	IFITM1
miRNA Role In Immune Response In Sepsis WP4329	1/37	0.24753035347454788	0.5832375232057958	0	0	3.6204312865497075	5.054926044171352	CXCL8
Genetic Causes Of Porto Sinusoidal Vascular Disease WP5269	1/37	0.24753035347454788	0.5832375232057958	0	0	3.6204312865497075	5.054926044171352	CYBC1
Nuclear Receptors WP170	1/38	0.2532974068348052	0.5832375232057958	0	0	3.5224039829302987	4.836933305251092	NR4A1
Immune Infiltration In Pancreatic Cancer WP5285	1/39	0.25902054715989925	0.5832375232057958	0	0	3.4295360110803323	4.6327814765838085	CXCL8
Bladder Cancer WP2828	1/40	0.2647001066857073	0.5832375232057958	0	0	3.341430499325236	4.441288300084146	CXCL8
Microglia Pathogen Phagocytosis Pathway WP3937	1/40	0.2647001066857073	0.5832375232057958	0	0	3.341430499325236	4.441288300084146	PLCG2
Oxidative Damage Response WP3941	1/40	0.2647001066857073	0.5832375232057958	0	0	3.341430499325236	4.441288300084146	C5AR1
Metabolic Reprogramming In Colon Cancer WP4290	1/42	0.2759297994767553	0.5902012260535261	0	0	3.17811296534018	4.092166206753768	PSPH
2Q37 Copy Number Variation Syndrome WP5224	2/136	0.27919414156459316	0.5902012260535261	0	0	1.9485025205100326	2.485992831885897	PDCD1;COPS9
Hedgehog Signaling WP4249	1/43	0.28148058473322013	0.5902012260535261	0	0	3.1022869674185465	3.9327437639069873	GRK2
TROP2 Regulatory Signaling WP5300	1/45	0.2924556445992719	0.5914219902352966	0	0	2.960974880382775	3.640347667113131	RACK1
Aryl Hydrocarbon Receptor Pathway WP2873	1/45	0.2924556445992719	0.5914219902352966	0	0	2.960974880382775	3.640347667113131	SLC7A5
Phosphatidyl Inositol Phosphate Pathway WP5411	1/46	0.2978805565797009	0.5914219902352966	0	0	2.8950292397660817	3.5060618977899556	PLCG2
IL26 Signaling WP5347	1/48	0.30860672010835594	0.5914219902352966	0	0	2.7715565509518476	3.2584845675973475	CXCL8
Phosphoinositides Metabolism WP4971	1/49	0.3139085948171959	0.5914219902352966	0	0	2.7136787280701755	3.1442131791131276	PLCG2
IL3 Signaling WP286	1/49	0.3139085948171959	0.5914219902352966	0	0	2.7136787280701755	3.1442131791131276	CXCL8
Hepatitis C And Hepatocellular Carcinoma WP3646	1/49	0.3139085948171959	0.5914219902352966	0	0	2.7136787280701755	3.1442131791131276	CXCL8
Nonalcoholic Fatty Liver Disease WP4396	2/154	0.329928415750567	0.6086988439366533	0	0	1.7161903102126177	1.9030483732620245	CXCL8;UQCRHL
Interferon Type I Signaling WP585	1/54	0.33981815033240975	0.6086988439366533	0	0	2.4570506454816288	2.6520044847533275	RACK1
Cancer Pathways WP5434	5/507	0.3470199467434666	0.6086988439366533	0	0	1.3018870464089587	1.377882121461456	GNG10;CXCL8;PLCG2;ELOB;ELOC
Proximal Tubule Transport WP4917	1/57	0.3548948306523031	0.6086988439366533	0	0	2.3250704887218046	2.4086190719630425	ATP6V0C
Complement And Coagulation Cascades WP558	1/58	0.3598439818253401	0.6086988439366533	0	0	2.284164358264081	2.3346095006298744	C5AR1
Chemokine Signaling WP3929	2/165	0.36048151986143745	0.6086988439366533	0	0	1.5994799496201195	1.6319727227581224	GNG10;GRK2
Dengue 2 Interactions With Complement And Coagulation Cascades WP3896	1/59	0.3647554100811169	0.6086988439366533	0	0	2.244668784029038	2.2638119016640625	C5AR1
Novel Intracellular Components Of RIG I Like Receptor Pathway WP3865	1/60	0.3696294009732855	0.6086988439366533	0	0	2.2065120428189116	2.1960408066704202	CXCL8
2Q13 Copy Number Variation Syndrome WP5222	1/60	0.3696294009732855	0.6086988439366533	0	0	2.2065120428189116	2.1960408066704202	PLCG2
T Cell Antigen Receptor TCR Pathway During Staph A. Infection WP3863	1/62	0.37926620276053014	0.6086988439366533	0	0	2.1339516824849007	2.0689023021108937	PDCD1
TAR Syndrome WP5362	1/62	0.37926620276053014	0.6086988439366533	0	0	2.1339516824849007	2.0689023021108937	HLA-G
Proteasome Degradation WP183	1/62	0.37926620276053014	0.6086988439366533	0	0	2.1339516824849007	2.0689023021108937	HLA-G
Lung Fibrosis WP3624	1/63	0.38402957424876427	0.6088273738090165	0	0	2.0994269949066213	2.0092266111449493	CXCL8
Trans Sulfuration One Carbon Metabolism And Related Pathways WP2525	1/69	0.41185672165643283	0.6332944079948375	0	0	1.9136029411764706	1.697518424563464	PSPH
Ras Signaling WP4223	2/184	0.4119651267642619	0.6332944079948375	0	0	1.4311185503238484	1.2691396540667472	GNG10;PLCG2
Leptin Signaling WP2034	1/71	0.420852015624341	0.6332944079948375	0	0	1.8587406015037593	1.6086916892256797	PLCG2
Peptide GPCRs WP24	1/72	0.4252982732461347	0.6332944079948375	0	0	1.832468495181616	1.5666955782112517	C5AR1
Non Small Cell Lung Cancer WP4255	1/72	0.4252982732461347	0.6332944079948375	0	0	1.832468495181616	1.5666955782112517	PLCG2
Affected Pathways In Duchenne Muscular Dystrophy WP5356	1/74	0.434089304493139	0.6332944079948375	0	0	1.782083633741889	1.4871576944500675	MCUB
Burn Wound Healing WP5055	1/74	0.434089304493139	0.6332944079948375	0	0	1.782083633741889	1.4871576944500675	CXCL8
T Cell Receptor Signaling WP69	1/75	0.43843459015027214	0.6332944079948375	0	0	1.757912517780939	1.4494773539178465	FYB1
DNA IR Damage And Cellular Response Via ATR WP4016	1/81	0.463818912716545	0.6467271325447108	0	0	1.625575657894737	1.248866506086425	SEM1
Glioblastoma Signaling WP2261	1/82	0.4679373689365902	0.6467271325447108	0	0	1.6054256010396362	1.2191936249114317	PLCG2
EGFR Tyrosine Kinase Inhibitor Resistance WP4806	1/84	0.47608023219482754	0.6467271325447108	0	0	1.566582117945466	1.1626685020498957	PLCG2
Polycystic Kidney Disease Pathway WP2571	1/84	0.47608023219482754	0.6467271325447108	0	0	1.566582117945466	1.1626685020498957	PLCG2
Clear Cell Renal Cell Carcinoma Pathways WP4018	1/85	0.48010511399020434	0.6467271325447108	0	0	1.5478540100250626	1.1357382073428948	PSPH
Androgen Receptor Signaling WP138	1/87	0.48806295154219737	0.6467271325447108	0	0	1.5117044063647491	1.0843620216374719	RACK1
Orexin Receptor Pathway WP5094	1/88	0.4919963713286794	0.6467271325447108	0	0	1.4942528735632183	1.0598495623273694	CXCL8
TNF Alpha Signaling WP231	1/89	0.49589976504300626	0.6467271325447108	0	0	1.477197966507177	1.036079265403561	PTPRCAP
ErbB Signaling WP673	1/90	0.49977336030983044	0.6467271325447108	0	0	1.4605263157894737	1.0130218744732964	PLCG2
G Protein Signaling WP35	1/91	0.5036173831678689	0.6467271325447108	0	0	1.4442251461988305	0.9906495720994232	GNG10
Metabolic Epileptic Disorders WP5355	1/92	0.5074320578427731	0.6467271325447108	0	0	1.4282822440717178	0.9689358954182207	PSPH
B Cell Receptor Signaling WP23	1/92	0.5074320578427731	0.6467271325447108	0	0	1.4282822440717178	0.9689358954182207	PLCG2
Toll Like Receptor Signaling WP75	1/95	0.5187022108834505	0.6483777636043131	0	0	1.3824888017917134	0.9075006752356383	CXCL8
Complement System WP2806	1/95	0.5187022108834505	0.6483777636043131	0	0	1.3824888017917134	0.9075006752356383	C5AR1
1P36 Copy Number Variation Syndrome WP5345	1/102	0.5440128099873058	0.673539669508093	0	0	1.2862167795726942	0.7830262468444781	INTS11
Complement System In Neuronal Development And Plasticity WP5090	1/106	0.5578776089361108	0.6841895203933435	0	0	1.236967418546366	0.721913580473614	C5AR1
HDAC6 Interactions In The Central Nervous System WP5426	1/112	0.5778933065595439	0.6931034655568514	0	0	1.1697486960644856	0.6414504346106595	GRK2
Network Map Of SARS CoV 2 Signaling WP5115	2/254	0.581051765037543	0.6931034655568514	0	0	1.0299064438137286	0.5591520994413206	IFITM1;CXCL8
Senescence Associated Secretory Phenotype SASP WP3391	1/113	0.5811405980438216	0.6931034655568514	0	0	1.1592457706766917	0.6291952000925306	CXCL8
Gastrin Signaling WP4659	1/115	0.5875609104148768	0.6943901668539454	0	0	1.1387927054478302	0.6055819020847116	CXCL8
22Q11 2 Copy Number Variation Syndrome WP4657	1/119	0.6001096804274113	0.7001279332637061	0	0	1.0999665477252454	0.5616900415710411	UFD1
DNA Repair Pathways Full Network WP4946	1/120	0.603187142504116	0.7001279332637061	0	0	1.0906678460858028	0.551362892759982	CENPX
Ebola Virus Infection In Host WP4217	1/129	0.6298466222851268	0.7182461482198814	0	0	1.0135176809210527	0.4685278852147893	HLA-G
Overview Of Proinflammatory And Profibrotic Mediators WP5095	1/129	0.6298466222851268	0.7182461482198814	0	0	1.0135176809210527	0.4685278852147893	CXCL8
Measles Virus Infection WP4630	1/136	0.6493448569574868	0.7300316114495047	0	0	0.9606237816764133	0.4147890268046615	RACK1
Brain Derived Neurotrophic Factor BDNF Signaling WP2380	1/137	0.6520457244606033	0.7300316114495047	0	0	0.9535119969040248	0.4077604329029834	RACK1
Neuroinflammation And Glutamatergic Signaling WP5083	1/140	0.6600249452692556	0.7300316114495047	0	0	0.9327906096175691	0.38755364931912845	PSPH
NRF2 Pathway WP2884	1/141	0.6626440780849351	0.7300316114495047	0	0	0.9260808270676691	0.38109825228333066	SLC2A8
Hepatitis B Infection WP4666	1/151	0.6877576097896295	0.7479526673068482	0	0	0.8639035087719298	0.3233753372262894	CXCL8
Nuclear Receptors Meta Pathway WP2882	2/314	0.6955891746773628	0.7479526673068482	0	0	0.8293003905586687	0.3010327736588438	SLC7A5;SLC2A8
Myometrial Relaxation And Contraction Pathways WP289	1/156	0.6996087635251815	0.7479526673068482	0	0	0.8358234295415959	0.2985845549160847	PLCG2
Sudden Infant Death Syndrome SIDS Susceptibility Pathways WP706	1/157	0.7019248108571959	0.7479526673068482	0	0	0.8304234143049932	0.2939109184153509	CXCL8
MAPK Signaling WP382	1/246	0.850556753580001	0.8945380459551926	0	0	0.5263694951664877	0.08520034550346904	NR4A1
Cytokine Cytokine Receptor Interaction WP5473	1/255	0.8606589456513769	0.8945380459551926	0	0	0.5074854952341483	0.07615173434044024	CXCL8
Alzheimer 39 S Disease And miRNA Effects WP2059	1/261	0.8670137983873404	0.8945380459551926	0	0	0.4956224696356275	0.07072551833851234	SEM1
Alzheimer 39 S Disease WP5124	1/261	0.8670137983873404	0.8945380459551926	0	0	0.4956224696356275	0.07072551833851234	SEM1
Focal Adhesion PI3K Akt mTOR Signaling WP3932	1/303	0.9041204356921121	0.9254776113383825	0	0	0.42577988846287906	0.04291550547526831	GNG10
PI3K Akt Signaling WP4172	1/338	0.92703846919162	0.9415234452727391	0	0	0.38087615180384193	0.02885525941135544	GNG10
ADHD And Autism ASD Pathways WP5420	1/370	0.943187284069181	0.9504988134030505	0	0	0.34727570959920123	0.020312299172550966	PLCG2
Pleural Mesothelioma WP5087	1/437	0.9663960566396071	0.9663960566396071	0	0	0.29289896185417674	0.010011735317608688	SLC7A5
