Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cardiac Atrium Development (GO:0003230)	3/7	0.0033459655138608265	0.9999955559755638	0	0	14.90213987473904	84.94219703486678	NOTCH1;NPHP3;MDM4
Positive Regulation Of Dendritic Spine Morphogenesis (GO:0061003)	3/8	0.005163106003783036	0.9999955559755638	0	0	11.921085594989561	62.77902292573854	CAPRIN2;LRP8;DBN1
Positive Regulation Of Dendrite Morphogenesis (GO:0050775)	4/17	0.007631324601771802	0.9999955559755638	0	0	6.11719315167591	29.82433755555573	SS18L1;CAPRIN2;LRP8;DBN1
Positive Regulation Of Lymphocyte Chemotaxis (GO:0140131)	4/17	0.007631324601771802	0.9999955559755638	0	0	6.11719315167591	29.82433755555573	ADAM17;CCL5;STK39;CCL3
Positive Regulation Of MHC Class II Biosynthetic Process (GO:0045348)	3/10	0.010293568094364883	0.9999955559755638	0	0	8.514166418133016	38.96283517625559	IFNG;RFXAP;TMEM106A
Positive Regulation Of Dendritic Spine Development (GO:0060999)	4/21	0.016481238846043595	0.9999955559755638	0	0	4.676870121089188	19.201042676210918	CAPRIN2;CPEB3;LRP8;DBN1
Positive Regulation Of T Cell Chemotaxis (GO:0010820)	3/12	0.01756446197180167	0.9999955559755638	0	0	6.621433542101601	26.763024075475975	ADAM17;CCL5;STK39
Ventricular Compact Myocardium Morphogenesis (GO:0003223)	2/5	0.020931283755236268	0.9999955559755638	0	0	13.233229058046577	51.16641789432694	NOG;TGFBR1
Kidney Morphogenesis (GO:0060993)	2/5	0.020931283755236268	0.9999955559755638	0	0	13.233229058046577	51.16641789432694	NPHP3;PRKX
Negative Regulation Of Mast Cell Activation (GO:0033004)	2/5	0.020931283755236268	0.9999955559755638	0	0	13.233229058046577	51.16641789432694	CD84;FER
B Cell Receptor Signaling Pathway (GO:0050853)	6/46	0.022015572860080865	0.9999955559755638	0	0	2.9841361256544503	11.387479028988276	IGHG3;IGHM;IGKC;IGLC3;IGHA1;MS4A1
Regulation Of T Cell Chemotaxis (GO:0010819)	3/13	0.022032054343857018	0.9999955559755638	0	0	5.958977035490605	22.735028075278837	ADAM17;CCL5;STK39
Regulation Of MHC Class II Biosynthetic Process (GO:0045346)	3/14	0.027058868170404673	0.9999955559755638	0	0	5.416967166445246	19.55384568002849	IFNG;RFXAP;TMEM106A
Regulation Of Natural Killer Cell Chemotaxis (GO:2000501)	2/6	0.03040560672741819	0.9999955559755638	0	0	9.924400417101147	34.667203518377434	CCL5;CCL3
Activin Receptor Signaling Pathway (GO:0032924)	3/16	0.038776057621966155	0.9999955559755638	0	0	4.583105829452385	14.894875305992759	ACVR1C;ACVR2A;TGFBR1
Pharyngeal System Development (GO:0060037)	3/16	0.038776057621966155	0.9999955559755638	0	0	4.583105829452385	14.894875305992759	PTCH1;NOG;TGFBR1
Regulation Of Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation (GO:1905005)	2/7	0.041229485853292544	0.9999955559755638	0	0	7.939103232533889	25.314637290066244	NOG;TGFBR1
Coronary Vasculature Morphogenesis (GO:0060977)	2/7	0.041229485853292544	0.9999955559755638	0	0	7.939103232533889	25.314637290066244	NOTCH1;TGFBR1
Sialylation (GO:0097503)	2/7	0.041229485853292544	0.9999955559755638	0	0	7.939103232533889	25.314637290066244	ST6GALNAC2;ST3GAL2
Ventricular Trabecula Myocardium Morphogenesis (GO:0003222)	2/7	0.041229485853292544	0.9999955559755638	0	0	7.939103232533889	25.314637290066244	NOTCH1;TGFBR1
Positive Regulation Of Cardiac Epithelial To Mesenchymal Transition (GO:0062043)	2/7	0.041229485853292544	0.9999955559755638	0	0	7.939103232533889	25.314637290066244	NOTCH1;TGFBR1
Response To Cholesterol (GO:0070723)	3/18	0.05265106188120466	0.9999955559755638	0	0	3.97160751565762	11.692686058337829	PTCH1;CCL3;TGFBR1
Heart Trabecula Morphogenesis (GO:0061384)	3/18	0.05265106188120466	0.9999955559755638	0	0	3.97160751565762	11.692686058337829	NOTCH1;NOG;TGFBR1
Mesenchyme Morphogenesis (GO:0072132)	3/18	0.05265106188120466	0.9999955559755638	0	0	3.97160751565762	11.692686058337829	NOTCH1;NOG;MDM4
Negative Regulation Of Cytoplasmic Translation (GO:2000766)	2/8	0.05325163321878888	0.9999955559755638	0	0	6.615571776155718	19.40166467229704	CPEB3;CPEB4
Negative Regulation Of Glial Cell Differentiation (GO:0045686)	2/8	0.05325163321878888	0.9999955559755638	0	0	6.615571776155718	19.40166467229704	NOTCH1;NOG
Peptidyl-Lysine Monomethylation (GO:0018026)	2/8	0.05325163321878888	0.9999955559755638	0	0	6.615571776155718	19.40166467229704	SETD6;KMT5A
Negative Regulation Of BMP Signaling Pathway (GO:0030514)	5/43	0.0540354771160666	0.9999955559755638	0	0	2.615200396388461	7.6314541042836925	NOTCH1;NOG;CRIM1;GPR155;TRIM33
Peptidyl-Threonine Phosphorylation (GO:0018107)	6/58	0.05899764970774842	0.9999955559755638	0	0	2.294039468385018	6.492722803734534	CHEK1;STK39;MAP3K10;HIPK1;TGFBR1;MARK2
Regulation Of Lymphocyte Differentiation (GO:0045619)	3/19	0.06036392733212104	0.9999955559755638	0	0	3.7231863256784967	10.452337699913675	ZNF683;TBX21;CRTAM
Negative Regulation Of Osteoblast Differentiation (GO:0045668)	4/32	0.06556438125916562	0.9999955559755638	0	0	2.8378862516793553	7.732453087423664	NOTCH1;PTCH1;NOG;CRIM1
Lipid Phosphorylation (GO:0046834)	2/9	0.06633215800898948	0.9999955559755638	0	0	5.670192164457024	15.383687574566535	DGKQ;DGKH
Protein K11-linked Deubiquitination (GO:0035871)	2/9	0.06633215800898948	0.9999955559755638	0	0	5.670192164457024	15.383687574566535	OTUD7A;OTUD3
Regulation Of Cardiac Muscle Cell Proliferation (GO:0060043)	3/20	0.06857088742594143	0.9999955559755638	0	0	3.5039911580498586	9.390301108985199	NOTCH1;NOG;TGFBR1
Regulation Of T Cell Differentiation (GO:0045580)	5/47	0.07383361978344723	0.9999955559755638	0	0	2.365635584777844	6.16470699441607	ZNF683;TBX21;CRTAM;ARID2;BRD7
Endocardial Cushion Morphogenesis (GO:0003203)	3/21	0.07725250384085838	0.9999955559755638	0	0	3.3091510090466247	8.473663408913602	NOTCH1;NOG;MDM4
Regulation Of Melanin Biosynthetic Process (GO:0048021)	2/10	0.08034182241091073	0.9999955559755638	0	0	4.961157455683003	12.509384718180668	CTNS;ATP7A
Response To Sterol (GO:0036314)	2/10	0.08034182241091073	0.9999955559755638	0	0	4.961157455683003	12.509384718180668	CCL3;TGFBR1
Regulation Of ERAD Pathway (GO:1904292)	2/10	0.08034182241091073	0.9999955559755638	0	0	4.961157455683003	12.509384718180668	USP25;TMEM259
Natural Killer Cell Mediated Immunity (GO:0002228)	3/22	0.08638787007531365	0.9999955559755638	0	0	3.1348203494121525	7.676886650028102	FCGR3A;PLEKHM2;SLAMF7
Positive Regulation Of Phosphatase Activity (GO:0010922)	3/22	0.08638787007531365	0.9999955559755638	0	0	3.1348203494121525	7.676886650028102	IFNG;ITGA1;MTMR9
Glycoprotein Biosynthetic Process (GO:0009101)	7/80	0.08952594276946439	0.9999955559755638	0	0	1.906349616610666	4.60045404665952	ST6GALNAC2;FUT10;CSGALNACT2;ATP7A;TMEM106A;ST3GAL2;FKTN
Regulation Of T Cell Mediated Cytotoxicity (GO:0001914)	4/36	0.09266374877468721	0.9999955559755638	0	0	2.482628004179728	5.905620735771345	CD1D;KLRC1;CD1C;CD1A
Cell Differentiation In Hindbrain (GO:0021533)	2/11	0.09516134252797828	0.9999955559755638	0	0	4.409686015525431	10.372381802739206	NOG;ATP7A
Glycerol Metabolic Process (GO:0006071)	2/11	0.09516134252797828	0.9999955559755638	0	0	4.409686015525431	10.372381802739206	GK5;TKFC
Macrophage Chemotaxis (GO:0048246)	2/11	0.09516134252797828	0.9999955559755638	0	0	4.409686015525431	10.372381802739206	CCL5;CCL3
