"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison","status"
"CD46.1",0,-1.80512900795162,0.128,0.574,0,"CD46.1","AS_Group_Naive_vs_Healthy_Naive","downregulated in diseased group"
"CD48.1",0,-1.72566087376378,0.128,0.574,0,"CD48.1","AS_Group_Naive_vs_Healthy_Naive","downregulated in diseased group"
"CD99.1",0,-1.37258871676728,0.128,0.574,0,"CD99.1","AS_Group_Naive_vs_Healthy_Naive","downregulated in diseased group"
"HLA-A2",0,-2.02480461688913,0.128,0.574,0,"HLA-A2","AS_Group_Naive_vs_Healthy_Naive","downregulated in diseased group"
"HLA-DR-DP-DQ",0,-1.72130663678995,0.128,0.574,0,"HLA-DR-DP-DQ","AS_Group_Naive_vs_Healthy_Naive","downregulated in diseased group"
"CD18",0,-1.76674912283527,0.128,0.574,0,"CD18","AS_Group_Naive_vs_Healthy_Naive","downregulated in diseased group"
"CD5.1",0,-2.10235961848994,0.128,0.574,0,"CD5.1","AS_Group_Naive_vs_Healthy_Naive","downregulated in diseased group"
"CD321",0,-2.08455124769634,0.128,0.573,0,"CD321","AS_Group_Naive_vs_Healthy_Naive","downregulated in diseased group"
"CD352-NTB-A",0,-1.69407542286158,0.128,0.573,0,"CD352-NTB-A","AS_Group_Naive_vs_Healthy_Naive","downregulated in diseased group"
"CD3",0,-1.88864004961609,0.128,0.573,0,"CD3","AS_Group_Naive_vs_Healthy_Naive","downregulated in diseased group"
"CD81-TAPA-1",0,-1.64193923958972,0.128,0.573,0,"CD81-TAPA-1","AS_Group_Naive_vs_Healthy_Naive","downregulated in diseased group"
"CD2.1",0,-1.75838304146022,0.128,0.572,0,"CD2.1","AS_Group_Naive_vs_Healthy_Naive","downregulated in diseased group"
"CD52.1",0,-1.72136918747728,0.128,0.571,0,"CD52.1","AS_Group_Naive_vs_Healthy_Naive","downregulated in diseased group"
"CD55.1",0,-1.96002607465555,0.128,0.571,0,"CD55.1","AS_Group_Naive_vs_Healthy_Naive","downregulated in diseased group"
"CD82.1",0,-1.55764123105924,0.128,0.571,0,"CD82.1","AS_Group_Naive_vs_Healthy_Naive","downregulated in diseased group"
"CD43",0,-1.5253486601899,0.127,0.568,0,"CD43","AS_Group_Naive_vs_Healthy_Naive","downregulated in diseased group"
"CD162",0,-1.98012831290299,0.127,0.567,0,"CD162","AS_Group_Naive_vs_Healthy_Naive","downregulated in diseased group"
"CD28.1",0,-1.7724269561149,0.127,0.566,0,"CD28.1","AS_Group_Naive_vs_Healthy_Naive","downregulated in diseased group"
"CD95-Fas",0,-1.84423366139047,0.128,0.567,0,"CD95-Fas","AS_Group_Naive_vs_Healthy_Naive","downregulated in diseased group"
"CD205-DEC-205",0,-1.69921856592902,0.127,0.563,0,"CD205-DEC-205","AS_Group_Naive_vs_Healthy_Naive","downregulated in diseased group"
