Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Interactions Of Natural Killer Cells In Pancreatic Cancer WP5092	5/28	0.009908905046875777	0.9999559291069534	0	0	4.324176823722031	19.95314176952212	FCGR3A;ADAM17;IFNG;CCL5;CCL3
Bone Morphogenic Protein Signaling And Regulation WP1425	2/12	0.11068073187802187	0.9999559291069534	0	0	3.968508863399374	8.73510673176953	NOG;TOB1
Ganglio Series Sphingolipid Metabolism WP5299	2/13	0.12679868476205003	0.9999559291069534	0	0	3.6075457389326004	7.450139711997925	NEU3;ST3GAL2
OSX And miRNAs In Tooth Development WP3971	2/15	0.16046502456096406	0.9999559291069534	0	0	3.052217855137563	5.584579754366325	NOTCH3;NOTCH1
Major Receptors Targeted By Epinephrine And Norepinephrine WP4589	2/16	0.1778491695495661	0.9999559291069534	0	0	2.8340533293609416	4.893898411436146	ADCY9;ADRB2
Airway Smooth Muscle Cell Contraction WP4962	2/16	0.1778491695495661	0.9999559291069534	0	0	2.8340533293609416	4.893898411436146	GNAQ;ADRB2
NOTCH1 Regulation Of Endothelial Cell Calcification WP3413	2/17	0.19550240584709733	0.9999559291069534	0	0	2.6449774070212024	4.317086083965043	NOTCH1;ITGA1
GLP 1 Secretion From Intestine To Portal Vein WP5446	1/5	0.21826427274412888	0.9999559291069534	0	0	4.95703125	7.544842920813028	GNAQ
miR 517 Relationship With ARCN1 And USP1 WP3596	1/5	0.21826427274412888	0.9999559291069534	0	0	4.95703125	7.544842920813028	ID1
Alstrom Syndrome WP5202	3/34	0.22284879098236512	0.9999559291069534	0	0	1.9201293016364738	2.882616780934171	CEP19;PTCH1;RABL2A
Host Pathogen Interaction Of Human CoVs Autophagy WP4863	2/19	0.23135823121803756	0.9999559291069534	0	0	2.333558240814574	3.4158345156483194	PIK3C3;ATG7
Small Ligand GPCRs WP247	2/19	0.23135823121803756	0.9999559291069534	0	0	2.333558240814574	3.4158345156483194	S1PR2;PTGDR
Hypertrophy Model WP516	2/20	0.24944571581702635	0.9999559291069534	0	0	2.203800254895145	3.0600074175154415	JUND;IFNG
15Q13 3 Copy Number Variation Syndrome WP4942	2/20	0.24944571581702635	0.9999559291069534	0	0	2.203800254895145	3.0600074175154415	CCL5;OTUD7A
Somatroph Axis GH Relationship To Dietary Restriction And Aging WP4186	1/6	0.25583601561002867	0.9999559291069534	0	0	3.9654166666666666	5.405729771718214	IGF1R
exRNA Mechanism Of Action And Biogenesis WP2805	1/6	0.25583601561002867	0.9999559291069534	0	0	3.9654166666666666	5.405729771718214	AGO2
Vitamin B12 Metabolism WP1533	4/54	0.26046190522099993	0.9999559291069534	0	0	1.5873772204806686	2.1354964565766124	IFNG;CCL5;MTHFR;HBA1
Neovascularization Processes WP4331	3/37	0.2618458797464759	0.9999559291069534	0	0	1.750429817020754	2.345574543169504	NOTCH3;NOTCH1;TGFBR1
Extrafollicular And Follicular B Cell Activation By SARS CoV 2 WP5218	5/74	0.28278390360035316	0.9999559291069534	0	0	1.4379055242253351	1.8161785866801476	IFNG;TBX21;SLAMF7;CD1D;MS4A1
Hippo YAP Signaling WP4537	2/22	0.285689662785788	0.9999559291069534	0	0	1.9832116788321168	2.4846650709712925	NF2;MAP4K4
miRNA Targets In ECM And Membrane Receptors WP2911	2/22	0.285689662785788	0.9999559291069534	0	0	1.9832116788321168	2.4846650709712925	COL6A2;ITGA1
Hfe Effect On Hepcidin Production WP3924	1/7	0.2916037742746565	0.9999559291069534	0	0	3.304340277777778	4.072134589327371	ID1
LDLRAD4 And What We Know About It WP4904	1/7	0.2916037742746565	0.9999559291069534	0	0	3.304340277777778	4.072134589327371	TGFBR1
Neurogenesis Regulation In The Olfactory Epithelium WP5265	4/57	0.29289954645346533	0.9999559291069534	0	0	1.497289091303405	1.8385595663114969	NOTCH1;ID1;LRP8;MARK2
ATM Signaling WP2516	3/40	0.30160396470366413	0.9999559291069534	0	0	1.6082491677481239	1.9277125823173595	CHEK1;CASP2;MDM4
Angiopoietin Like Protein 8 Regulatory Pathway WP3915	8/132	0.30163988086389015	0.9999559291069534	0	0	1.2805063805300747	1.5347143262918113	THRA;MAP3K10;PIK3C3;RICTOR;SOS2;RHOQ;MAP3K5;MAP4K4
Effects Of Nitric Oxide WP1995	1/8	0.32565407958981946	0.9999559291069534	0	0	2.8321428571428573	3.177436486662787	HBA1
Hypothesized Pathways In Pathogenesis Of Cardiovascular Disease WP3668	2/25	0.33960955568649787	0.9999559291069534	0	0	1.724259872149431	1.862129427361066	NR2C2;TGFBR1
Mammalian Disorder Of Sexual Development WP4842	2/25	0.33960955568649787	0.9999559291069534	0	0	1.724259872149431	1.862129427361066	FGF9;INSL3
Hedgehog Signaling WP4249	3/43	0.3416193714653807	0.9999559291069534	0	0	1.4873956158663884	1.5975493249497885	PTCH1;SPOPL;CSNK1E
