Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ATP Biosynthetic Process (GO:0006754)	15/25	1.7588973203818146E-17	3.132596127600012E-14	0	0	51.625	1991.6542712077123	ATP5PF;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5F1A;ATP5F1B;ATP5PO;ATP5MG;ATP5MF;ATP5ME
Proton Motive Force-Driven ATP Synthesis (GO:0015986)	14/60	1.2651907128064994E-9	1.1266523297541877E-6	0	0	10.436706425548287	213.82768965991676	ATP5PF;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5F1B;ATP5PO;ATP5MG;ATP5MF;ATP5ME
Oxidative Phosphorylation (GO:0006119)	12/63	2.1464526694948932E-7	1.226188042050383E-4	0	0	8.038178234256666	123.42043200486246	ATP5PF;ATP5F1B;ATP5PD;ATP5PB;ATP5PO;ATP5F1C;ATP5MG;ATP5F1D;ATP5MF;ATP5F1E;NIPSNAP2;ATP5ME
Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	11/53	2.7539315935999615E-7	1.226188042050383E-4	0	0	8.935655600268277	134.97366839850835	ATP5PF;ATP5F1B;ATP5PD;ATP5PB;ATP5PO;ATP5F1C;ATP5MG;ATP5F1D;ATP5MF;ATP5F1E;ATP5ME
Regulation Of Actin Nucleation (GO:0051125)	7/24	3.7046414210291073E-6	0.001319593274170568	0	0	13.968325791855204	174.68682196632122	WASHC4;WASHC5;CARMIL2;WASHC2C;WASHC1;WASHC2A;WASHC3
Regulation Of Arp2/3 Complex-Mediated Actin Nucleation (GO:0034315)	7/30	1.8737743061993555E-5	0.0055619867322350865	0	0	10.321222256004864	112.34620207873547	WASHC4;WASHC5;CARMIL2;WASHC2C;WASHC1;WASHC2A;WASHC3
Positive Regulation Of Myeloid Leukocyte Cytokine Production Involved In Immune Response (GO:0061081)	5/16	6.697613931012693E-5	0.017040643444476578	0	0	15.370605004751345	147.7295612102777	CD74;NR4A3;PLCG2;TICAM1;HLA-G
miRNA Catabolic Process (GO:0010587)	4/10	1.2703320584683814E-4	0.025138459957024302	0	0	22.51014492753623	201.93990672655005	TUT4;ELOB;ELOC;TENT4B
Purine Ribonucleoside Triphosphate Biosynthetic Process (GO:0009206)	4/10	1.2703320584683814E-4	0.025138459957024302	0	0	22.51014492753623	201.93990672655005	ATP5F1A;ATP5F1B;ATP5PO;ATP5F1C
Glycine Metabolic Process (GO:0006544)	3/7	7.743851641947574E-4	0.1379179977430863	0	0	25.282552083333332	181.11007472903688	RIDA;SHMT2;SHMT1
