"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison","status"
"MTRNR2L12",0,5.51987871929143,0.757,0.109,0,"MTRNR2L12","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"MT-ATP8",0,2.63313999567897,0.681,0.271,0,"MT-ATP8","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"mTreg",0,22.0979767711495,0.405,0,0,"mTreg","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"non-CD3",0,17.6771621222949,0.405,0,0,"non-CD3","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"mCD4",0,17.9367560376249,0.405,0,0,"mCD4","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"mCD8",0,19.6955885254156,0.405,0,0,"mCD8","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"RACK1",0,8.54129135507612,0.403,0,0,"RACK1","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"ATP5F1E",0,15.708536029863,0.391,0,0,"ATP5F1E","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"ATP5MC2",0,15.2630788854685,0.379,0,0,"ATP5MC2","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"ATP5MG",0,8.05195933846285,0.366,0,0,"ATP5MG","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"ELOB",0,13.9940396497605,0.305,0,0,"ELOB","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"FYB1",0,14.1223173358686,0.28,0,0,"FYB1","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"ATP5F1D",0,13.7305965330326,0.271,0,0,"ATP5F1D","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"IFITM1",0,3.62779643929588,0.463,0.201,0,"IFITM1","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"PLCG2",0,2.27399029872828,0.378,0.125,0,"PLCG2","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"PTPRCAP",0,7.68357153207289,0.25,0.003,0,"PTPRCAP","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"HIST1H4C",0,1.26763160397465,0.668,0.427,0,"HIST1H4C","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"ATP5MC3",0,13.3246660996577,0.237,0,0,"ATP5MC3","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"ATP5MF",0,13.3176263291886,0.233,0,0,"ATP5MF","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"SELENOW",0,13.332154714755,0.232,0,0,"SELENOW","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"ATP6V0C",0,4.48718344936309,0.234,0.004,0,"ATP6V0C","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"ATP5MD",0,13.2605334246274,0.229,0,0,"ATP5MD","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"SELENOK",0,13.502183677028,0.228,0,0,"SELENOK","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"ATP5IF1",0,13.1839967266152,0.217,0,0,"ATP5IF1","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"MIF",0,1.77875804108207,0.537,0.327,0,"MIF","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"CD45RA-TotalSeqC",0,17.4066559085025,0.21,0,0,"CD45RA-TotalSeqC","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"CD4-TotalSeqC",0,18.8306611196445,0.21,0,0,"CD4-TotalSeqC","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"CD8a-TotalSeqC",0,18.4064060581529,0.21,0,0,"CD8a-TotalSeqC","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"CD25-TotalSeqC",0,19.2988618295915,0.21,0,0,"CD25-TotalSeqC","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"CD127-TotalSeqC",0,17.7648328330081,0.21,0,0,"CD127-TotalSeqC","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"CD279-TotalSeqC",0,18.7725874375464,0.21,0,0,"CD279-TotalSeqC","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"HLA-DR-TotalSeqC",0,18.9970831051888,0.21,0,0,"HLA-DR-TotalSeqC","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"IgG1-ISO-TotalSeqC",0,19.034013343045,0.21,0,0,"IgG1-ISO-TotalSeqC","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"IgG2a-ISO-TotalSeqC",0,18.0801582909736,0.21,0,0,"IgG2a-ISO-TotalSeqC","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"IgG2b-ISO-TotalSeqC",0,17.8013562096659,0.21,0,0,"IgG2b-ISO-TotalSeqC","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"ATP5F1A",0,4.89637292801486,0.207,0,0,"ATP5F1A","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"NME2",0,4.22543282089475,0.232,0.026,0,"NME2","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"ATP5ME",0,13.0864637457841,0.206,0,0,"ATP5ME","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"ATP5PD",0,13.0231016378798,0.204,0,0,"ATP5PD","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"MT-ND4L",0,1.75720701493487,0.855,0.66,0,"MT-ND4L","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"RTRAF",0,12.8831145646233,0.193,0,0,"RTRAF","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"ATP5PB",0,12.8752360873105,0.191,0,0,"ATP5PB","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"ATP5MPL",0,12.8208506944244,0.187,0,0,"ATP5MPL","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"ATP5PF",0,12.7865411771826,0.186,0,0,"ATP5PF","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"ATP5F1B",0,12.857736696482,0.184,0,0,"ATP5F1B","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"GABARAP",0,1.64749706208436,0.386,0.204,0,"GABARAP","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
"MCUB",0,12.8198125672672,0.182,0,0,"MCUB","AS_Group_Naive_vs_Healthy_Naive","upregulated in diseased group"
