Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Oxidative Phosphorylation WP623	14/60	1.2651907128064994E-9	4.504078937591138E-7	0	0	10.436706425548287	213.82768965991676	ATP5PF;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1D;ATP5F1E;ATP5MC1;ATP5F1A;ATP5F1B;ATP5PO;ATP5MG;ATP5MF;ATP5ME
Electron Transport Chain OXPHOS System In Mitochondria WP111	17/105	8.623655319603465E-9	1.5350106468894168E-6	0	0	6.645523293432546	123.39910578571724	ATP5PF;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5IF1;ATP5F1A;ATP5F1B;UCP2;ATP5PO;ATP5MG;ATP5MF;ATP5ME
Selenium Metabolism And Selenoproteins WP28	9/47	6.8500641877929055E-6	8.128742836180915E-4	0	0	8.05387811634349	95.77069856959082	SELENOM;SELENOS;CREM;SELENOW;SELENOF;SELENOT;SELENOK;SELENOI;SELENOH
7Q11 23 Copy Number Variation Syndrome WP4932	11/104	2.1299213463854723E-4	0.0189562999828307	0	0	4.024837195214297	34.0270012678273	ATP5F1A;ATP5F1B;ATP5PB;ATP5MC2;ATP5PO;ATP5MC3;BUD23;GAPDH;ATP5F1D;ATP5F1E;ATP5MC1
Selenium Micronutrient Network WP15	9/86	8.514102475555889E-4	0.06062040962595793	0	0	3.966643882433356	28.038684272118992	SELENOM;SELENOS;SELENOW;HBB;SELENOF;SELENOT;SELENOK;SELENOI;SELENOH
Serine Metabolism WP4688	3/8	0.0012124074773375315	0.07193617698869353	0	0	20.225	135.8138530385119	SHMT2;SHMT1;PSPH
Cysteine And Methionine Catabolism WP4504	3/16	0.010202976341775458	0.458422535005013	0	0	7.7756410256410255	35.651903519818624	MPST;AHCY;SQOR
T Cell Modulation In Pancreatic Cancer WP5078	5/46	0.010301630000112652	0.458422535005013	0	0	4.117447097815926	18.83918626825156	LGALS3;TNFRSF9;CTLA4;PDCD1;VSIR
Dual Hijack Model Of Vif In HIV Infection WP3300	2/8	0.02086516179648241	0.7427997599547739	0	0	11.216060080878105	43.40250068187696	ELOB;ELOC
Hijack Of Ubiquitination By SARS CoV 2 WP4860	2/8	0.02086516179648241	0.7427997599547739	0	0	11.216060080878105	43.40250068187696	ELOB;ELOC
Trans Sulfuration Pathway WP2333	2/10	0.03227578505041075	0.9968304718338533	0	0	8.411178509532062	28.87926007714143	MPST;AHCY
Spina Bifida WP5150	2/12	0.045571481754480204	0.9968304718338533	0	0	6.728249566724437	20.780018188681375	AHCY;SHMT1
Sphingolipid Metabolism In Senescence WP5121	3/28	0.046265441169710333	0.9968304718338533	0	0	4.0408333333333335	12.418935564103164	CDKN1A;GLB1;S1PR1
One Carbon Metabolism WP241	3/29	0.050531367371857684	0.9968304718338533	0	0	3.8852163461538463	11.597996310962548	AHCY;SHMT2;SHMT1
Development Of Pulmonary Dendritic Cells And Macrophage Subsets WP3892	2/13	0.05284672980470092	0.9968304718338533	0	0	6.116275405703482	17.984048160450616	IRF4;FLT3LG
Type 2 Papillary Renal Cell Carcinoma WP4241	3/34	0.07454462058249758	0.9968304718338533	0	0	3.257728494623656	8.45822748059986	CDKN1A;ELOB;ELOC
Pathways Of Nucleic Acid Metabolism And Innate Immune Sensing WP4705	2/16	0.07683445494631903	0.9968304718338533	0	0	4.804902203515722	12.329869669909547	OAS1;CGAS
Genetic Causes Of Porto Sinusoidal Vascular Disease WP5269	3/37	0.09095248683825252	0.9968304718338533	0	0	2.9698223039215685	7.119905541699239	CYBC1;EFL1;NCF4
Genes Associated With The Development Of Rheumatoid Arthritis WP5033	2/18	0.09436438253556839	0.9968304718338533	0	0	4.203856152512998	9.923587439996247	CTLA4;CCR6
Disorders Of Folate Metabolism And Transport WP4259	2/19	0.10351809684141353	0.9968304718338533	0	0	3.956366602100112	8.973074399562355	SHMT2;SHMT1
TP53 Network WP1742	2/19	0.10351809684141353	0.9968304718338533	0	0	3.956366602100112	8.973074399562355	CDKN1A;CDKN2A
10Q22Q23 Copy Number Variation WP5402	4/62	0.1047230043914285	0.9968304718338533	0	0	2.3223988005997	5.240345346992317	SF3B4;SHLD2;SHLD1;ROPN1L
Proteasome Degradation WP183	4/62	0.1047230043914285	0.9968304718338533	0	0	2.3223988005997	5.240345346992317	PSMA6;RPN1;HLA-G;PSMB10
Glycogen Synthesis And Degradation WP500	3/40	0.10870855921952105	0.9968304718338533	0	0	2.7286036036036037	6.055002635415064	PTPA;PPP2R1A;GYG1
Allograft Rejection WP2328	5/90	0.11997102818132362	0.9968304718338533	0	0	1.9815535970485756	4.201894304705158	HLA-DRB5;CTLA4;FOXP3;HLA-G;HLA-DQA2
Metabolic Reprogramming In Colon Cancer WP4290	3/42	0.1212286596348182	0.9968304718338533	0	0	2.5884081196581197	5.461739838530447	SHMT2;GAPDH;PSPH
Metabolic Epileptic Disorders WP5355	5/92	0.12833814519179132	0.9968304718338533	0	0	1.9358003924866836	3.974366115290092	SHMT2;SHMT1;SQOR;GAPDH;PSPH
Immune Response To Tuberculosis WP4197	2/22	0.13227375721396498	0.9968304718338533	0	0	3.3623916811091856	6.801720215653199	IFITM1;OAS1
miR 517 Relationship With ARCN1 And USP1 WP3596	1/5	0.13662063340031752	0.9968304718338533	0	0	8.398356401384083	16.717325604368277	CDKN1A
Trans Sulfuration One Carbon Metabolism And Related Pathways WP2525	4/69	0.1394264484314355	0.9968304718338533	0	0	2.0715451505016724	4.0813956845155355	AHCY;SHMT2;SHMT1;PSPH
Folate Metabolism WP176	4/69	0.1394264484314355	0.9968304718338533	0	0	2.0715451505016724	4.0813956845155355	AHCY;SHMT2;SHMT1;HBB
Cancer Immunotherapy By PD 1 Blockade WP4585	2/23	0.14222414450315435	0.9968304718338533	0	0	3.2021127341751257	6.24524372024258	PDCD1;BATF
Phosphatidyl Inositol Phosphate Pathway WP5411	3/46	0.147722128818635	0.9968304718338533	0	0	2.347141472868217	4.488725642160826	PIP4P2;PIP4P1;PLCG2
lncRNA Mediated Mechanisms Of Therapeutic Resistance WP3672	1/6	0.16162168050785533	0.9968304718338533	0	0	6.718339100346021	12.244152723250465	CDKN1A
Benzene Metabolism WP3891	1/6	0.16162168050785533	0.9968304718338533	0	0	6.718339100346021	12.244152723250465	GSTM1
CCL18 Signaling WP5097	1/6	0.16162168050785533	0.9968304718338533	0	0	6.718339100346021	12.244152723250465	CCR8
Mitochondrial Fatty Acid Synthesis Pathway WP4317	1/6	0.16162168050785533	0.9968304718338533	0	0	6.718339100346021	12.244152723250465	HTD2
Phosphoinositides Metabolism WP4971	3/49	0.1686999944248151	0.9968304718338533	0	0	2.193727355072464	3.9040303015187905	PIP4P2;PIP4P1;PLCG2
Amino Acid Metabolism In Triple Negative Breast Cancer Cells WP5213	1/7	0.18589998232259344	0.9968304718338533	0	0	5.598327566320646	9.419446336936714	PSPH
DDX1 As A Regulatory Component Of The Drosha Microprocessor WP2942	1/7	0.18589998232259344	0.9968304718338533	0	0	5.598327566320646	9.419446336936714	MRE11
Aflatoxin B1 Metabolism WP699	1/7	0.18589998232259344	0.9968304718338533	0	0	5.598327566320646	9.419446336936714	GSTM1
Cholesterol Biosynthesis With Skeletal Dysplasias WP4804	1/7	0.18589998232259344	0.9968304718338533	0	0	5.598327566320646	9.419446336936714	CYP51A1
Vitamin B6 Dependent And Responsive Disorders WP4228	1/7	0.18589998232259344	0.9968304718338533	0	0	5.598327566320646	9.419446336936714	PLPBP
Interactions Immune Cells And miRNAs In Tumor Microenvironment WP4559	2/28	0.19392444114770505	0.9968304718338533	0	0	2.5856552459672044	4.241215844566379	CTLA4;PDCD1
T Cell Receptor And Co Stimulatory Signaling WP2583	2/28	0.19392444114770505	0.9968304718338533	0	0	2.5856552459672044	4.241215844566379	CTLA4;PDCD1
Eicosanoid Metabolism Via Lipooxygenases LOX WP4721	2/28	0.19392444114770505	0.9968304718338533	0	0	2.5856552459672044	4.241215844566379	HPGD;ACOX3
Angiotensin II Receptor Type 1 Pathway WP5036	2/28	0.19392444114770505	0.9968304718338533	0	0	2.5856552459672044	4.241215844566379	ACTA2;RACK1
2Q37 Copy Number Variation Syndrome WP5224	6/136	0.20212571483781014	0.9968304718338533	0	0	1.5538461538461539	2.484390890343636	SNED1;COL6A3;PDCD1;GABARAP;ARF5;COPS9
DNA IR Damage And Cellular Response Via ATR WP4016	4/81	0.20754892332131714	0.9968304718338533	0	0	1.747622811970638	2.74794147371638	SEM1;FEN1;MRE11;ABRAXAS1
Ketogenesis And Ketolysis WP4742	1/8	0.20947639673516166	0.9968304718338533	0	0	4.798319327731092	7.50046507830823	UCP2
Non Classical Role Of Vitamin D WP5133	1/8	0.20947639673516166	0.9968304718338533	0	0	4.798319327731092	7.50046507830823	CYP2R1
Eicosanoid Metabolism Via Cyclooxygenases COX WP4719	2/31	0.22596165810716343	0.9968304718338533	0	0	2.3178150959182453	3.447494876140784	HPGD;ACOX3
Clear Cell Renal Cell Carcinoma Pathways WP4018	4/85	0.2320973322732745	0.9968304718338533	0	0	1.6609769189479335	2.426020329305703	SHMT2;SHMT1;GAPDH;PSPH
Thiamine Metabolic Pathways WP4297	1/9	0.23237118084557784	0.9968304718338533	0	0	4.198313148788928	6.1270991040457865	BCKDHA
Macrophage Markers WP4146	1/9	0.23237118084557784	0.9968304718338533	0	0	4.198313148788928	6.1270991040457865	CD74
HIF1A And PPARG In Cardiac Hypertropthy WP2456	1/9	0.23237118084557784	0.9968304718338533	0	0	4.198313148788928	6.1270991040457865	GAPDH
Nod Like Receptor NLR Signaling WP288	1/9	0.23237118084557784	0.9968304718338533	0	0	4.198313148788928	6.1270991040457865	ERBIN
Prion Disease Pathway WP3995	2/32	0.23673124438589968	0.9968304718338533	0	0	2.2404390525707685	3.2280912875770076	IRF4;BATF
Host Pathogen Interaction Of Human CoV Interferon Induction WP4880	2/33	0.2475269976673326	0.9968304718338533	0	0	2.1680550120199027	3.027115637019753	OAS1;TICAM1
Mitochondrial Immune Response To SARS CoV 2 WP5038	2/33	0.2475269976673326	0.9968304718338533	0	0	2.1680550120199027	3.027115637019753	CGAS;TICAM1
2Q13 Copy Number Variation Syndrome WP5222	3/60	0.2513998028194997	0.9968304718338533	0	0	1.7693713450292399	2.4429900671792577	FBLN7;LGALS3;PLCG2
Vitamin D Metabolism WP1531	1/10	0.25460400824649154	0.9968304718338533	0	0	3.7316416762783544	5.105056907701924	CYP2R1
Leukocyte Intrinsic Hippo Pathway Functions WP4542	2/34	0.25833839708729767	0.9968304718338533	0	0	2.100194974003466	2.8425822617843672	FYB1;FOXP3
Cohesin Complex Cornelia De Lange Syndrome WP5117	2/34	0.25833839708729767	0.9968304718338533	0	0	2.100194974003466	2.8425822617843672	PTPA;PPP2R1A
Modulators Of TCR Signaling And T Cell Activation WP5072	3/61	0.2592242588478869	0.9968304718338533	0	0	1.7387751436781609	2.3474537744677493	CD5;PCBP2;ELOB
Oxidation By Cytochrome P450 WP43	3/63	0.27496359614283733	0.9968304718338533	0	0	1.6806423611111112	2.169905196877356	CYB5R3;CYP2R1;CYP51A1
Glycolysis In Senescence WP5049	1/11	0.27619398578647925	0.9968304718338533	0	0	3.3583044982698964	4.32096857162017	GAPDH
SMC1 SMC3 Role In DNA Damage Cornelia De Lange Syndrome WP5118	1/11	0.27619398578647925	0.9968304718338533	0	0	3.3583044982698964	4.32096857162017	MRE11
IDO Metabolic Pathway WP5414	1/11	0.27619398578647925	0.9968304718338533	0	0	3.3583044982698964	4.32096857162017	KYAT3
Nucleotide GPCRs WP80	1/11	0.27619398578647925	0.9968304718338533	0	0	3.3583044982698964	4.32096857162017	ADORA2A
Host Pathogen Interaction Of Human Coronaviruses MAPK Signaling WP4877	2/36	0.27996895186295456	0.9968304718338533	0	0	1.976450198797023	2.516172436233449	IFITM3;IFITM1
Aerobic Glycolysis WP4629	1/12	0.2971596697406184	0.9968304718338533	0	0	3.0528468071720667	3.70458587178474	GAPDH
Nanoparticle Triggered Regulated Necrosis WP2513	1/12	0.2971596697406184	0.9968304718338533	0	0	3.0528468071720667	3.70458587178474	TICAM1
Type II Interferon Signaling WP619	2/38	0.30155000302536766	0.9968304718338533	0	0	1.8664548430579626	2.2375423293068675	OAS1;IRF4
mBDNF And proBDNF Regulation Of GABA Neurotransmission WP4829	2/38	0.30155000302536766	0.9968304718338533	0	0	1.8664548430579626	2.2375423293068675	SHC1;CREM
Sleep Regulation WP3591	2/38	0.30155000302536766	0.9968304718338533	0	0	1.8664548430579626	2.2375423293068675	AHCY;ADORA2A
Aerobic Glycolysis Augmented WP4628	1/13	0.31751908170109894	0.9968304718338533	0	0	2.798298731257209	3.2102568902659385	GAPDH
Control Of Immune Tolerance By Vasoactive Intestinal Peptide WP4484	1/13	0.31751908170109894	0.9968304718338533	0	0	2.798298731257209	3.2102568902659385	CTLA4
Methionine Metabol To Sulfur Amino As And Related Disorders WP4292	1/13	0.31751908170109894	0.9968304718338533	0	0	2.798298731257209	3.2102568902659385	AHCY
Homologous Recombination WP186	1/13	0.31751908170109894	0.9968304718338533	0	0	2.798298731257209	3.2102568902659385	MRE11
Disorders Of Galactose Metabolism WP5173	1/13	0.31751908170109894	0.9968304718338533	0	0	2.798298731257209	3.2102568902659385	GYG1
Sterol Regulatory Element Binding Proteins SREBP Signaling WP1982	3/69	0.3226150996336083	0.9968304718338533	0	0	1.527383207070707	1.7279214561819987	SEC13;INSIG1;CYP51A1
Bladder Cancer WP2828	2/40	0.3230168623339841	0.9968304718338533	0	0	1.7680379458177506	1.9979726098005253	CDKN1A;CDKN2A
ATM Signaling WP2516	2/40	0.3230168623339841	0.9968304718338533	0	0	1.7680379458177506	1.9979726098005253	CDKN1A;MRE11
Microglia Pathogen Phagocytosis Pathway WP3937	2/40	0.3230168623339841	0.9968304718338533	0	0	1.7680379458177506	1.9979726098005253	NCF4;PLCG2
Riboflavin And CoQ Disorders WP5037	1/14	0.337289723862532	0.9968304718338533	0	0	2.5829118977907903	2.8071422367609196	COQ8A
Mod Of PI3K Akt mTOR Signaling By Bioactive Sphingolipids WP5192	1/14	0.337289723862532	0.9968304718338533	0	0	2.5829118977907903	2.8071422367609196	S1PR1
Cancer Immunotherapy By CTLA4 Blockade WP4582	1/14	0.337289723862532	0.9968304718338533	0	0	2.5829118977907903	2.8071422367609196	CTLA4
Serotonin And Anxiety Related Events WP3944	1/14	0.337289723862532	0.9968304718338533	0	0	2.5829118977907903	2.8071422367609196	LINC02210-CRHR1
Sulfatase And Aromatase Pathway WP5368	1/14	0.337289723862532	0.9968304718338533	0	0	2.5829118977907903	2.8071422367609196	SLCO4A1
1P36 Copy Number Variation Syndrome WP5345	4/102	0.3419988890399982	0.9968304718338533	0	0	1.3716415261756876	1.4716997446568352	INTS11;INTS13;INTS14;DKK3
Chemokine Signaling WP3929	6/165	0.34415543654628333	0.9968304718338533	0	0	1.2685304092989562	1.3530930226411249	GNG10;GRK2;SHC1;CCR8;CCR6;CXCR6
Non Small Cell Lung Cancer WP4255	3/72	0.3464999624732708	0.9968304718338533	0	0	1.4607487922705313	1.5482075746226298	CDKN1A;CDKN2A;PLCG2
Peptide GPCRs WP24	3/72	0.3464999624732708	0.9968304718338533	0	0	1.4607487922705313	1.5482075746226298	CCR8;CCR6;CXCR6
Head And Neck Squamous Cell Carcinoma WP4674	3/73	0.35444745761458013	0.9968304718338533	0	0	1.4398065476190476	1.4933603817617223	CDKN1A;CDKN2A;DDIT4
Cholesterol Biosynthesis Pathway In Hepatocytes WP5329	2/43	0.3548798810578242	0.9968304718338533	0	0	1.638415690916008	1.697359186325282	CH25H;CYP51A1
FOXP3 In COVID 19 WP5063	1/15	0.35648859414598966	0.9968304718338533	0	0	2.398294611962432	2.4737282530231472	FOXP3
GPR40 Pathway WP3958	1/15	0.35648859414598966	0.9968304718338533	0	0	2.398294611962432	2.4737282530231472	PLCG2
miRNAs Involved In DNA Damage Response WP1545	1/15	0.35648859414598966	0.9968304718338533	0	0	2.398294611962432	2.4737282530231472	CDKN1A
Omega 3 Omega 6 Fatty Acid Synthesis WP4723	1/15	0.35648859414598966	0.9968304718338533	0	0	2.398294611962432	2.4737282530231472	ACOX3
Glycine Metabolism Including IMDs WP5028	1/15	0.35648859414598966	0.9968304718338533	0	0	2.398294611962432	2.4737282530231472	SHMT1
COVID 19 Adverse Outcome Pathway WP4891	1/15	0.35648859414598966	0.9968304718338533	0	0	2.398294611962432	2.4737282530231472	IL7
Cholesterol Biosynthesis Pathway WP197	1/15	0.35648859414598966	0.9968304718338533	0	0	2.398294611962432	2.4737282530231472	CYP51A1
Extrafollicular And Follicular B Cell Activation By SARS CoV 2 WP5218	3/74	0.3623826284101691	0.9968304718338533	0	0	1.4194542253521127	1.4408235988649307	IFITM1;IRF4;PDCD1
Integrated Cancer Pathway WP1971	2/44	0.3653862044995728	0.9968304718338533	0	0	1.59932326483453	1.6101992871996471	CDKN1A;MRE11
Galanin Receptor Pathway WP4970	1/16	0.3751322004119541	0.9968304718338533	0	0	2.2382929642445215	2.1945942798582636	CDKN1A
Hedgehog Signaling WP47	1/16	0.3751322004119541	0.9968304718338533	0	0	2.2382929642445215	2.1945942798582636	GRK2
MAPK Pathway In Congenital Thyroid Cancer WP4928	1/16	0.3751322004119541	0.9968304718338533	0	0	2.2382929642445215	2.1945942798582636	SHC1
8Q11 23 RB1CC1 Copy Number Variation WP5412	1/16	0.3751322004119541	0.9968304718338533	0	0	2.2382929642445215	2.1945942798582636	GABARAP
TROP2 Regulatory Signaling WP5300	2/45	0.3758260207003536	0.9968304718338533	0	0	1.5620490911289346	1.5286664674909767	CDKN2A;RACK1
Nephrotic Syndrome WP4758	2/45	0.3758260207003536	0.9968304718338533	0	0	1.5620490911289346	1.5286664674909767	CTLA4;COQ8B
