"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","status","gene"
6.89765909917346e-41,3.83259354570951,0.099,0,1.89430411840601e-36,"AS_Group_vs_Healthy","upregulated in diseased group","VSIR"
1.52399102060261e-40,4.40124829992797,0.099,0,4.18533653988095e-36,"AS_Group_vs_Healthy","upregulated in diseased group","ATP5MF"
4.43065739812674e-36,3.13690109564947,0.09,0,1.21679144124755e-31,"AS_Group_vs_Healthy","upregulated in diseased group","SELENOF"
5.06900125301279e-36,3.26412148973351,0.09,0,1.3920998141149e-31,"AS_Group_vs_Healthy","upregulated in diseased group","JPT1"
5.98987154027612e-36,3.51205837566007,0.09,0,1.64499842110603e-31,"AS_Group_vs_Healthy","upregulated in diseased group","SEM1"
6.54818085629059e-36,3.93723795812794,0.099,0,1.79832690856308e-31,"AS_Group_vs_Healthy","upregulated in diseased group","ATP5F1B"
1.0307664117407e-35,3.86477487163077,0.09,0,2.83079379656348e-31,"AS_Group_vs_Healthy","upregulated in diseased group","ATP5PD"
1.04868539459577e-35,3.94066648793658,0.09,0,2.88000469917837e-31,"AS_Group_vs_Healthy","upregulated in diseased group","ATP5MPL"
1.0725828306703e-35,4.19065152634655,0.09,0,2.94563422786985e-31,"AS_Group_vs_Healthy","upregulated in diseased group","ATP5MC3"
1.14769258544498e-35,4.16763729464037,0.09,0,3.15190814740756e-31,"AS_Group_vs_Healthy","upregulated in diseased group","ATP5MD"
1.32390637336218e-35,4.23094187473844,0.09,0,3.63584407316455e-31,"AS_Group_vs_Healthy","upregulated in diseased group","ATP5ME"
1.72640920282144e-35,4.63280331368505,0.09,0,4.74123759370851e-31,"AS_Group_vs_Healthy","upregulated in diseased group","ATP5F1D"
2.29096297540408e-35,5.10011645501229,0.09,0,6.29167161935223e-31,"AS_Group_vs_Healthy","upregulated in diseased group","ELOB"
3.74206663021125e-35,6.14936452224516,0.09,0,1.02768375865491e-30,"AS_Group_vs_Healthy","upregulated in diseased group","ATP5MC2"
4.45804472380555e-35,6.7577415956288,0.09,0,1.22431282249872e-30,"AS_Group_vs_Healthy","upregulated in diseased group","ATP5F1E"
3.47809939489445e-34,3.44643361723758,0.09,0,9.55190436819862e-30,"AS_Group_vs_Healthy","upregulated in diseased group","COPS9"
7.81087888730696e-30,9.70956207366628,0.09,0,2.14510166882111e-25,"AS_Group_vs_Healthy","upregulated in diseased group","non-CD3"
3.2701143242215e-29,10.4411520732331,0.09,0,8.98071496860952e-25,"AS_Group_vs_Healthy","upregulated in diseased group","mCD8"
