"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","status","gene"
4.72131678599902e-07,3.07934436530465,0.864,1,0.0129661522893891,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group","MTRNR2L12"
2.63571868768966e-05,-0.563038925611997,0.818,1,0.723847423200212,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","POLR2M"
0.000183910816504177,-0.621816579635132,0.864,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","MFN1"
0.000210935164839103,1.31539748875094,0.955,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","upregulated in diseased group","MT-ATP8"
0.000224918625615015,0.110848605889095,0.864,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","PSMB2"
0.000238931004699942,-0.798988431788918,0.773,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","CFL2"
0.000245414322391081,0.186237882412009,0.818,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","FARS2"
0.000246538092843885,0.228407035539216,0.818,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","ATG101"
0.000508077262232403,-0.310393046035044,1,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","EIF1AX"
0.000511641535503666,0.261242023770118,0.955,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","RPL26L1"
0.00058551914882333,-0.303852068994818,0.955,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","RASAL3"
0.000660903726563504,-0.441279741274781,0.818,0.944,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","SLC41A1"
0.000714873823460988,0.188119550630845,0.818,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","NUDT16"
0.000724750052392982,0.0917624850999061,0.909,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","DNAJB12"
0.000742305061194621,-0.360284929400579,0.909,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","PTAR1"
0.000800835305223392,-0.471872314859137,0.818,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","NOL10"
0.00091561034467501,0.223476731037882,0.591,0.833,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","RMRP"
0.000937590219238609,0.26726119155533,0.955,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","TIMM8B"
0.00102595976355737,0.3285303467673,1,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","ZNF706"
0.00104365383552924,-0.42363436133237,0.864,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","NFIC"
0.00131704219652341,-0.369552418191392,0.955,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","NBPF19"
0.00142727465892781,-0.146479101413375,1,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","BTN3A2"
0.00150200546030844,0.655404097070765,0.727,0.944,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","AC016831.7"
0.00155367610692221,-0.379060098180985,0.909,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","ANKRD36C"
0.00158050234287867,0.342387021221834,0.682,0.889,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","NPDC1"
0.00162785664930459,0.200053360755214,1,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","NOP10"
0.00163432342894424,-0.400181198548687,0.909,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","TOB1"
0.00166622073910227,0.245761357169479,0.909,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","ZNF524"
0.00169823797460578,-0.254374278715196,0.955,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","MBD4"
0.00170912699395986,0.117551145179297,0.909,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","CHCHD1"
0.00175747442609302,0.0905418769455821,0.909,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","ATOX1"
0.00195422708031267,-0.631150328166311,0.773,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","REXO1"
0.00201586927232526,-0.0193818754135693,0.409,0.444,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","TRAV38-1"
0.0020398114607601,-0.506874242341567,0.727,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","FLYWCH1"
0.00209318025428308,-0.507695075047466,0.818,1,1,"AS_Group_CD14Mono_vs_Healthy_CD14Mono","No significant fold change","CDCA7L"
