"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","status","gene"
3.49777443544809e-07,3.18794915864108,0.864,1,0.00960593793207108,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group","MTRNR2L12"
4.5902338225718e-05,-0.591383256743564,0.727,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","SRGAP2C"
9.76845456192783e-05,1.47879116164299,0.864,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group","MT-ATP8"
0.000111615723761777,0.163861523262417,0.909,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","NDUFB6"
0.000141125928188903,-0.616214640331223,0.773,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","NPEPL1"
0.000148236796560436,-0.339020365356131,0.955,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","BTN3A2"
0.000157568480320331,-0.43208415941982,0.864,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","CLN3"
0.000158264322832716,-0.465731396900679,0.682,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","CXorf23"
0.000165926043194485,-0.501045345324309,0.773,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","CDK9"
0.000267951987801852,0.740580580667894,0.682,0.944,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","SLC7A5"
0.000313704276174106,0.158413188767011,1,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","RPL24"
0.00033685945722539,-0.400231822278262,0.773,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","ZBED6"
0.000363304222709334,0.326871700120401,1,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","PSMB6"
0.000373400474223144,-0.508675400968117,0.773,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","GXYLT1"
0.000598610939091778,-0.5711061284385,0.818,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","NBPF19"
0.000611770734656356,-0.339251224126751,0.773,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","TXNDC11"
0.000686799215505445,0.293539442840149,1,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","NDUFAB1"
0.000723757611350426,-0.19101312353199,0.818,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","SLC25A28"
0.000785144226774307,-0.232225645167191,0.864,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","LUC7L"
0.000835796396219829,1.00396196801894,0.818,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group","CD5"
0.000850378067971602,-0.472850289247397,0.818,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","ANKRD36B"
0.00102989496249508,0.658979027991294,0.636,0.889,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","GNG10"
0.00106348555260026,0.16795907075619,1,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","NDUFB4"
0.00109115290917848,-0.316002637734061,1,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","PKN1"
0.00110449314260473,0.0735564581201413,0.455,0.722,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","AC113404.1"
0.00113976985892637,-0.336521169183462,0.818,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","GNAQ"
0.00127034066737364,-0.170455481785,1,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","APOBEC3C"
0.00128092585131288,-0.223303320939993,1,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","ARL6IP1"
0.0013736335510709,-0.502715941204664,0.864,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","ATG4D"
0.00148371949071983,-0.438651983287243,0.773,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","ARL5B"
0.00151301809171152,0.262605674454724,1,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","CSTB"
0.00158347359851584,-0.444173558359315,0.636,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","RP11-658F2.8"
0.00165608133185604,-0.357028763804932,0.864,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","OSGIN2"
0.00168051846870127,-0.552303549783698,0.727,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","CAMK2N1"
0.00175950234725846,-0.540007760333503,0.727,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","KLHL20"
0.00178899373575378,-0.521049561253925,0.727,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","CLK2"
0.00179623699336077,-0.227727085373815,0.909,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","FAM53C"
0.00183205798510079,-0.353971941347546,0.955,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","SH3BP2"
0.00202368324592669,-0.0325201109424813,0.864,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","EXT2"
0.0020594344173051,-0.270883859650288,0.955,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","MAPKAPK2"
0.00206114319891611,-0.460791588617828,0.773,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","GFI1"
0.00212626661564604,-0.347124739478431,0.864,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","SLC35E1"
0.00222449381017072,0.297974307542189,0.591,0.944,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","MAN2B1"
0.00223554130472135,0.0263590547681343,0.364,0.5,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","BSCL2"
0.00223731720124099,-0.422924355078164,0.864,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","RAB11B"
0.00226388566319629,0.612424576811246,0.591,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","AC016831.7"
0.00233011213441639,-0.370374139034509,0.909,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","TAF3"
0.00236295214277796,-0.262126123670049,0.909,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","ANXA4"
0.00236760330778903,-0.496794989687365,0.636,0.944,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","ST6GALNAC2"
0.0023722650670854,0.126404260253652,0.955,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","PDCD6"
0.00245368667868549,0.361159270104116,0.909,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","CISD1"
0.00246595933848759,0.0725901341527901,0.864,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","MED16"
0.00292785703808012,0.0663539308851289,0.318,0.444,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","C21orf62"
0.00294938294846673,-0.106278270141322,0.409,0.556,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","MPV17L"
0.0030335055901877,-0.483424138903145,0.909,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","ANKRD36C"
0.00305685914905989,1.04842142916065,1,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","upregulated in diseased group","MT-ND4L"
0.00306420883394356,0.228786328257353,1,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","C8orf59"
0.00318211432616084,-0.478394674894305,0.864,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","GGNBP2"
0.00345119641890229,-0.485156476914407,0.636,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","KIR3DX1"
0.00347812276363565,-0.520341261901259,0.682,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","ENGASE"
0.00349621882302894,0.226994719022374,0.318,0.444,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","TRAV5"
0.00351898699551045,-0.476903762139173,0.773,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","GOLIM4"
0.003604439282536,-0.496787914446869,0.955,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","USF2"
0.00363509209530158,-0.431659694468797,0.818,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","REV1"
0.00370172021335916,0.358200134800706,0.955,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","PHF5A"
0.00373655082806866,0.194680598678765,0.955,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","RNH1"
0.00375864566958761,0.0320610397857743,0.5,0.722,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","DPH1"
0.0038523632593586,0.227858353854199,0.409,0.611,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","GET4"
0.00406183124191288,-0.458631547427301,0.864,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","PAFAH1B2"
0.00424643997409683,0.219857974472258,0.955,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","RPA3"
0.00426175951759853,0.0792341525436715,0.727,0.944,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","RMRP"
0.00427454634101715,-0.331057832962095,0.818,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","ARHGAP35"
0.00433743775513487,-0.311673809649385,0.955,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","UBA6"
0.00441232897742274,-0.0885199407524944,0.364,0.389,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","HIST2H2AA4"
0.00441637670808332,-0.419018183320585,0.682,1,1,"AS_Group_FCGR3AMono_vs_Healthy_FCGR3AMono","No significant fold change","AGAP6"
