"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","status","gene"
1.55871732077106e-06,3.02870723953927,0.818,1,0.0428070537803357,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group","MTRNR2L12"
2.91915650428483e-05,-0.524601909613221,0.864,1,0.801687950771743,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","ZBED6"
7.93803484754939e-05,-0.337137351192636,0.864,1,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","FLYWCH1"
0.000171166029530274,0.213047495829127,0.636,0.833,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","TRAV4"
0.000172003826489003,0.627571293680201,0.818,1,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","AC016831.7"
0.000178745787562643,0.18346580126612,1,1,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","GTF3C6"
0.000245448822777982,0.359649191418791,0.818,1,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","KIAA0391"
0.000253311489516618,1.37619305137383,0.955,1,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group","MT-ATP8"
0.000257433988654953,-0.607970980237996,0.955,1,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","NBPF19"
0.000302448960317303,0.178615025796375,0.955,1,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","DECR1"
0.000328918251709718,0.0288343206480155,0.409,0.333,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","TRAV10"
0.000336803833960094,0.181773184880359,1,1,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","MRPL34"
0.000415526352524706,0.241727851275628,1,1,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","PIN4"
0.000478389676873196,0.414050816213762,0.727,0.944,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","TRAV13-2"
0.000488364008216652,0.211977723341501,0.455,0.444,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","BSCL2"
